stage	count
0	[S] -> { S : 0 < S <= 2048 }
1	[S] -> { 128 * floor((31 + S)/32) : 0 < S <= 2048 }
2	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
3	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
4	[S] -> { 16 : S = 1; 16 * floor((31 + S)/32) : 2 <= S <= 2048 }
5	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
6	[S] -> { 16 : S = 1; 16 * floor((31 + S)/32) : 2 <= S <= 2048 }
7	[S] -> { 4 * S : 0 < S <= 2048 }
8	[S] -> { 2 * S : 0 < S <= 2048 }
9	[S] -> { 2 * S : 0 < S <= 2048 }
10	[S] -> { 2 * S : 0 < S <= 2048 }
11	[S] -> { 4 * S : 0 < S <= 2048 }
12	[S] -> { 128 * floor((31 + S)/32) : 0 < S <= 2048 }
13	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
14	[S] -> { S : 0 < S <= 2048 }
15	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
16	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
17	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
18	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
19	[S] -> { S : 0 < S <= 2048 }
20	[S] -> { 128 * floor((31 + S)/32) : 0 < S <= 2048 }
21	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
22	[S] -> { S : 0 < S <= 2048 }
23	[S] -> { 128 * floor((31 + S)/32) : 0 < S <= 2048 }
24	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
25	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
26	[S] -> { 16 : S = 1; 16 * floor((31 + S)/32) : 2 <= S <= 2048 }
27	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
28	[S] -> { 16 : S = 1; 16 * floor((31 + S)/32) : 2 <= S <= 2048 }
29	[S] -> { 4 * S : 0 < S <= 2048 }
30	[S] -> { 2 * S : 0 < S <= 2048 }
31	[S] -> { 2 * S : 0 < S <= 2048 }
32	[S] -> { 2 * S : 0 < S <= 2048 }
33	[S] -> { 4 * S : 0 < S <= 2048 }
34	[S] -> { 128 * floor((31 + S)/32) : 0 < S <= 2048 }
35	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
36	[S] -> { S : 0 < S <= 2048 }
37	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
38	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
39	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
40	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
41	[S] -> { S : 0 < S <= 2048 }
42	[S] -> { 128 * floor((31 + S)/32) : 0 < S <= 2048 }
43	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
