producer	consumer	direction	oracle	coordinate	expected	actual	equal
0	1	0	Unique	0	1	1	1
0	1	0	Unique	8	1	1	1
0	1	0	Unique	15	1	1	1
0	1	1	Unique	0	1	1	1
0	1	1	Unique	8	1	1	1
0	1	1	Unique	15	1	1	1
1	2	0	General	0	512	512	1
1	2	0	General	8	512	512	1
1	2	0	General	15	512	512	1
1	2	1	General	0	16	16	1
1	2	1	General	256	16	16	1
1	2	1	General	511	16	16	1
2	3	0	Unique	0	1	1	1
2	3	0	Unique	256	1	1	1
2	3	0	Unique	511	1	1	1
2	3	1	General	0	4	4	1
2	3	1	General	64	4	4	1
2	3	1	General	127	4	4	1
1	4	0	General	0	128	128	1
1	4	0	General	8	128	128	1
1	4	0	General	15	128	128	1
1	4	1	General	0	16	16	1
1	4	1	General	64	16	16	1
1	4	1	General	127	16	16	1
4	5	0	Unique	0	1	1	1
4	5	0	Unique	64	1	1	1
4	5	0	Unique	127	1	1	1
4	5	1	General	0	4	4	1
4	5	1	General	16	4	4	1
4	5	1	General	31	4	4	1
1	6	0	General	0	128	128	1
1	6	0	General	8	128	128	1
1	6	0	General	15	128	128	1
1	6	1	General	0	16	16	1
1	6	1	General	64	16	16	1
1	6	1	General	127	16	16	1
6	7	0	Unique	0	1	1	1
6	7	0	Unique	64	1	1	1
6	7	0	Unique	127	1	1	1
6	7	1	General	0	4	4	1
6	7	1	General	16	4	4	1
6	7	1	General	31	4	4	1
3	8	0	General	0	16	16	1
3	8	0	General	64	16	16	1
3	8	0	General	127	16	16	1
3	8	1	General	0	4	4	1
3	8	1	General	256	4	4	1
3	8	1	General	511	4	4	1
5	9	0	General	0	16	16	1
5	9	0	General	16	16	16	1
5	9	0	General	31	16	16	1
5	9	1	General	0	4	4	1
5	9	1	General	64	4	4	1
5	9	1	General	127	4	4	1
9	10	0	Unique	0	1	1	1
9	10	0	Unique	64	1	1	1
9	10	0	Unique	127	1	1	1
9	10	1	Unique	0	1	1	1
9	10	1	Unique	64	1	1	1
9	10	1	Unique	127	1	1	1
7	11	0	General	0	16	16	1
7	11	0	General	16	16	16	1
7	11	0	General	31	16	16	1
7	11	1	General	0	4	4	1
7	11	1	General	64	4	4	1
7	11	1	General	127	4	4	1
8	12	0	Unique	0	1	1	1
8	12	0	Unique	256	1	1	1
8	12	0	Unique	511	1	1	1
8	12	1	Unique	0	1	1	1
8	12	1	Unique	256	1	1	1
8	12	1	Unique	511	1	1	1
10	12	0	General	0	64	64	1
10	12	0	General	64	64	64	1
10	12	0	General	127	64	64	1
10	12	1	General	0	16	16	1
10	12	1	General	256	16	16	1
10	12	1	General	511	16	16	1
11	12	0	General	0	64	64	1
11	12	0	General	64	64	64	1
11	12	0	General	127	64	64	1
11	12	1	General	0	16	16	1
11	12	1	General	256	16	16	1
11	12	1	General	511	16	16	1
12	13	0	General	0	128	128	1
12	13	0	General	256	128	128	1
12	13	0	General	511	128	128	1
12	13	1	General	0	128	128	1
12	13	1	General	256	128	128	1
12	13	1	General	511	128	128	1
0	14	0	General	0	128	128	1
0	14	0	General	8	128	128	1
0	14	0	General	15	128	128	1
0	14	1	General	0	16	16	1
0	14	1	General	64	16	16	1
0	14	1	General	127	16	16	1
13	14	0	Unique	0	1	1	1
13	14	0	Unique	256	1	1	1
13	14	0	Unique	511	1	1	1
13	14	1	General	0	4	4	1
13	14	1	General	64	4	4	1
13	14	1	General	127	4	4	1
14	15	0	General	0	16	16	1
14	15	0	General	64	16	16	1
14	15	0	General	127	16	16	1
14	15	1	General	0	128	128	1
14	15	1	General	8	128	128	1
14	15	1	General	15	128	128	1
15	16	0	General	0	2048	2048	1
15	16	0	General	8	2048	2048	1
15	16	0	General	15	2048	2048	1
15	16	1	General	0	16	16	1
15	16	1	General	1024	16	16	1
15	16	1	General	2047	16	16	1
16	17	0	Unique	0	1	1	1
16	17	0	Unique	1024	1	1	1
16	17	0	Unique	2047	1	1	1
16	17	1	General	0	4	4	1
16	17	1	General	256	4	4	1
16	17	1	General	511	4	4	1
15	18	0	General	0	2048	2048	1
15	18	0	General	8	2048	2048	1
15	18	0	General	15	2048	2048	1
15	18	1	General	0	16	16	1
15	18	1	General	1024	16	16	1
15	18	1	General	2047	16	16	1
18	19	0	Unique	0	1	1	1
18	19	0	Unique	1024	1	1	1
18	19	0	Unique	2047	1	1	1
18	19	1	General	0	4	4	1
18	19	1	General	256	4	4	1
18	19	1	General	511	4	4	1
17	20	0	General	0	16	16	1
17	20	0	General	256	16	16	1
17	20	0	General	511	16	16	1
17	20	1	General	0	512	512	1
17	20	1	General	8	512	512	1
17	20	1	General	15	512	512	1
19	20	0	General	0	16	16	1
19	20	0	General	256	16	16	1
19	20	0	General	511	16	16	1
19	20	1	General	0	512	512	1
19	20	1	General	8	512	512	1
19	20	1	General	15	512	512	1
20	21	0	General	0	512	512	1
20	21	0	General	8	512	512	1
20	21	0	General	15	512	512	1
20	21	1	General	0	16	16	1
20	21	1	General	256	16	16	1
20	21	1	General	511	16	16	1
14	22	0	Unique	0	1	1	1
14	22	0	Unique	64	1	1	1
14	22	0	Unique	127	1	1	1
14	22	1	Unique	0	1	1	1
14	22	1	Unique	64	1	1	1
14	22	1	Unique	127	1	1	1
21	22	0	Unique	0	1	1	1
21	22	0	Unique	256	1	1	1
21	22	0	Unique	511	1	1	1
21	22	1	General	0	4	4	1
21	22	1	General	64	4	4	1
21	22	1	General	127	4	4	1
22	23	0	General	0	16	16	1
22	23	0	General	64	16	16	1
22	23	0	General	127	16	16	1
22	23	1	General	0	128	128	1
22	23	1	General	8	128	128	1
22	23	1	General	15	128	128	1
23	24	0	General	0	512	512	1
23	24	0	General	8	512	512	1
23	24	0	General	15	512	512	1
23	24	1	General	0	16	16	1
23	24	1	General	256	16	16	1
23	24	1	General	511	16	16	1
24	25	0	Unique	0	1	1	1
24	25	0	Unique	256	1	1	1
24	25	0	Unique	511	1	1	1
24	25	1	General	0	4	4	1
24	25	1	General	64	4	4	1
24	25	1	General	127	4	4	1
23	26	0	General	0	128	128	1
23	26	0	General	8	128	128	1
23	26	0	General	15	128	128	1
23	26	1	General	0	16	16	1
23	26	1	General	64	16	16	1
23	26	1	General	127	16	16	1
26	27	0	Unique	0	1	1	1
26	27	0	Unique	64	1	1	1
26	27	0	Unique	127	1	1	1
26	27	1	General	0	4	4	1
26	27	1	General	16	4	4	1
26	27	1	General	31	4	4	1
23	28	0	General	0	128	128	1
23	28	0	General	8	128	128	1
23	28	0	General	15	128	128	1
23	28	1	General	0	16	16	1
23	28	1	General	64	16	16	1
23	28	1	General	127	16	16	1
28	29	0	Unique	0	1	1	1
28	29	0	Unique	64	1	1	1
28	29	0	Unique	127	1	1	1
28	29	1	General	0	4	4	1
28	29	1	General	16	4	4	1
28	29	1	General	31	4	4	1
25	30	0	General	0	16	16	1
25	30	0	General	64	16	16	1
25	30	0	General	127	16	16	1
25	30	1	General	0	4	4	1
25	30	1	General	256	4	4	1
25	30	1	General	511	4	4	1
27	31	0	General	0	16	16	1
27	31	0	General	16	16	16	1
27	31	0	General	31	16	16	1
27	31	1	General	0	4	4	1
27	31	1	General	64	4	4	1
27	31	1	General	127	4	4	1
31	32	0	Unique	0	1	1	1
31	32	0	Unique	64	1	1	1
31	32	0	Unique	127	1	1	1
31	32	1	Unique	0	1	1	1
31	32	1	Unique	64	1	1	1
31	32	1	Unique	127	1	1	1
29	33	0	General	0	16	16	1
29	33	0	General	16	16	16	1
29	33	0	General	31	16	16	1
29	33	1	General	0	4	4	1
29	33	1	General	64	4	4	1
29	33	1	General	127	4	4	1
30	34	0	Unique	0	1	1	1
30	34	0	Unique	256	1	1	1
30	34	0	Unique	511	1	1	1
30	34	1	Unique	0	1	1	1
30	34	1	Unique	256	1	1	1
30	34	1	Unique	511	1	1	1
