collective	M	K	ctas	median_us	weight_gbps	runs	min_gbps	max_gbps
legacy	1	2048	1	29.696001	17.655172	3	17.655172	17.655172
serving	1	2048	1	18.656	28.102916	3	28.054792	28.444443
legacy	1	2048	128	84.991997	789.590391	3	771.011757	809.086417
serving	1	2048	128	81.919998	819.200018	3	789.590391	829.56966
legacy	1	8192	1	101.455994	20.670558	3	20.480001	20.686869
serving	1	8192	1	65.536003	31.999998	3	31.507693	31.999998
legacy	1	8192	128	327.679993	819.200018	3	784.862226	821.76801
serving	1	8192	128	322.911987	831.296039	3	826.952677	840.205191
legacy	16	2048	1	29.696001	17.655172	3	17.655172	17.655172
serving	16	2048	1	19.327999	27.125829	3	26.947369	27.125829
legacy	16	2048	128	87.040001	771.011757	3	771.011757	799.21949
serving	16	2048	128	81.919998	819.200018	3	799.21949	840.205191
legacy	16	8192	1	102.399994	20.480001	3	20.277229	20.480001
serving	16	8192	1	66.559998	31.507693	3	31.507693	31.507693
legacy	16	8192	128	327.679993	819.200018	3	789.590391	829.56966
serving	16	8192	128	317.440002	845.6258	3	829.56966	845.6258
