collective	M	K	ctas	median_us	weight_gbps
legacy	1	2048	1	29.696001	17.655172
serving	1	2048	1	18.432001	28.444443
legacy	1	2048	128	87.040001	771.011757
serving	1	2048	128	81.919998	819.200018
legacy	1	8192	1	101.375999	20.686869
serving	1	8192	1	65.536003	31.999998
legacy	1	8192	128	342.016022	784.862226
serving	1	8192	128	319.487976	840.205191
legacy	16	2048	1	29.696001	17.655172
serving	16	2048	1	19.455999	26.947369
legacy	16	2048	128	87.040001	771.011757
serving	16	2048	128	81.919998	819.200018
legacy	16	8192	1	102.399994	20.480001
serving	16	8192	1	66.559998	31.507693
legacy	16	8192	128	323.583984	829.569660
serving	16	8192	128	317.440002	845.625800
