collective	M	K	ctas	median_us	weight_gbps
legacy	1	2048	1	29.696001	17.655172
serving	1	2048	1	18.688002	28.054792
legacy	1	2048	128	82.944000	809.086417
serving	1	2048	128	84.991997	789.590391
legacy	1	8192	1	101.455994	20.670558
serving	1	8192	1	66.559998	31.507693
legacy	1	8192	128	327.679993	819.200018
serving	1	8192	128	322.911987	831.296039
legacy	16	2048	1	29.696001	17.655172
serving	16	2048	1	19.327999	27.125829
legacy	16	2048	128	83.968002	799.219490
serving	16	2048	128	79.871994	840.205191
legacy	16	8192	1	102.399994	20.480001
serving	16	8192	1	66.559998	31.507693
legacy	16	8192	128	327.679993	819.200018
serving	16	8192	128	323.583984	829.569660
