model	layer	n	mape_pct	spearman	top1	top3	top10	optimum_rank
gqa2	roofline	770	27.90	0.8428	0	1	5	5
gqa2	+splitk	770	61.39	0.8901	1	2	5	9
gqa2	+sync	770	40.54	0.8671	0	0	0	34
gqa2	+waves	770	52.87	0.9040	0	0	0	47
gqa2	+cache	770	52.87	0.9040	0	0	0	47
gqa2	+nongemm(full)	770	50.52	0.9040	0	0	0	47
gqa2	full+envelope	770	46.11	0.9249	0	0	0	54
gqa2	full-lanes(smem only)	770	61.40	0.7079	0	0	0	166
gqa2	full-minus-tc	770	52.49	0.9007	0	0	0	47
gqa2	full-minus-cuda	770	50.52	0.9040	0	0	0	47
gqa2	full-minus-sfu	770	50.52	0.9040	0	0	0	47
gqa2	full-minus-tmem	770	50.52	0.9040	0	0	0	47
gqa2	full-minus-smem	770	50.52	0.9040	0	0	0	47
gqa2	full-minus-l1_5	770	50.52	0.9040	0	0	0	47
gqa2	full-minus-l2	770	52.80	0.8891	0	0	0	63
gqa2	full-minus-ddr	770	50.52	0.9040	0	0	0	47
gqa2	full-minus-net	770	50.52	0.9040	0	0	0	47
gqa2	tier2-baseline	770	0.00	0.8778	0	1	3	25
mha4	roofline	462	26.63	0.8503	0	1	4	5
mha4	+splitk	462	57.03	0.8801	1	3	7	2
mha4	+sync	462	36.97	0.8677	0	0	0	18
mha4	+waves	462	51.12	0.8911	0	0	0	44
mha4	+cache	462	51.12	0.8911	0	0	0	44
mha4	+nongemm(full)	462	48.70	0.8911	0	0	0	44
mha4	full+envelope	462	44.43	0.9130	0	0	0	39
mha4	full-lanes(smem only)	462	61.83	0.6434	0	0	0	140
mha4	full-minus-tc	462	51.17	0.8872	0	0	0	44
mha4	full-minus-cuda	462	48.70	0.8911	0	0	0	44
mha4	full-minus-sfu	462	48.70	0.8911	0	0	0	44
mha4	full-minus-tmem	462	48.70	0.8911	0	0	0	44
mha4	full-minus-smem	462	48.70	0.8911	0	0	0	44
mha4	full-minus-l1_5	462	48.70	0.8911	0	0	0	44
mha4	full-minus-l2	462	51.38	0.8675	0	0	0	60
mha4	full-minus-ddr	462	48.70	0.8911	0	0	0	44
mha4	full-minus-net	462	48.70	0.8911	0	0	0	44
mha4	tier2-baseline	462	0.00	0.8738	0	0	2	19
