stage	tasks	first_ready_ns	first_start_ns	last_end_ns	run_total_ns	wait_total_ns	name	category	external_bytes	streaming_ns	wall_span_ns	space_excess_ns
0	64	1790328532685890560	1790328532685890560	1790328532685902848	485376	0	l0.s00.embed	embed	262656.0	267.58411729214646	12288	12020.415882707854
1	64	1790328532685898752	1790328532685898752	1790328532685912064	495616	4096	l0.s01.norm	norm	4096.0	4.172851731651407	13312	13307.827148268349
2	512	1790328532685912064	1790328532685912064	1790328532685966336	13548544	6007808	l0.s02.proj	proj	8388608.0	8546.00034642208	54272	45725.99965357792
3	256	1790328532685957120	1790328532685958144	1790328532685984768	933888	502784	l0.s02.proj.combine	combine	0.0	0.0	27648	27648.0
4	256	1790328532685912064	1790328532685912064	1790328532685944832	6043648	4484096	l0.s03.proj	proj	4194304.0	4273.00017321104	32768	28494.99982678896
5	128	1790328532685955072	1790328532685956096	1790328532685974528	510976	172032	l0.s03.proj.combine	combine	0.0	0.0	19456	19456.0
6	1024	1790328532685978624	1790328532685978624	1790328532685998080	993280	1313792	l0.s04.qknorm	norm	256.0	0.2608032332282129	19456	19455.73919676677
7	512	1790328532685974528	1790328532685974528	1790328532685981696	580608	2355200	l0.s05.qknorm	norm	256.0	0.2608032332282129	7168	7167.739196766772
8	256	1790328532685938688	1790328532685938688	1790328532685977600	3902464	313344	l0.s06.proj	proj	4194304.0	4273.00017321104	38912	34638.99982678896
9	128	1790328532685979648	1790328532685979648	1790328532685990912	409600	122880	l0.s06.proj.combine	combine	0.0	0.0	11264	11264.0
10	1024	1790328532685988864	1790328532685988864	1790328532686016512	846848	648192	l0.s07.rope	rope	128.0	0.13040161661410646	27648	27647.869598383386
11	512	1790328532685982720	1790328532685982720	1790328532685993984	467968	421888	l0.s08.rope	rope	128.0	0.13040161661410646	11264	11263.869598383386
12	512	1790328532685988864	1790328532685988864	1790328532686002176	350208	451584	l0.s09.append	append	131072.0	133.531255412845	13312	13178.468744587155
13	512	1790328532685990912	1790328532685990912	1790328532686005248	387072	442368	l0.s10.append	append	131072.0	133.531255412845	14336	14202.468744587155
14	1024	1790328532686005248	1790328532686005248	1790328532686035968	9175040	1286144	l0.s11.attn	attn	12288.0	12.51855519495422	30720	30707.481444805046
15	512	1790328532686036992	1790328532686036992	1790328532686068736	11919360	3666944	l0.s12.proj	proj	8388608.0	8546.00034642208	31744	23197.99965357792
16	256	1790328532686058496	1790328532686058496	1790328532686077952	1009664	1271808	l0.s12.proj.combine	combine	0.0	0.0	19456	19456.0
17	64	1790328532686076928	1790328532686076928	1790328532686091264	366592	481280	l0.s13.norm	norm	4096.0	4.172851731651407	14336	14331.827148268349
18	1536	1790328532686091264	1790328532686091264	1790328532686234624	39845888	11524096	l0.s14.proj	proj	25165824.0	25638.001039266244	143360	117721.99896073376
19	768	1790328532686203904	1790328532686203904	1790328532686284800	3165184	994304	l0.s14.proj.combine	combine	0.0	0.0	80896	80896.0
20	1536	1790328532686148608	1790328532686148608	1790328532686277632	25075712	267264	l0.s15.proj	proj	25165824.0	25638.001039266244	129024	103385.99896073376
21	768	1790328532686214144	1790328532686214144	1790328532686299136	2494464	2334720	l0.s15.proj.combine	combine	0.0	0.0	84992	84992.0
22	64	1790328532686291968	1790328532686292992	1790328532686321664	1042432	2153472	l0.s16.act	act	0.0	0.0	29696	29696.0
23	512	1790328532686315520	1790328532686315520	1790328532686407680	31522816	21633024	l0.s17.proj	proj	25165824.0	25638.001039266244	92160	66521.99896073376
24	256	1790328532686372864	1790328532686372864	1790328532686415872	1426432	3921920	l0.s17.proj.combine	combine	0.0	0.0	43008	43008.0
25	64	1790328532686407680	1790328532686407680	1790328532686428160	435200	955392	l0.s18.norm	norm	4096.0	4.172851731651407	20480	20475.82714826835
26	512	1790328532686428160	1790328532686428160	1790328532686480384	12615680	8850432	l0.s19.proj	proj	8388608.0	8546.00034642208	52224	43677.99965357792
27	256	1790328532686466048	1790328532686467072	1790328532686496768	889856	569344	l0.s19.proj.combine	combine	0.0	0.0	30720	30720.0
28	256	1790328532686418944	1790328532686418944	1790328532686466048	4944896	5065728	l0.s20.proj	proj	4194304.0	4273.00017321104	47104	42830.99982678896
29	128	1790328532686457856	1790328532686457856	1790328532686487552	561152	178176	l0.s20.proj.combine	combine	0.0	0.0	29696	29696.0
30	1024	1790328532686486528	1790328532686486528	1790328532686511104	968704	1254400	l0.s21.qknorm	norm	256.0	0.2608032332282129	24576	24575.73919676677
31	512	1790328532686481408	1790328532686482432	1790328532686494720	578560	3127296	l0.s22.qknorm	norm	256.0	0.2608032332282129	13312	13311.739196766772
32	256	1790328532686447616	1790328532686448640	1790328532686489600	3349504	266240	l0.s23.proj	proj	4194304.0	4273.00017321104	41984	37710.99982678896
33	128	1790328532686486528	1790328532686486528	1790328532686502912	372736	109568	l0.s23.proj.combine	combine	0.0	0.0	16384	16384.0
34	1024	1790328532686500864	1790328532686501888	1790328532686527488	843776	587776	l0.s24.rope	rope	128.0	0.13040161661410646	26624	26623.869598383386
35	512	1790328532686490624	1790328532686490624	1790328532686507008	442368	441344	l0.s25.rope	rope	128.0	0.13040161661410646	16384	16383.869598383386
36	512	1790328532686501888	1790328532686501888	1790328532686514176	360448	502784	l0.s26.append	append	131072.0	133.531255412845	12288	12154.468744587155
37	512	1790328532686502912	1790328532686502912	1790328532686517248	362496	407552	l0.s27.append	append	131072.0	133.531255412845	14336	14202.468744587155
38	1024	1790328532686517248	1790328532686517248	1790328532686547968	9443328	1522688	l0.s28.attn	attn	12288.0	12.51855519495422	30720	30707.481444805046
39	512	1790328532686547968	1790328532686548992	1790328532686580736	12068864	3263488	l0.s29.proj	proj	8388608.0	8546.00034642208	32768	24221.99965357792
40	256	1790328532686571520	1790328532686572544	1790328532686590976	1027072	1226752	l0.s29.proj.combine	combine	0.0	0.0	19456	19456.0
41	64	1790328532686588928	1790328532686588928	1790328532686606336	481280	513024	l0.s30.norm	norm	4096.0	4.172851731651407	17408	17403.82714826835
42	1536	1790328532686605312	1790328532686605312	1790328532686747648	39456768	12300288	l0.s31.proj	proj	25165824.0	25638.001039266244	142336	116697.99896073376
43	768	1790328532686715904	1790328532686715904	1790328532686798848	3069952	1276928	l0.s31.proj.combine	combine	0.0	0.0	82944	82944.0
44	1536	1790328532686661632	1790328532686662656	1790328532686791680	23354368	249856	l0.s32.proj	proj	25165824.0	25638.001039266244	130048	104409.99896073376
45	768	1790328532686726144	1790328532686726144	1790328532686811136	2652160	2504704	l0.s32.proj.combine	combine	0.0	0.0	84992	84992.0
46	64	1790328532686804992	1790328532686806016	1790328532686833664	1001472	2363392	l0.s33.act	act	0.0	0.0	28672	28672.0
47	512	1790328532686825472	1790328532686825472	1790328532686918656	31214592	21682176	l0.s34.proj	proj	25165824.0	25638.001039266244	93184	67545.99896073376
48	256	1790328532686882816	1790328532686882816	1790328532686927872	1379328	4105216	l0.s34.proj.combine	combine	0.0	0.0	45056	45056.0
49	64	1790328532686918656	1790328532686918656	1790328532686942208	435200	1030144	l0.s35.norm	norm	4096.0	4.172851731651407	23552	23547.82714826835
50	512	1790328532686942208	1790328532686942208	1790328532686991360	12539904	9660416	l0.s36.proj	proj	8388608.0	8546.00034642208	49152	40605.99965357792
51	256	1790328532686980096	1790328532686981120	1790328532687008768	872448	513024	l0.s36.proj.combine	combine	0.0	0.0	28672	28672.0
52	256	1790328532686929920	1790328532686929920	1790328532686977024	4980736	5552128	l0.s37.proj	proj	4194304.0	4273.00017321104	47104	42830.99982678896
53	128	1790328532686968832	1790328532686969856	1790328532686998528	533504	167936	l0.s37.proj.combine	combine	0.0	0.0	29696	29696.0
54	1024	1790328532686998528	1790328532686998528	1790328532687024128	986112	1283072	l0.s38.qknorm	norm	256.0	0.2608032332282129	25600	25599.73919676677
55	512	1790328532686992384	1790328532686993408	1790328532687007744	582656	2991104	l0.s39.qknorm	norm	256.0	0.2608032332282129	15360	15359.739196766772
56	256	1790328532686962688	1790328532686962688	1790328532687003648	3326976	263168	l0.s40.proj	proj	4194304.0	4273.00017321104	40960	36686.99982678896
57	128	1790328532686998528	1790328532686998528	1790328532687014912	393216	112640	l0.s40.proj.combine	combine	0.0	0.0	16384	16384.0
58	1024	1790328532687013888	1790328532687013888	1790328532687043584	880640	620544	l0.s41.rope	rope	128.0	0.13040161661410646	29696	29695.869598383386
59	512	1790328532687002624	1790328532687002624	1790328532687020032	437248	393216	l0.s42.rope	rope	128.0	0.13040161661410646	17408	17407.869598383386
60	512	1790328532687013888	1790328532687013888	1790328532687027200	384000	505856	l0.s43.append	append	131072.0	133.531255412845	13312	13178.468744587155
61	512	1790328532687015936	1790328532687015936	1790328532687030272	335872	440320	l0.s44.append	append	131072.0	133.531255412845	14336	14202.468744587155
62	1024	1790328532687030272	1790328532687030272	1790328532687060992	9218048	1582080	l0.s45.attn	attn	12288.0	12.51855519495422	30720	30707.481444805046
63	512	1790328532687060992	1790328532687060992	1790328532687093760	11738112	3342336	l0.s46.proj	proj	8388608.0	8546.00034642208	32768	24221.99965357792
64	256	1790328532687082496	1790328532687083520	1790328532687101952	1027072	1316864	l0.s46.proj.combine	combine	0.0	0.0	19456	19456.0
65	64	1790328532687099904	1790328532687099904	1790328532687114240	457728	337920	l0.s47.norm	norm	4096.0	4.172851731651407	14336	14331.827148268349
66	1536	1790328532687113216	1790328532687113216	1790328532687255552	38851584	10368000	l0.s48.proj	proj	25165824.0	25638.001039266244	142336	116697.99896073376
