model	arm	l1_ms	l2_ms	pass	status
gqa2	k0	0.570528	0.618336	25/25	PASS
gqa2	k1	0.571392	0.616448	25/25	PASS
gqa2	k2	0.571264	0.619520	25/25	PASS
gqa2	k4	0.570368	0.620736	25/25	PASS
gqa2	k8	0.569344	0.619712	25/25	PASS
gqa2	k16	0.571392	0.620288	25/25	PASS
gqa2	k32	0.571584	0.620544	25/25	PASS
mha4	k0	1.144832	1.257568	25/25	PASS
mha4	k1	1.140736	1.255296	25/25	PASS
mha4	k2	1.142944	1.262624	25/25	PASS
mha4	k4	1.143808	1.262592	25/25	PASS
mha4	k8	1.146080	1.268736	25/25	PASS
mha4	k16	1.140512	1.259712	25/25	PASS
mha4	k32	1.145856	1.264640	25/25	PASS
