cell	seq	nodes	edges	dense_us	interval_us	speedup	dense_total_us	interval_total_us	dense_work_ns	interval_work_ns	dense_cp_ns	interval_cp_ns	identical
JOINT2/bounded_search/gqa2_s4/auto.mlir	4	5256	32784	21854.461	21253.609	1.02827058689	2482272.986	2483901.586	13944788.9985	13944788.9985	51526.3121586	51526.3121586	1
JOINT2/bounded_search/gqa2_s128/auto.mlir	128	14592	1529728	449399.351	227405.905	1.97619912728	2911193.581	2868293.837	44987606.0842	44987606.0842	78580.7242045	78580.7242045	1
JOINT2/bounded_search/gqa2_s128/auto.mlir	512	58368	21061120	2028204.937	873882.621	2.32091231506	4802295.362	3682563.476	240445194.088	240445194.088	117965.339928	117965.339928	1
JOINT2/bounded_search/mha4_s4/auto.mlir	4	11760	74976	32139.828	30863.708	1.0413469438	3868473.982	3115560.87	31047616.8673	31047616.8673	103052.624317	103052.624317	1
JOINT2/bounded_search/mha4_s128/auto.mlir	128	34816	4574080	1101535.536	464596.292	2.37095206089	4800890.257	5236352.457	100985026.686	100985026.686	157161.448409	157161.448409	1
JOINT2/bounded_search/mha4_s128/auto.mlir	512	139264	65482240	3565353.448	1201048.371	2.96853443549	10113441.122	4958549.435	524929646.247	524929646.247	235930.679856	235930.679856	1
JOINT2/bounded_search/real_s4/auto.mlir	4	24304	418016	52129.595	47863.919	1.08912090964	14250406.235	14232228.071	489648192.27	489648192.27	641834.678075	641834.678075	1
JOINT2/bounded_search/real_s128/auto.mlir	128	60032	39726016	1110540.042	284081.314	3.90923298109	16003197.646	15220327.329	1040591857.43	1040591857.43	2058518.34293	2058518.34293	1
PIPELINE/raw/llama/auto.mlir	4	15486	217796	68824.156	65840.981	1.04530878724	63665956.344	63536730.855	833894808.868	833894808.868	485497.313781	485497.313781	1
