cell	model	seq	past	rounds	midpoint_refine	floor_ns	binary_sha256	l05_ms_median	l05_ms_min	l05_ms_max	l1_ms_median	l1_ms_min	l1_ms_max	l2_ms_median	l2_ms_min	l2_ms_max	l2_over_l1_median	l1_over_l05_median	l2_over_l05_median	l2_over_floor_median
llama_s1	llama	1	3	25	1	4613500.0	bc6d6e70f59883d15732296605800032091c2d059b78405d55e37c4cb9bda2a3	49.804192	49.795071	49.813503	49.755295	49.745026	49.767426	36.486816	36.477951	37.984257	0.7333122581763409	0.9990367686703278	0.7326040065568966	7.908706188360247
llama_hoist	llama	4	3	25	1	5231450.0	ffe49354732d2e926cbb48e4ec7de34546003b7b6493d8a9917ede50718da747	49.464993	49.228802	49.480705	49.492287	49.253281	49.510143	41.121792	40.926208	41.146366	0.830854768712113	1.0005382709144222	0.8313327869009303	7.86049603838324
llama_s16	llama	16	3	25	1	5343310.0	dea3aeab756329359668638ea170c7d6e1afd9904b556ef10e71e1577823fbf6	157.749252	156.93306	157.769638	157.839355	157.032166	157.852676	130.9785	130.363388	130.991104	0.829807980865557	1.000566928706585	0.8302972210055547	24.512614839865176
llama_s64	llama	64	3	25	1	9901370.0	01b10e46279eaef32a9f8ae16b520873392396c4603055e2bcbf199ab93e5607	380.202271	378.237946	380.22348	380.310516	378.33255	380.325897	423.982086	423.586823	424.182983	1.1148545703200057	1.0002773984193398	1.1151763179694127	42.820547661586225
