family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	256	1	1	1	1	1	1	1	1	38	PASS
wavefront	256	2	2	1	1	1	1	1	1	40	PASS
wavefront	256	3	3	1	1	1	1	1	1	40	PASS
wavefront	256	4	4	1	1	1	1	1	1	40	PASS
wavefront	256	5	5	1	1	1	1	1	1	40	PASS
wavefront	256	6	6	1	1	1	1	1	1	44	PASS
wavefront	256	7	7	1	1	1	1	1	1	44	PASS
wavefront	256	8	8	1	1	1	1	1	1	40	PASS
wavefront	256	9	9	1	1	1	1	1	1	44	PASS
wavefront	256	10	10	1	1	1	1	1	1	44	PASS
wavefront	256	11	11	1	1	1	1	1	1	48	PASS
wavefront	256	12	12	1	1	1	1	1	1	48	PASS
wavefront	256	13	13	1	1	1	1	1	1	48	PASS
wavefront	256	14	14	1	1	1	1	1	1	48	PASS
wavefront	256	15	15	1	1	1	1	1	1	51	PASS
wavefront	256	16	16	1	1	1	1	1	1	43	PASS
