model	seq	source	example_producer	example_successor	hop_ns	queue_ns	count
gqa2	4	cost_model	72	76	1233.77393	18303.76967	128
gqa2	4	cost_model	0	4	1234.141593	18303.76967	64
gqa2	4	cost_model	68	72	1234.375991	1584.633492	48
gqa2	4	cost_model	96	168	1234.375991	18303.76967	4
gqa2	4	cost_model	68	96	1234.375991	30235.10336	8
gqa2	4	cost_model	52	68	1234.48139	18303.76967	128
gqa2	4	cost_model	92	96	1234.48139	30235.10336	32
gqa2	4	trace	36	52	1233.77393	3072	416
gqa2	4	trace	36	55	1233.77393	4096	96
gqa2	4	trace	172	189	1233.77393	18432	4
gqa2	4	trace	72	76	1233.77393	19456	124
gqa2	4	trace	0	4	1234.141593	18432	8
gqa2	4	trace	0	5	1234.141593	19456	56
gqa2	4	trace	68	72	1234.375991	2048	48
gqa2	4	trace	96	168	1234.375991	21504	4
gqa2	4	trace	68	96	1234.375991	37888	8
gqa2	4	trace	76	93	1234.48139	2048	48
gqa2	4	trace	76	92	1234.48139	3072	80
gqa2	4	trace	52	68	1234.48139	21504	128
gqa2	4	trace	92	96	1234.48139	37888	32
gqa2	4	trace	12	52	1235.011095	3072	26
gqa2	4	trace	15	55	1235.011095	4096	6
mha4	4	cost_model	100	104	1233.77393	18303.76967	256
mha4	4	cost_model	0	4	1233.929013	18303.76967	192
mha4	4	cost_model	96	100	1234.375991	1584.633492	112
mha4	4	cost_model	124	224	1234.375991	18303.76967	12
mha4	4	cost_model	96	124	1234.375991	30235.10336	16
mha4	4	cost_model	80	96	1234.48139	18303.76967	256
mha4	4	cost_model	120	124	1234.48139	30235.10336	64
mha4	4	trace	48	83	1233.77393	3072	1696
mha4	4	trace	48	80	1233.77393	4096	352
mha4	4	trace	100	114	1233.77393	18432	16
mha4	4	trace	100	104	1233.77393	19456	240
mha4	4	trace	0	4	1233.929013	18432	76
mha4	4	trace	0	5	1233.929013	19456	116
mha4	4	trace	96	100	1234.375991	2048	112
mha4	4	trace	381	481	1234.375991	20480	1
mha4	4	trace	124	224	1234.375991	21504	11
mha4	4	trace	97	125	1234.375991	37888	7
mha4	4	trace	96	124	1234.375991	38912	9
mha4	4	trace	104	121	1234.48139	2048	224
mha4	4	trace	104	120	1234.48139	3072	32
mha4	4	trace	464	481	1234.48139	20480	16
mha4	4	trace	80	96	1234.48139	21504	240
mha4	4	trace	120	125	1234.48139	37888	28
mha4	4	trace	120	124	1234.48139	38912	36
mha4	4	trace	19	83	1235.011095	3072	53
mha4	4	trace	16	80	1235.011095	4096	11
real	4	cost_model	436	440	1232.280772	143253.6676	3584
real	4	cost_model	0	4	1233.161953	143253.6676	768
real	4	cost_model	276	404	1233.390482	143253.6676	16384
real	4	cost_model	664	668	1233.390482	485456.7466	512
real	4	cost_model	404	436	1234.375991	3291.274528	896
real	4	cost_model	668	1104	1234.375991	143253.6676	96
real	4	cost_model	404	668	1234.375991	485456.7466	128
real	4	cost_model	440	664	1234.48139	6546.930886	3584
gqa2	128	cost_model	904	1416	1231.804319	1496.684749	524288
gqa2	128	cost_model	1928	1932	1232.597896	1584.633492	1536
gqa2	128	cost_model	2204	4136	1232.597896	18303.76967	4
gqa2	128	cost_model	1928	2204	1232.597896	30235.10336	8
gqa2	128	cost_model	1932	2060	1233.77393	18303.76967	4096
gqa2	128	cost_model	0	128	1234.141593	18303.76967	2048
gqa2	128	cost_model	1416	1928	1234.48139	18303.76967	4096
gqa2	128	cost_model	2076	2204	1234.48139	30235.10336	1024
gqa2	128	cost_model	136	1416	1235.011095	1496.684749	1024
gqa2	128	trace	3112	3988	1231.804319	15360	512
gqa2	128	trace	904	1716	1231.804319	16384	13824
gqa2	128	trace	904	1555	1231.804319	17408	86016
gqa2	128	trace	904	1544	1231.804319	18432	242688
gqa2	128	trace	904	1633	1231.804319	19456	39936
gqa2	128	trace	904	1416	1231.804319	20480	45568
gqa2	128	trace	904	1451	1231.804319	21504	76800
gqa2	128	trace	904	1491	1231.804319	22528	17408
gqa2	128	trace	3112	3742	1231.804319	23552	512
gqa2	128	trace	904	1534	1231.804319	24576	512
gqa2	128	trace	904	1535	1231.804319	25600	512
gqa2	128	trace	1928	1932	1232.597896	2048	1536
gqa2	128	trace	2206	4138	1232.597896	29696	1
gqa2	128	trace	2204	4136	1232.597896	30720	3
gqa2	128	trace	1930	2206	1232.597896	47104	5
gqa2	128	trace	1928	2204	1232.597896	48128	3
gqa2	128	trace	2060	2101	1232.60236	2048	592
gqa2	128	trace	2060	2076	1232.60236	3072	3504
gqa2	128	trace	1932	2060	1233.77393	21504	640
gqa2	128	trace	1932	2061	1233.77393	22528	3456
gqa2	128	trace	0	128	1234.141593	22528	2048
gqa2	128	trace	1416	1929	1234.48139	29696	1024
gqa2	128	trace	1416	1928	1234.48139	30720	3072
gqa2	128	trace	2076	2206	1234.48139	47104	640
gqa2	128	trace	2076	2204	1234.48139	48128	384
gqa2	128	trace	2708	3988	1235.011095	15360	1
gqa2	128	trace	436	1716	1235.011095	16384	27
gqa2	128	trace	275	1555	1235.011095	17408	168
gqa2	128	trace	264	1544	1235.011095	18432	474
gqa2	128	trace	353	1633	1235.011095	19456	78
gqa2	128	trace	136	1416	1235.011095	20480	89
gqa2	128	trace	171	1451	1235.011095	21504	150
gqa2	128	trace	211	1491	1235.011095	22528	34
gqa2	128	trace	2462	3742	1235.011095	23552	1
gqa2	128	trace	254	1534	1235.011095	24576	1
gqa2	128	trace	255	1535	1235.011095	25600	1
mha4	128	cost_model	1164	2188	1231.804319	1496.684749	2097152
mha4	128	cost_model	2700	2704	1232.597896	1584.633492	3584
mha4	128	cost_model	2976	5680	1232.597896	18303.76967	12
mha4	128	cost_model	2700	2976	1232.597896	30235.10336	16
mha4	128	cost_model	2704	2832	1233.77393	18303.76967	8192
mha4	128	cost_model	0	128	1233.929013	18303.76967	6144
mha4	128	cost_model	2188	2700	1234.48139	18303.76967	8192
mha4	128	cost_model	2848	2976	1234.48139	30235.10336	2048
mha4	128	cost_model	140	2188	1235.011095	1496.684749	2048
mha4	128	trace	10104	11503	1231.804319	15360	1024
mha4	128	trace	1164	2492	1231.804319	16384	57344
mha4	128	trace	1164	2323	1231.804319	17408	372736
mha4	128	trace	1164	2316	1231.804319	18432	916480
mha4	128	trace	1164	2200	1231.804319	19456	185344
mha4	128	trace	1164	2188	1231.804319	20480	216064
mha4	128	trace	1164	2225	1231.804319	21504	299008
mha4	128	trace	1164	2292	1231.804319	22528	43008
mha4	128	trace	4144	5290	1231.804319	23552	2048
mha4	128	trace	4144	5291	1231.804319	24576	2048
mha4	128	trace	10104	11246	1231.804319	25600	2048
mha4	128	trace	2700	2704	1232.597896	2048	3584
mha4	128	trace	5956	8660	1232.597896	29696	2
mha4	128	trace	2976	5680	1232.597896	30720	10
mha4	128	trace	2700	2976	1232.597896	48128	16
mha4	128	trace	2832	2869	1232.60236	2048	800
mha4	128	trace	2832	2848	1232.60236	3072	7392
mha4	128	trace	2704	2832	1233.77393	22528	8192
mha4	128	trace	0	128	1233.929013	22528	6016
mha4	128	trace	5960	6092	1233.929013	23552	128
mha4	128	trace	8148	8660	1234.48139	29696	1024
mha4	128	trace	2188	2700	1234.48139	30720	7168
mha4	128	trace	2848	2976	1234.48139	48128	2048
mha4	128	trace	9455	11503	1235.011095	15360	1
mha4	128	trace	444	2492	1235.011095	16384	56
mha4	128	trace	275	2323	1235.011095	17408	364
mha4	128	trace	268	2316	1235.011095	18432	895
mha4	128	trace	152	2200	1235.011095	19456	181
mha4	128	trace	140	2188	1235.011095	20480	211
mha4	128	trace	177	2225	1235.011095	21504	292
mha4	128	trace	244	2292	1235.011095	22528	42
mha4	128	trace	3242	5290	1235.011095	23552	2
mha4	128	trace	3243	5291	1235.011095	24576	2
mha4	128	trace	9198	11246	1235.011095	25600	2
real	128	cost_model	5296	7344	1230.603188	2907.627703	33554432
real	128	cost_model	11472	11600	1232.280772	143253.4663	114688
real	128	cost_model	11440	11472	1232.597896	3291.27217	28672
real	128	cost_model	11952	23424	1232.597896	143253.4663	96
real	128	cost_model	11440	11952	1232.597896	485456.0422	128
real	128	cost_model	11600	11824	1232.60236	6546.922632	114688
real	128	cost_model	0	128	1233.161953	143253.4663	24576
