model	seq	past	candidate	status	makespan_ns	busiest_worker_ns	busiest_worker	total_block_ns	solo_work_ns	critical_path_ns	cross_worker_edges	same_worker_edges	max_queue	max_queue_ns	spine_length_ns	critical_path_hops	critical_path_same_worker_edges	critical_path_queue_edges	critical_path_len	eval_us
gqa2	4	3	legacy_grid_stride	ok	310616.5189	290581.6547	0	2753852.676	1336932.147	179816.8517	1108	184	30	290581.6547	0	17	0	8	25	44.792
gqa2	4	3	rotate	ok	203268.5523	30235.10336	96	16189847.52	1336932.147	179816.8517	1292	0	1	30235.10336	0	19	0	0	19	51.874
gqa2	4	3	balanced	ok	380411.9525	206712.3171	6	3551993.3	1336932.147	179816.8517	850	442	30	206712.3171	0	17	0	39	56	46.1
gqa2	4	3	eft	ok	200796.1746	179816.8517	0	3455990.092	1336932.147	179816.8517	1192	100	20	179816.8517	0	17	2	0	19	45
gqa2	4	3	band	ok	310616.5189	290581.6547	0	2753852.676	1336932.147	179816.8517	1108	184	30	290581.6547	0	17	0	8	25	41.103
gqa2	4	3	wavefront	ok	203238.6077	179816.8517	0	3514629.967	1336932.147	179816.8517	1172	120	20	179816.8517	0	19	0	0	19	50.855
gqa2	4	3	chain	ok	200798.7272	30235.10336	0	9696686.306	1336932.147	179816.8517	1252	40	4	30235.10336	19239.52628	17	2	0	19	51.222
mha4	4	3	legacy_grid_stride	ok	622450.1908	581163.3094	0	6090837.809	2989285.765	359633.7035	3604	504	60	581163.3094	0	35	0	16	51	88.863
mha4	4	3	rotate	ok	407769.1597	60470.20672	124	71029582.56	2989285.765	359633.7035	4108	0	2	60470.20672	0	39	0	0	39	103.884
mha4	4	3	balanced	ok	748978.6789	317164.7781	4	5067313.26	2989285.765	359633.7035	2996	1112	60	317164.7781	0	31	0	94	125	79.308
mha4	4	3	eft	ok	402831.8778	359633.7035	0	13478970.41	2989285.765	359633.7035	3828	280	40	359633.7035	0	35	4	0	39	89.517
mha4	4	3	band	ok	622450.1908	581163.3094	0	6090837.809	2989285.765	359633.7035	3604	504	60	581163.3094	0	35	0	16	51	83.886
mha4	4	3	wavefront	ok	407731.4755	359633.7035	0	13674991.19	2989285.765	359633.7035	3828	280	40	359633.7035	0	39	0	0	39	101.476
mha4	4	3	chain	ok	404298.3042	30235.10336	0	48267845.19	2989285.765	359867.6471	3976	132	4	30235.10336	19242.73141	36	3	0	39	115.926
real	4	3	legacy_grid_stride	ok	5480958.637	5439915.221	0	409899107.4	237206288.6	3718801.46	76196	1596	60	5439915.221	0	35	0	16	51	448.143
real	4	3	rotate	ok	4340901.349	1634720.813	116	648600608.1	237206288.6	4292856.33	77792	0	11	1204185.169	0	39	0	0	39	526.696
real	4	3	balanced	ok	47760205.66	8027422.598	40	6032137190	237206288.6	3718801.46	71224	6568	60	8027422.598	0	31	0	448	479	457.136
real	4	3	eft	ok	4335995.344	4292837.482	0	579443225.6	237206288.6	4006335.316	76988	804	42	4005308.796	0	35	4	2	41	552.022
real	4	3	band	ok	5480958.637	5439915.221	0	409899107.4	237206288.6	3718801.46	76196	1596	60	5439915.221	0	35	0	16	51	441.306
real	4	3	wavefront	ok	4340902.216	4292856.312	0	525483765	237206288.6	4292856.312	76580	1212	40	3718801.46	0	39	0	0	39	539.8
real	4	3	chain	ok	4912046.849	1356948.091	4	667310033.7	237206288.6	3862832.514	77251	541	13	1356432.989	144352.2619	37	1	8	46	549.199
gqa2	128	3	legacy_grid_stride	ok	323526.6298	303984.4718	1	60517226.18	4322127.644	185342.1498	545140	3736	34	295639.0654	0	17	0	10	27	2074.367
gqa2	128	3	rotate	ok	215126.6343	50515.0243	60	38368594.76	4322127.644	185342.1498	545252	3624	18	42169.61788	0	17	0	10	27	2036.586
gqa2	128	3	balanced	ok	325911.3371	87708.13387	72	44435938.28	4322127.644	185196.1548	543602	5274	34	87233.83628	0	19	0	136	155	1984.745
gqa2	128	3	eft	ok	215120.4624	194156.0443	1	35109637.34	4322127.644	185342.1498	545660	3216	28	185816.4474	0	17	0	10	27	2209.663
gqa2	128	3	band	ok	323526.6298	303984.4718	1	60517226.18	4322127.644	185342.1498	545140	3736	34	295639.0654	0	17	0	10	27	2123.888
gqa2	128	3	wavefront	ok	215123.6665	194161.8538	0	35108956.95	4322127.644	185342.1498	545140	3736	28	185816.4474	0	17	0	10	27	2116.647
gqa2	128	3	chain	ok	218499.1517	39162.09162	0	36643110.63	4322127.644	185342.1498	546106	2770	22	35700.83479	30235.10336	17	0	20	37	2059.818
mha4	128	3	legacy_grid_stride	ok	652960.3846	613609.2326	0	136656941.1	9659072.598	370709.9406	2149540	12664	80	594098.2753	0	35	0	28	63	7482.617
mha4	128	3	rotate	ok	437123.7068	93154.37045	140	87004545.22	9659072.598	370684.2995	2149788	12416	47	73643.41308	0	35	0	32	67	7346.082
mha4	128	3	balanced	ok	1244432.106	171884.1002	72	245148396.7	9659072.598	368091.9372	2141676	20528	80	171415.2806	0	36	0	518	554	7045.917
mha4	128	3	eft	ok	437123.8372	393704.4221	0	84177871.92	9659072.598	370684.2995	2150680	11524	74	375875.932	0	36	0	35	71	6936.778
mha4	128	3	band	ok	652960.3846	613609.2326	0	136656941.1	9659072.598	370709.9406	2149540	12664	80	594098.2753	0	35	0	28	63	7583.399
mha4	128	3	wavefront	ok	437117.0159	393963.9966	0	83743939.4	9659072.598	370684.2995	2149540	12664	68	374453.0392	0	35	0	32	67	7459.29
mha4	128	3	chain	ok	446326.144	180998.8372	1	87205244.34	9659072.598	372454.8305	2151540	10664	52	170461.3253	18537.71334	35	0	55	90	7005.805
real	128	3	legacy_grid_stride	ok	5901165.621	5862955.571	0	991507548.7	298164759.4	3755506.325	34829792	158464	216	5647690.4	0	31	0	184	215	112508.157
real	128	3	rotate	ok	4760049.018	2228235.244	32	645515989	298164759.4	4313798.018	34831456	156800	188	1583209.673	0	35	0	168	203	103147.008
real	128	3	balanced	ok	12057609.68	4316885.067	248	1151463479	298164759.4	3731375.464	34574696	413560	216	4309624.235	0	35	0	1063	1098	98630.888
real	128	3	eft	ok	4760049.159	4716927.841	0	703847866.3	298164759.4	3740784.153	34836576	151680	220	4536554.202	0	35	0	184	219	106297.837
real	128	3	band	ok	5901165.621	5862955.571	0	991507548.7	298164759.4	3755506.325	34829792	158464	216	5647690.4	0	31	0	184	215	103210.619
real	128	3	wavefront	ok	4760060.384	4716927.841	0	631293937.7	298164759.4	4313798.018	34830560	157696	204	3928648.804	0	35	0	168	203	111701.177
real	128	3	chain	ok	4929580.866	2455061.057	0	751541257.8	298164759.4	3884037.619	34838953	149303	210	2153620.199	143770.9036	35	0	204	239	97829.943
