model	seq	candidate	chunks	feasible	ctas_per_sm	shared_bytes	l1_ns	selected
mha4	4	0	1	1	2	24576	643211.22868540999	1
mha4	4	1	2	1	2	24576	657319.1113674934	0
mha4	4	2	4	1	2	24576	657316.70752131892	0
mha4	4	3	8	1	2	24576	657469.35175340204	0
mha4	128	0	1	1	2	24576	674671.71298131882	1
mha4	128	1	2	1	2	24576	698850.7848868001	0
mha4	128	2	4	1	2	24576	710144.16179786192	0
mha4	128	3	8	1	2	24576	732129.15279429336	0
