model	placement	kernel	membar_sc_gpu	membar	bar_sync	binary_sha256
gqa2	0	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	3	3	10	24ae201703ab73734ca9dac73bc2783803142daa049eb6e28a281e7e0344ca1a
gqa2	5	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	3	3	10	d5147de33206f9438294a02e66bb1d08ee62120ea399af5f018cd28399209f83
mha4	0	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	3	3	10	82ba7ab876fe31941fb41a55f70b0978a2d087a08657a8a1f9b688048d4f8d77
mha4	5	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	3	3	10	08ea636d3536d222bb6531682641ac8db152645457bf9fbfb9b1042d3820bdac
