cluster_size	run	status
4	22	PASS
4	23	PASS
4	24	PASS
4	25	PASS
4	26	PASS
4	27	PASS
4	28	PASS
4	29	PASS
4	30	PASS
4	31	PASS
4	32	PASS
4	33	PASS
4	34	PASS
4	35	PASS
4	36	PASS
4	37	PASS
4	38	PASS
4	39	PASS
4	40	PASS
4	41	PASS
4	42	PASS
4	43	PASS
4	44	PASS
4	45	PASS
4	46	PASS
4	47	PASS
4	48	PASS
4	49	PASS
4	50	PASS
4	51	PASS
4	52	PASS
4	53	PASS
4	54	PASS
4	55	PASS
4	56	PASS
4	57	PASS
4	58	PASS
4	59	PASS
4	60	PASS
4	61	PASS
4	62	PASS
4	63	PASS
4	64	PASS
4	65	PASS
4	66	PASS
4	67	PASS
4	68	PASS
4	69	PASS
4	70	PASS
4	71	PASS
4	72	PASS
4	73	PASS
4	74	PASS
4	75	PASS
4	76	PASS
4	77	PASS
4	78	PASS
4	79	PASS
4	80	PASS
4	81	PASS
4	82	PASS
4	83	PASS
4	84	PASS
4	85	PASS
4	86	PASS
4	87	PASS
4	88	PASS
4	89	PASS
4	90	PASS
4	91	PASS
4	92	PASS
4	93	PASS
4	94	PASS
4	95	PASS
4	96	PASS
4	97	PASS
4	98	PASS
4	99	PASS
4	100	PASS
4	101	PASS
4	102	PASS
4	103	PASS
4	104	PASS
4	105	PASS
4	106	PASS
4	107	PASS
4	108	PASS
4	109	PASS
4	110	PASS
4	111	PASS
4	112	PASS
4	113	PASS
4	114	PASS
4	115	PASS
4	116	PASS
4	117	PASS
4	118	PASS
4	119	PASS
4	120	PASS
4	121	PASS
4	122	PASS
4	123	PASS
4	124	PASS
4	125	PASS
4	126	PASS
4	127	PASS
4	128	PASS
4	129	PASS
4	130	PASS
4	131	PASS
4	132	PASS
4	133	PASS
4	134	PASS
4	135	PASS
4	136	PASS
4	137	PASS
4	138	PASS
4	139	PASS
4	140	PASS
4	141	PASS
4	142	PASS
4	143	PASS
4	144	PASS
4	145	PASS
4	146	PASS
4	147	PASS
4	148	PASS
4	149	PASS
4	150	PASS
4	151	PASS
4	152	PASS
4	153	PASS
4	154	PASS
4	155	PASS
4	156	PASS
4	157	PASS
4	158	PASS
4	159	PASS
4	160	PASS
4	161	PASS
4	162	PASS
4	163	PASS
4	164	PASS
4	165	PASS
4	166	PASS
4	167	PASS
4	168	PASS
4	169	PASS
4	170	PASS
4	171	PASS
4	172	PASS
4	173	PASS
4	174	PASS
4	175	PASS
4	176	PASS
4	177	PASS
4	178	PASS
4	179	PASS
4	180	PASS
4	181	PASS
4	182	PASS
4	183	PASS
4	184	PASS
4	185	PASS
4	186	PASS
4	187	PASS
4	188	PASS
4	189	PASS
4	190	PASS
4	191	PASS
4	192	PASS
4	193	PASS
4	194	PASS
4	195	PASS
4	196	PASS
4	197	PASS
4	198	PASS
4	199	PASS
4	200	PASS
8	1	PASS
8	2	PASS
8	3	PASS
8	4	PASS
8	5	PASS
8	6	PASS
8	7	PASS
8	8	PASS
8	9	PASS
8	10	PASS
8	11	PASS
8	12	PASS
8	13	PASS
8	14	PASS
8	15	PASS
8	16	PASS
8	17	PASS
8	18	PASS
8	19	PASS
8	20	PASS
8	21	PASS
8	22	PASS
8	23	PASS
8	24	PASS
8	25	PASS
8	26	PASS
8	27	PASS
8	28	PASS
8	29	PASS
8	30	PASS
8	31	PASS
8	32	PASS
8	33	PASS
8	34	PASS
8	35	PASS
8	36	PASS
8	37	PASS
8	38	PASS
8	39	PASS
8	40	PASS
8	41	PASS
8	42	PASS
8	43	PASS
8	44	PASS
8	45	PASS
8	46	PASS
8	47	PASS
8	48	PASS
8	49	PASS
8	50	PASS
8	51	PASS
8	52	PASS
8	53	PASS
8	54	PASS
8	55	PASS
8	56	PASS
8	57	PASS
8	58	PASS
8	59	PASS
8	60	PASS
8	61	PASS
8	62	PASS
8	63	PASS
8	64	PASS
8	65	PASS
8	66	PASS
8	67	PASS
8	68	PASS
8	69	PASS
8	70	PASS
8	71	PASS
8	72	PASS
8	73	PASS
8	74	PASS
8	75	PASS
8	76	PASS
8	77	PASS
8	78	PASS
8	79	PASS
8	80	PASS
8	81	PASS
8	82	PASS
8	83	PASS
8	84	PASS
8	85	PASS
8	86	PASS
8	87	PASS
8	88	PASS
8	89	PASS
8	90	PASS
8	91	PASS
8	92	PASS
8	93	PASS
8	94	PASS
8	95	PASS
8	96	PASS
8	97	PASS
8	98	PASS
8	99	PASS
8	100	PASS
8	101	PASS
8	102	PASS
8	103	PASS
8	104	PASS
8	105	PASS
8	106	PASS
8	107	PASS
8	108	PASS
8	109	PASS
8	110	PASS
8	111	PASS
8	112	PASS
8	113	PASS
8	114	PASS
8	115	PASS
8	116	PASS
8	117	PASS
8	118	PASS
8	119	PASS
8	120	PASS
8	121	PASS
8	122	PASS
8	123	PASS
8	124	PASS
8	125	PASS
8	126	PASS
8	127	PASS
8	128	PASS
8	129	PASS
8	130	PASS
8	131	PASS
8	132	PASS
8	133	PASS
8	134	PASS
8	135	PASS
8	136	PASS
8	137	PASS
8	138	PASS
8	139	PASS
8	140	PASS
8	141	PASS
8	142	PASS
8	143	PASS
8	144	PASS
8	145	PASS
8	146	PASS
8	147	PASS
8	148	PASS
8	149	PASS
8	150	PASS
8	151	PASS
8	152	PASS
8	153	PASS
8	154	PASS
8	155	PASS
8	156	PASS
8	157	PASS
8	158	PASS
8	159	PASS
8	160	PASS
8	161	PASS
8	162	PASS
8	163	PASS
8	164	PASS
8	165	PASS
8	166	PASS
8	167	PASS
8	168	PASS
8	169	PASS
8	170	PASS
8	171	PASS
8	172	PASS
8	173	PASS
8	174	PASS
8	175	PASS
8	176	PASS
8	177	PASS
8	178	PASS
8	179	PASS
8	180	PASS
8	181	PASS
8	182	PASS
8	183	PASS
8	184	PASS
8	185	PASS
8	186	PASS
8	187	PASS
8	188	PASS
8	189	PASS
8	190	PASS
8	191	PASS
8	192	PASS
8	193	PASS
8	194	PASS
8	195	PASS
8	196	PASS
8	197	PASS
8	198	PASS
8	199	PASS
8	200	PASS
