rank	key	pure_ns	eft_ns	pure_selected	moved_fraction
1	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
2	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s3k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
3	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s4k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
4	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s5k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
5	32x32x64s5k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x32s2k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
6	32x32x64s3k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
7	32x32x64s4k1;32x16x64s3k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
8	32x32x64s5k1;32x16x64s4k1;32x16x64s3k1;32x64x16s2k1;32x16x64s3k1;32x256x16s2k1;kappa=1;residency=2	3.52694e+06	3.96143e+06	1	0.929848
