producer	consumer	structure	predecessor	successor	all_producer
0	1	M:N	General	General	0
1	2	N:1	General	Unique	0
0	3	M:N	General	General	0
0	4	M:N	General	General	0
2	5	M:N	General	General	1
3	6	M:N	General	General	1
6	7	1:1	Unique	Unique	0
4	8	M:N	General	General	1
5	9	1:1	Unique	Unique	0
7	9	M:N	General	General	1
8	9	M:N	General	General	1
9	10	M:N	General	General	0
10	11	M:N	General	General	0
11	12	M:N	General	General	0
11	13	M:N	General	General	0
12	14	M:N	General	General	0
13	14	M:N	General	General	0
10	15	1:1	Unique	Unique	0
14	15	M:N	General	General	0
10	16	1:1	Unique	Unique	0
15	16	N:1	General	Unique	0
16	17	M:N	General	General	0
17	18	M:N	General	General	0
18	19	N:1	General	Unique	0
17	20	M:N	General	General	0
17	21	M:N	General	General	0
19	22	M:N	General	General	1
20	23	M:N	General	General	1
23	24	1:1	Unique	Unique	0
21	25	M:N	General	General	1
22	26	1:1	Unique	Unique	0
24	26	M:N	General	General	1
25	26	M:N	General	General	1
16	27	1:1	Unique	Unique	0
26	27	M:N	General	General	0
27	28	M:N	General	General	0
28	29	M:N	General	General	0
28	30	M:N	General	General	0
29	31	M:N	General	General	0
30	31	M:N	General	General	0
27	32	1:1	Unique	Unique	0
31	32	M:N	General	General	0
27	33	1:1	Unique	Unique	0
32	33	N:1	General	Unique	0
