model	variant	arm	seq	past	round	pass	l1_ms	l2_ms
gqa2	load_lines	full	4	3	0	1	0.332384	0.374272
gqa2	cluster	full	4	3	0	1	0.330400	0.398368
gqa2	cluster	full	4	3	1	1	0.330496	0.397632
gqa2	load_lines	full	4	3	1	1	0.329920	0.373632
gqa2	load_lines	full	4	3	2	1	0.329792	0.373248
gqa2	cluster	full	4	3	2	1	0.333792	0.396544
gqa2	cluster	full	4	3	3	1	0.332384	0.398368
gqa2	load_lines	full	4	3	3	1	0.330560	0.374976
gqa2	load_lines	full	4	3	4	1	0.330336	0.372192
gqa2	cluster	full	4	3	4	1	0.330624	0.397888
gqa2	cluster	full	4	3	5	1	0.347552	0.400416
gqa2	load_lines	full	4	3	5	1	0.329952	0.373344
gqa2	load_lines	full	4	3	6	1	0.328672	0.373600
gqa2	cluster	full	4	3	6	1	0.332544	0.399456
gqa2	cluster	full	4	3	7	1	0.332544	0.398400
gqa2	load_lines	full	4	3	7	1	0.330208	0.374272
gqa2	load_lines	full	4	3	8	1	0.331008	0.373120
gqa2	cluster	full	4	3	8	1	0.331776	0.398784
gqa2	cluster	full	4	3	9	1	0.331424	0.398624
gqa2	load_lines	full	4	3	9	1	0.331104	0.373408
gqa2	load_lines	full	4	3	10	1	0.332704	0.373696
gqa2	cluster	full	4	3	10	1	0.333088	0.398400
gqa2	cluster	full	4	3	11	1	0.331872	0.398528
gqa2	load_lines	full	4	3	11	1	0.330848	0.373792
gqa2	load_lines	full	4	3	12	1	0.330368	0.374336
gqa2	cluster	full	4	3	12	1	0.331200	0.398368
gqa2	cluster	full	4	3	13	1	0.330944	0.400000
gqa2	load_lines	full	4	3	13	1	0.332032	0.375424
gqa2	load_lines	full	4	3	14	1	0.330208	0.373728
gqa2	cluster	full	4	3	14	1	0.331264	0.398144
gqa2	cluster	full	4	3	15	1	0.330912	0.402368
gqa2	load_lines	full	4	3	15	1	0.329920	0.372192
gqa2	load_lines	full	4	3	16	1	0.330208	0.372672
gqa2	cluster	full	4	3	16	1	0.330080	0.398112
gqa2	cluster	full	4	3	17	1	0.333024	0.398208
gqa2	load_lines	full	4	3	17	1	0.327968	0.374080
gqa2	load_lines	full	4	3	18	1	0.330336	0.372288
gqa2	cluster	full	4	3	18	1	0.330592	0.398176
gqa2	cluster	full	4	3	19	1	0.333824	0.402528
gqa2	load_lines	full	4	3	19	1	0.331008	0.371936
gqa2	load_lines	full	4	3	20	1	0.330208	0.371680
gqa2	cluster	full	4	3	20	1	0.338496	0.413184
gqa2	cluster	full	4	3	21	1	0.330784	0.397952
gqa2	load_lines	full	4	3	21	1	0.331488	0.375200
gqa2	load_lines	full	4	3	22	1	0.330048	0.375040
gqa2	cluster	full	4	3	22	1	0.333664	0.399232
gqa2	cluster	full	4	3	23	1	0.331104	0.398144
gqa2	load_lines	full	4	3	23	1	0.330336	0.373568
gqa2	load_lines	full	4	3	24	1	0.329600	0.373376
gqa2	cluster	full	4	3	24	1	0.331456	0.397408
gqa2	cluster	full	4	3	25	1	0.331584	0.395488
gqa2	load_lines	full	4	3	25	1	0.330880	0.373216
gqa2	load_lines	full	4	3	26	1	0.330592	0.373056
gqa2	cluster	full	4	3	26	1	0.340704	0.397824
gqa2	cluster	full	4	3	27	1	0.332672	0.397792
gqa2	load_lines	full	4	3	27	1	0.328608	0.373408
gqa2	load_lines	full	4	3	28	1	0.330336	0.371040
gqa2	cluster	full	4	3	28	1	0.330400	0.397120
gqa2	cluster	full	4	3	29	1	0.329248	0.397568
gqa2	load_lines	full	4	3	29	1	0.328320	0.373344
gqa2	load_lines	full	4	3	30	1	0.330624	0.372800
gqa2	cluster	full	4	3	30	1	0.329696	0.397248
gqa2	cluster	full	4	3	31	1	0.332352	0.397792
gqa2	load_lines	full	4	3	31	1	0.330880	0.372800
gqa2	load_lines	full	4	3	32	1	0.329280	0.373696
gqa2	cluster	full	4	3	32	1	0.330912	0.397472
gqa2	cluster	full	4	3	33	1	0.330272	0.397472
gqa2	load_lines	full	4	3	33	1	0.329088	0.370112
gqa2	load_lines	full	4	3	34	1	0.330944	0.373504
gqa2	cluster	full	4	3	34	1	0.331168	0.397792
gqa2	cluster	full	4	3	35	1	0.331744	0.397760
gqa2	load_lines	full	4	3	35	1	0.329664	0.373088
gqa2	load_lines	full	4	3	36	1	0.330432	0.373056
gqa2	cluster	full	4	3	36	1	0.329312	0.397792
gqa2	cluster	full	4	3	37	1	0.332000	0.397824
gqa2	load_lines	full	4	3	37	1	0.328736	0.371008
gqa2	load_lines	full	4	3	38	1	0.328384	0.372864
gqa2	cluster	full	4	3	38	1	0.331776	0.396864
gqa2	cluster	full	4	3	39	1	0.330208	0.397504
gqa2	load_lines	full	4	3	39	1	0.330752	0.374976
gqa2	load_lines	full	4	3	40	1	0.331648	0.372416
gqa2	cluster	full	4	3	40	1	0.333536	0.397088
gqa2	cluster	full	4	3	41	1	0.329984	0.397376
gqa2	load_lines	full	4	3	41	1	0.328832	0.373408
gqa2	load_lines	full	4	3	42	1	0.331840	0.373216
gqa2	cluster	full	4	3	42	1	0.332320	0.397728
gqa2	cluster	full	4	3	43	1	0.329952	0.397504
gqa2	load_lines	full	4	3	43	1	0.329184	0.373376
gqa2	load_lines	full	4	3	44	1	0.331456	0.372320
gqa2	cluster	full	4	3	44	1	0.331744	0.397472
gqa2	cluster	full	4	3	45	1	0.330048	0.397120
gqa2	load_lines	full	4	3	45	1	0.331104	0.370944
gqa2	load_lines	full	4	3	46	1	0.328832	0.372736
gqa2	cluster	full	4	3	46	1	0.331552	0.399712
gqa2	cluster	full	4	3	47	1	0.332608	0.398496
gqa2	load_lines	full	4	3	47	1	0.328960	0.373184
gqa2	load_lines	full	4	3	48	1	0.329120	0.370944
gqa2	cluster	full	4	3	48	1	0.330272	0.397824
gqa2	cluster	full	4	3	49	1	0.330048	0.397120
gqa2	load_lines	full	4	3	49	1	0.330336	0.372800
gqa2	load_lines	full	128	3	0	1	0.601280	0.674560
gqa2	cluster	full	128	3	0	1	0.603648	0.717824
gqa2	cluster	full	128	3	1	1	0.600960	0.717952
gqa2	load_lines	full	128	3	1	1	0.601600	0.672544
gqa2	load_lines	full	128	3	2	1	0.602208	0.674368
gqa2	cluster	full	128	3	2	1	0.603776	0.717984
gqa2	cluster	full	128	3	3	1	0.601760	0.719648
gqa2	load_lines	full	128	3	3	1	0.602016	0.673152
gqa2	load_lines	full	128	3	4	1	0.600224	0.674496
gqa2	cluster	full	128	3	4	1	0.603168	0.717760
gqa2	cluster	full	128	3	5	1	0.601824	0.720256
gqa2	load_lines	full	128	3	5	1	0.602304	0.674592
gqa2	load_lines	full	128	3	6	1	0.601888	0.677024
gqa2	cluster	full	128	3	6	1	0.602112	0.720608
gqa2	cluster	full	128	3	7	1	0.601248	0.717664
gqa2	load_lines	full	128	3	7	1	0.599968	0.674720
gqa2	load_lines	full	128	3	8	1	0.602464	0.672896
gqa2	cluster	full	128	3	8	1	0.601632	0.717856
gqa2	cluster	full	128	3	9	1	0.601408	0.719296
gqa2	load_lines	full	128	3	9	1	0.602304	0.675264
gqa2	load_lines	full	128	3	10	1	0.601632	0.673728
gqa2	cluster	full	128	3	10	1	0.601888	0.719552
gqa2	cluster	full	128	3	11	1	0.603424	0.717472
gqa2	load_lines	full	128	3	11	1	0.601952	0.672864
gqa2	load_lines	full	128	3	12	1	0.602176	0.672800
gqa2	cluster	full	128	3	12	1	0.602240	0.719616
gqa2	cluster	full	128	3	13	1	0.601600	0.719584
gqa2	load_lines	full	128	3	13	1	0.602304	0.674848
gqa2	load_lines	full	128	3	14	1	0.601984	0.676288
