solver	model	seq	phase	count	total_ms
skeleton	mha4	4	bridge_and_plan	1	15.8541
skeleton	mha4	4	cache_hit	1487246	0
skeleton	mha4	4	cache_miss	2116	0
skeleton	mha4	4	derive	19	238.677
skeleton	mha4	4	flow	25161	4819.84
skeleton	mha4	4	flow_report	18	6.6205
skeleton	mha4	4	import	1	4.12912
skeleton	mha4	4	instantiate	19	3.10733
skeleton	mha4	4	instantiate_and_derive	25160	49422.1
skeleton	mha4	4	materialize	18	36.4981
skeleton	mha4	4	megakernel_compile	3	86156.2
skeleton	mha4	4	piece_pricing_and_release	25179	866292
skeleton	mha4	4	prepare_relations	19	13805.9
skeleton	mha4	4	price_cache_hit	9331	0
skeleton	mha4	4	release_cache_hit	2306855	0
skeleton	mha4	4	resource_probe	26397	26215.6
skeleton	mha4	4	search_evaluations	25156	0
skeleton	mha4	4	search_rounds	3	0
skeleton	mha4	4	simulate	18	7.96348
skeleton	mha4	4	skeleton	18	4049.73
skeleton	mha4	4	total	1	1.06276e+06
