model	tile_m	tile_n	producer	consumer	producer_gemm	consumer_gemm	waits	consumers	volume	interface_ns
mha4	32	32	l0.s00.norm	l0.s01.proj	-1	0	2048	64	512	397.43590085683576
mha4	32	32	l0.s00.norm	l0.s02.proj	-1	1	2048	64	512	397.43590085683576
mha4	32	32	l0.s00.norm	l0.s03.proj	-1	2	2048	64	512	397.43590085683576
mha4	32	32	l0.s01.proj	l0.s04.rope	0	-1	65536	65536	1	0
mha4	32	32	l0.s02.proj	l0.s05.rope	1	-1	65536	65536	1	0
mha4	32	32	l0.s05.rope	l0.s06.append	-1	-1	65536	65536	1	0
mha4	32	32	l0.s03.proj	l0.s07.append	2	-1	65536	65536	1	0
mha4	32	32	l0.s04.rope	l0.s08.attn	-1	-1	65536	512	1	25.440705347186565
mha4	32	32	l0.s06.append	l0.s08.attn	-1	-1	8388608	512	1	3281.8509897870667
mha4	32	32	l0.s07.append	l0.s08.attn	-1	-1	8388608	512	1	3281.8509897870667
mha4	32	32	l0.s08.attn	l0.s09.proj	-1	3	8192	64	128	407.05128555498504
mha4	32	32	l0.s09.proj	l0.s09.add	3	3	64	64	1024	0
mha4	32	32	l0.s09.add	l0.s10.norm	3	-1	2048	128	32	24.03846174537313
mha4	32	32	l0.s10.norm	l0.s11.proj	-1	4	4096	128	512	794.87180171367152
mha4	32	32	l0.s10.norm	l0.s12.proj	-1	5	4096	128	512	794.87180171367152
mha4	32	32	l0.s11.proj	l0.s13.act	4	-1	131072	131072	1	0
mha4	32	32	l0.s12.proj	l0.s13.act	5	-1	131072	131072	1	0
mha4	32	32	l0.s13.act	l0.s14.proj	-1	6	2097152	64	1	820.48778751108478
mha4	32	32	l0.s14.proj	l0.s14.add	6	6	64	64	1024	0
mha4	32	32	l0.s09.add	l0.s14.add	3	6	64	64	1024	0
mha4	32	32	l0.s14.add	l1.s15.norm	6	-1	2048	128	32	24.03846174537313
mha4	32	32	l1.s15.norm	l1.s16.proj	-1	7	2048	64	512	397.43590085683576
mha4	32	32	l1.s15.norm	l1.s17.proj	-1	8	2048	64	512	397.43590085683576
mha4	32	32	l1.s15.norm	l1.s18.proj	-1	9	2048	64	512	397.43590085683576
mha4	32	32	l1.s16.proj	l1.s19.rope	7	-1	65536	65536	1	0
mha4	32	32	l1.s17.proj	l1.s20.rope	8	-1	65536	65536	1	0
