model	tile_m	tile_n	producer	consumer	producer_gemm	consumer_gemm	waits	consumers	volume	interface_ns
gqa2	32	32	l0.s00.norm	l0.s01.proj	-1	0	64	16	512	9.6153846981492528
gqa2	32	32	l0.s00.norm	l0.s02.proj	-1	1	32	8	512	4.8076923490746264
gqa2	32	32	l0.s00.norm	l0.s03.proj	-1	2	32	8	512	4.8076923490746264
gqa2	32	32	l0.s01.proj	l0.s04.rope	0	-1	2048	2048	1	0
gqa2	32	32	l0.s02.proj	l0.s05.rope	1	-1	1024	1024	1	0
gqa2	32	32	l0.s05.rope	l0.s06.append	-1	-1	1024	1024	1	0
gqa2	32	32	l0.s03.proj	l0.s07.append	2	-1	1024	1024	1	0
gqa2	32	32	l0.s04.rope	l0.s08.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	32	32	l0.s06.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	32	l0.s07.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	32	l0.s08.attn	l0.s09.proj	-1	3	256	16	128	12.019230872686565
gqa2	32	32	l0.s09.proj	l0.s09.add	3	3	16	16	1024	0
gqa2	32	32	l0.s09.add	l0.s10.norm	3	-1	64	4	32	0.75120192954291032
gqa2	32	32	l0.s10.norm	l0.s11.proj	-1	4	128	32	512	19.230769396298506
gqa2	32	32	l0.s10.norm	l0.s12.proj	-1	5	128	32	512	19.230769396298506
gqa2	32	32	l0.s11.proj	l0.s13.act	4	-1	4096	4096	1	0
gqa2	32	32	l0.s12.proj	l0.s13.act	5	-1	4096	4096	1	0
gqa2	32	32	l0.s13.act	l0.s14.proj	-1	6	65536	16	1	25.634765845651817
gqa2	32	32	l0.s14.proj	l0.s14.add	6	6	16	16	1024	0
gqa2	32	32	l0.s09.add	l0.s14.add	3	6	16	16	1024	0
gqa2	32	32	l0.s14.add	l1.s15.norm	6	-1	64	4	32	0.75120192954291032
gqa2	32	32	l1.s15.norm	l1.s16.proj	-1	7	64	16	512	9.6153846981492528
gqa2	32	32	l1.s15.norm	l1.s17.proj	-1	8	32	8	512	4.8076923490746264
gqa2	32	32	l1.s15.norm	l1.s18.proj	-1	9	32	8	512	4.8076923490746264
gqa2	32	32	l1.s16.proj	l1.s19.rope	7	-1	2048	2048	1	0
gqa2	32	32	l1.s17.proj	l1.s20.rope	8	-1	1024	1024	1	0
gqa2	32	32	l1.s20.rope	l1.s21.append	-1	-1	1024	1024	1	0
gqa2	32	32	l1.s18.proj	l1.s22.append	9	-1	1024	1024	1	0
gqa2	32	32	l1.s19.rope	l1.s23.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	32	32	l1.s21.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	32	l1.s22.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	32	l1.s23.attn	l1.s24.proj	-1	10	256	16	128	12.019230872686565
