family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	340	81	81	1	1	1	1	1	1	24	PASS
wavefront	340	82	82	1	1	1	1	1	1	24	PASS
wavefront	340	83	83	1	1	1	1	1	1	22	PASS
wavefront	340	84	84	1	1	1	1	1	1	22	PASS
wavefront	340	85	85	1	1	1	1	1	1	22	PASS
wavefront	340	86	86	1	1	1	1	1	1	26	PASS
wavefront	340	87	87	1	1	1	1	1	1	26	PASS
wavefront	340	88	88	1	1	1	1	1	1	26	PASS
wavefront	340	89	89	1	1	1	1	1	1	26	PASS
wavefront	340	90	90	1	1	1	1	1	1	26	PASS
wavefront	340	91	91	1	1	1	1	1	1	26	PASS
wavefront	340	92	92	1	1	1	1	1	1	26	PASS
wavefront	340	93	93	1	1	1	1	1	1	26	PASS
wavefront	340	94	94	1	1	1	1	1	1	26	PASS
wavefront	340	95	95	1	1	1	1	1	1	26	PASS
wavefront	340	96	96	1	1	1	1	1	1	26	PASS
