model	seq	variant	baseline	metric	rounds	delta_median	ci_low	ci_high	wilcoxon_p
gqa2	4	fanin64	base	l1_ms	25	-0.0010240000000000249	-0.0013759999999999883	-0.0009919999999999929	0.00011814014222469474
gqa2	4	fanin64	base	l2_ms	25	0.01555200000000001	0.015359999999999985	0.016544000000000003	1.29415569609671e-05
gqa2	4	fanin64	base	ratio	25	0.0404598970975405	0.039291132710322474	0.04441196881479348	1.3070605478013073e-05
gqa2	4	load_lines	base	l1_ms	25	0.000256000000000034	-0.00012799999999996148	0.0010240000000000249	0.04563911317008685
gqa2	4	load_lines	base	l2_ms	25	-0.00015999999999999348	-0.0012480000000000269	3.199999999997649e-05	0.10746273174872543
gqa2	4	load_lines	base	ratio	25	-0.0024937655860348684	-0.0045087064676614386	-0.0001010905910041604	0.00488857577164473
gqa2	4	shard1	base	l1_ms	25	-0.0009919999999999929	-0.0011839999999999629	-0.00022400000000000198	0.0053342076529505796
gqa2	4	shard1	base	l2_ms	25	0.007168000000000008	0.006144000000000038	0.007935999999999999	1.2918203985987915e-05
gqa2	4	shard1	base	ratio	25	0.01749194676902932	0.015827114427860778	0.020086595937327756	1.3070605478013073e-05
gqa2	4	shard128	base	l1_ms	25	0.0	-0.0008960000000000079	0.0009599999999999609	0.9611314373627461
gqa2	4	shard128	base	l2_ms	25	0.014400000000000024	0.013471999999999984	0.015391999999999961	1.281353431344087e-05
gqa2	4	shard128	base	ratio	25	0.03555973297588433	0.03246392724656011	0.03790053770921631	1.3070605478013073e-05
gqa2	4	shard16	base	l1_ms	25	0.00015999999999999348	-0.000256000000000034	0.0007359999999999589	0.7423528256962197
gqa2	4	shard16	base	l2_ms	25	0.014528000000000041	0.014336000000000015	0.015551999999999955	1.2744134043781526e-05
gqa2	4	shard16	base	ratio	25	0.03706773811267694	0.03422519134573432	0.03976099639089936	1.3070605478013073e-05
gqa2	4	shard4	base	l1_ms	25	-0.00022400000000000198	-0.0019839999999999858	0.0	0.08885356366988205
gqa2	4	shard4	base	l2_ms	25	0.012479999999999991	0.012224000000000013	0.01331199999999999	1.2883238032153374e-05
gqa2	4	shard4	base	ratio	25	0.03285253619907924	0.03019094670641409	0.03497713676051095	1.3070605478013073e-05
gqa2	4	shard64	base	l1_ms	25	6.40000000000085e-05	-0.00022400000000000198	0.0008319999999999994	0.4659223594276453
gqa2	4	shard64	base	l2_ms	25	0.015359999999999985	0.014336000000000015	0.015647999999999995	1.2929876236589135e-05
gqa2	4	shard64	base	ratio	25	0.03660397034392848	0.034232102888819504	0.03971241599497444	1.3070605478013073e-05
gqa2	128	fanin64	base	l1_ms	25	0.0011200000000000099	0.0008639999999999759	0.0022400000000000198	0.0009314641356271577
gqa2	128	fanin64	base	l2_ms	25	0.01536000000000004	0.014464000000000032	0.016607999999999956	1.2883238032153374e-05
gqa2	128	fanin64	base	ratio	25	0.02461005254853288	0.02262146200844395	0.026420163462100188	1.3070605478013073e-05
gqa2	128	load_lines	base	l1_ms	25	0.0020479999999999388	0.0010240000000000249	0.0031680000000000597	0.00215437380608717
gqa2	128	load_lines	base	l2_ms	25	-0.0010879999999999779	-0.0020480000000000498	-0.0009919999999999929	0.00010706388988149
gqa2	128	load_lines	base	ratio	25	-0.00603000486801708	-0.009036929923016856	-0.003593766681508903	5.4361701407455456e-05
gqa2	128	shard1	base	l1_ms	25	0.0018880000000000008	3.2000000000032e-05	0.0030719999999999636	0.008683868177231642
gqa2	128	shard1	base	l2_ms	25	0.008191999999999977	0.006336000000000008	0.009216000000000002	1.2871599631974263e-05
gqa2	128	shard1	base	ratio	25	0.01069024917875172	0.007802468952649022	0.012720723209313167	1.3070605478013073e-05
gqa2	128	shard128	base	l1_ms	25	0.0022080000000000988	0.0010239999999999139	0.0040639999999999565	0.000979342078087101
gqa2	128	shard128	base	l2_ms	25	0.014368000000000047	0.013312000000000102	0.01536000000000004	1.2964943848938356e-05
gqa2	128	shard128	base	ratio	25	0.02162655124877455	0.017560184979136917	0.02358582804488152	1.3070605478013073e-05
gqa2	128	shard16	base	l1_ms	25	0.0022079999999999878	0.0018560000000000798	0.0030719999999999636	0.00010680204467001306
gqa2	128	shard16	base	l2_ms	25	0.016352000000000033	0.015487999999999946	0.01724799999999993	1.2964943848938356e-05
gqa2	128	shard16	base	ratio	25	0.023186853461375945	0.02147657082026111	0.024992059289045132	1.3070605478013073e-05
gqa2	128	shard4	base	l1_ms	25	0.0018880000000000008	-0.0008000000000000229	0.0026880000000000237	0.04216058065764349
gqa2	128	shard4	base	l2_ms	25	0.015392000000000072	0.014432	0.016064000000000078	1.3058831246722831e-05
gqa2	128	shard4	base	ratio	25	0.024724599132514236	0.021903487284908207	0.027101497876145464	1.3070605478013073e-05
gqa2	128	shard64	base	l1_ms	25	0.0020479999999999388	0.0	0.0028799999999999937	0.02063911126952808
gqa2	128	shard64	base	l2_ms	25	0.01536000000000004	0.014464000000000032	0.016383999999999954	1.2894884888237909e-05
gqa2	128	shard64	base	ratio	25	0.025029584195264576	0.021231681220522658	0.026617010440539657	1.3070605478013073e-05
mha4	4	fanin64	base	l1_ms	25	0.005344000000000015	0.0032959999999999656	0.007199999999999984	3.2149270570490614e-05
mha4	4	fanin64	base	l2_ms	25	0.03481600000000007	0.03379199999999993	0.03583999999999998	1.2953246163592664e-05
mha4	4	fanin64	base	ratio	25	0.03694603695279186	0.03229139757168675	0.04000806778788624	1.3070605478013073e-05
mha4	4	load_lines	base	l1_ms	25	0.0040959999999999885	0.0020480000000000498	0.005119999999999902	7.578750704575716e-05
mha4	4	load_lines	base	l2_ms	25	0.0	-0.0010239999999999139	0.0010240000000000249	0.8580044340310563
mha4	4	load_lines	base	ratio	25	-0.004635079063868286	-0.0073155695539064425	-0.0027522459365425522	0.0005729961568586515
mha4	4	shard1	base	l1_ms	25	0.0030720000000000747	0.0014399999999999968	0.0040959999999999885	0.00021842068804589515
mha4	4	shard1	base	l2_ms	25	0.01740799999999998	0.01632	0.018271999999999955	1.2883238032153374e-05
mha4	4	shard1	base	ratio	25	0.017216096442546736	0.014538244970408787	0.02057153725817895	1.3070605478013073e-05
mha4	4	shard128	base	l1_ms	25	0.010144000000000042	0.007904000000000022	0.011264000000000052	1.3058831246722831e-05
mha4	4	shard128	base	l2_ms	25	0.03481599999999996	0.033792000000000044	0.03580799999999995	1.2755679723387382e-05
mha4	4	shard128	base	ratio	25	0.03041961472469401	0.027781704621395065	0.03343924612256899	1.3070605478013073e-05
mha4	4	shard16	base	l1_ms	25	0.009024000000000032	0.007167999999999952	0.010239999999999916	1.3000087846037826e-05
mha4	4	shard16	base	l2_ms	25	0.03465600000000002	0.03302400000000005	0.03481600000000007	1.2988364685685464e-05
mha4	4	shard16	base	ratio	25	0.030338056820151005	0.02822931434827547	0.03473993880466364	1.3070605478013073e-05
mha4	4	shard4	base	l1_ms	25	0.007199999999999984	0.0050240000000000284	0.007423999999999986	1.3047065538460705e-05
mha4	4	shard4	base	l2_ms	25	0.031743999999999994	0.03071999999999997	0.03276800000000002	1.281353431344087e-05
mha4	4	shard4	base	ratio	25	0.029490717101669617	0.026885984748552083	0.03384097627566085	1.3070605478013073e-05
mha4	4	shard64	base	l1_ms	25	0.010048000000000057	0.009216000000000002	0.01123200000000002	1.3011819507012243e-05
mha4	4	shard64	base	l2_ms	25	0.03481600000000007	0.03379199999999993	0.03583999999999998	1.2859969683235855e-05
mha4	4	shard64	base	ratio	25	0.0297448717952149	0.02693589579186173	0.03288500141544648	1.3070605478013073e-05
