model	seq	variant	metric	rounds	median	ci_low	ci_high
mha4	128	load_lines	l1_ms	25	1.147104	1.145056	1.14912
mha4	128	load_lines	l2_ms	25	1.247232	1.247232	1.24848
mha4	128	load_lines	ratio	25	1.087421944692239	1.0855193539404067	1.0893856311548793
mha4	128	shard1	l1_ms	25	1.149184	1.147904	1.150976
mha4	128	shard1	l2_ms	25	1.263392	1.260608	1.263616
mha4	128	shard1	ratio	25	1.0980392156862746	1.0968028419182947	1.1006466358213949
mha4	128	shard128	l1_ms	25	1.148928	1.14688	1.15008
mha4	128	shard128	l2_ms	25	1.281024	1.279904	1.283008
mha4	128	shard128	ratio	25	1.1147686832740213	1.1136932228831935	1.1159157483609987
mha4	128	shard16	l1_ms	25	1.149952	1.148928	1.150976
mha4	128	shard16	l2_ms	25	1.282048	1.280864	1.284096
mha4	128	shard16	ratio	25	1.1148708815672306	1.1130899376669634	1.1165480427046264
mha4	128	shard4	l1_ms	25	1.150976	1.148928	1.152
mha4	128	shard4	l2_ms	25	1.282848	1.28	1.283072
mha4	128	shard4	ratio	25	1.1141098484848486	1.1133977670388266	1.1152934615920813
mha4	128	shard64	l1_ms	25	1.148128	1.14688	1.149952
mha4	128	shard64	l2_ms	25	1.281024	1.278976	1.282048
mha4	128	shard64	ratio	25	1.1151596189202742	1.114154996373375	1.1173921552182056
