slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1384	0	2459	1987	1799	188	5830
1	5	120	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1282	0	1055	217	30	187	2554
2	4	120	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1306	0	1830	215	30	185	3351
3	4	376	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1280	0	1782	210	30	180	3272
4	7	120	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1404	0	1241	221	32	189	2866
5	6	120	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1100	0	905	216	30	186	2221
6	8	120	5	0	0	0	0	1	0	1024	0	20480	1024	0	1024	22528	1814	0	57837	1455	193	1262	61106
7	8	376	5	0	0	0	0	1	0	1024	0	16384	0	0	0	17408	2146	0	46630	253	30	223	49029
8	10	116	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1342	0	2390	2117	1930	187	5849
9	15	96	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1295	0	2318	2014	1826	188	5627
10	20	216	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1304	0	1548	216	30	186	3068
11	19	216	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1332	0	1520	217	30	187	3069
12	19	472	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1317	0	1797	220	30	190	3334
13	22	216	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1416	0	908	218	30	188	2542
14	21	216	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1139	0	700	219	31	188	2058
15	23	216	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1808	0	48913	215	30	185	50936
16	23	472	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1793	0	48498	462	30	432	50753
17	28	68	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1311	0	6461	217	30	187	7989
18	0	1	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1357	0	2430	1998	1810	188	5785
19	5	121	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1125	0	1886	218	32	186	3229
20	4	121	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1326	0	1758	216	30	186	3300
21	4	377	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1302	0	1768	215	30	185	3285
22	7	121	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1350	0	1257	218	30	188	2825
23	6	121	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1187	0	815	218	30	188	2220
24	8	121	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1801	0	56898	218	30	188	58917
25	8	377	5	0	0	0	0	1	0	2048	0	17408	0	0	0	19456	3514	0	48196	469	30	439	52179
26	10	117	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1333	0	2626	2091	1904	187	6050
27	15	97	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1266	0	2356	1987	1800	187	5609
