stage	count
0	[S] -> { S : 0 < S <= 2048 }
1	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
2	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
3	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
4	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
5	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
6	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
7	[S] -> { 4 * S : 0 < S <= 2048 }
8	[S] -> { 4 * S : 0 < S <= 2048 }
9	[S] -> { 4 * S : 0 < S <= 2048 }
10	[S] -> { 4 * S : 0 < S <= 2048 }
11	[S] -> { 4 * S : 0 < S <= 2048 }
12	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
13	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
14	[S] -> { S : 0 < S <= 2048 }
15	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
16	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
17	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
18	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
19	[S] -> { S : 0 < S <= 2048 }
20	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
21	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
22	[S] -> { S : 0 < S <= 2048 }
23	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
24	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
25	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
26	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
27	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
28	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
29	[S] -> { 4 * S : 0 < S <= 2048 }
30	[S] -> { 4 * S : 0 < S <= 2048 }
31	[S] -> { 4 * S : 0 < S <= 2048 }
32	[S] -> { 4 * S : 0 < S <= 2048 }
33	[S] -> { 4 * S : 0 < S <= 2048 }
34	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
35	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
36	[S] -> { S : 0 < S <= 2048 }
37	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
38	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
39	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
40	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
41	[S] -> { S : 0 < S <= 2048 }
42	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
43	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
44	[S] -> { S : 0 < S <= 2048 }
45	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
46	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
47	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
48	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
49	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
50	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
51	[S] -> { 4 * S : 0 < S <= 2048 }
52	[S] -> { 4 * S : 0 < S <= 2048 }
53	[S] -> { 4 * S : 0 < S <= 2048 }
54	[S] -> { 4 * S : 0 < S <= 2048 }
55	[S] -> { 4 * S : 0 < S <= 2048 }
56	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
57	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
58	[S] -> { S : 0 < S <= 2048 }
59	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
60	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
61	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
62	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
63	[S] -> { S : 0 < S <= 2048 }
64	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
65	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
66	[S] -> { S : 0 < S <= 2048 }
67	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
68	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
69	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
