model	seq	arm	capacity	stages	kappa	residency	grid	per_stage	table	moves	uniform_ns	per_stage_ns	rounds	passing	binary_sha256
gqa2	4	searched	12	44	1	4	512	0	uniform	0	169097	169097	50	50	116507709f45a2decbb80d7916b537362f3f90daee51a1337b7b1ed56d4ba28c
gqa2	4	forced	12	44	1	4	512	1	1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2	0	169097	169097	50	50	2466b103a68f619342ce254afb8c8d191cb4ac211f66e62c2d13ef127c60eaed
mha4	4	searched	12	88	1	4	512	0	uniform	0	352991	352991	50	50	2690d963602d54841ee7aee6ae86d7a4f043fd542ec30ec89caf20423010ca66
mha4	4	forced	12	88	1	4	512	1	1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1	0	352991	352991	50	50	2a4232973e8c6fd3db81c30b3609d52e723799a95044353592d899a72c7798b5
