tile_m	tile_n	tile_k	stages	split	occupancy	bottleneck	tc_ns	cuda_ns	sfu_ns	tmem_ns	smem_ns	l1_5_ns	l2_ns	ddr_ns	net_ns
16	32	16	2	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	2	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	2	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	2	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	2	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	3	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	3	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	3	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	3	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	3	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	4	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	4	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	4	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	4	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	4	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	5	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	5	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	5	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	5	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	16	5	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0	0
16	32	32	2	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	2	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	2	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	2	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	2	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	3	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	3	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	3	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	3	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	3	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	4	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	4	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	4	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	4	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	4	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	5	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	5	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	5	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	5	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	32	32	5	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	0	0
16	64	16	2	1	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	2	2	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	2	4	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	2	8	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	2	16	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	3	1	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	3	2	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	3	4	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	3	8	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	3	16	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	4	1	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	4	2	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	4	4	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	4	8	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	4	16	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	5	1	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	5	2	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	5	4	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	5	8	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	16	5	16	2	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	32	2	1	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	2	2	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	2	4	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	2	8	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	2	16	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	3	1	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	3	2	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	3	4	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	3	8	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	3	16	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	4	1	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	4	2	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	4	4	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	4	8	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	4	16	2	smem	0	233.33332501186297	0	0	2213.9222492760523	0	512.26889514579295	0	0
16	64	32	5	1	1	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	32	5	2	1	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	32	5	4	1	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	32	5	8	1	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
16	64	32	5	16	1	smem	0	116.66666250593148	0	0	1106.9611246380261	0	256.13444757289648	0	0
