model	seq	rounds	segmented_l2_ms	fixed_l2_ms	ratio
gqa2	1	20	0.416736	0.41984	0.9926067073170732
gqa2	4	20	0.7463839999999999	0.74744	0.9985871775660922
gqa2	13	20	1.8719999999999999	1.84496	1.0146561443066515
gqa2	14	20	1.8546559999999999	1.855296	0.999655041567491
gqa2	16	20	2.113424	2.113536	0.9999470082364342
mha4	1	20	0.9164	0.917888	0.9983788871844931
mha4	4	20	1.408928	1.410048	0.9992057007988381
mha4	13	20	3.59936	3.576832	1.0062983109075294
mha4	14	20	3.815424	3.8149759999999997	1.0001174319314199
mha4	16	20	4.273152	4.272128	1.000239693192713
