model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns
gqa2	4	legacy_grid_stride	36.724	8.626	25.288	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091
gqa2	4	rotate	36.724	5.234	22.009	344114.592952	421518.85283	344114.592952	344114.592952	61038.4362679
gqa2	4	balanced	36.724	9.342	20.891	687623.03762	859900.666384	687623.03762	344114.592952	392543.105409
gqa2	4	band	36.724	5.582	16.262	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091
gqa2	4	wavefront	36.724	5.705	15.75	344114.592952	421518.85283	344114.592952	344114.592952	344037.669874
gqa2	128	legacy_grid_stride	4720.016	95.655	260.082	567453.889733	669681.948161	567453.889733	350473.567366	564223.120475
gqa2	128	rotate	4720.016	68.9	214.153	363321.147629	450989.049976	363321.147629	350473.567366	90438.3797309
gqa2	128	balanced	4720.016	72.385	235.064	576730.978041	1036642.04095	576730.978041	350473.567366	156615.410483
gqa2	128	band	4720.016	72.602	217.551	569094.915389	671322.973816	569094.915389	350473.567366	562582.09482
gqa2	128	wavefront	4720.016	68	212.201	363321.147629	450989.049976	363321.147629	350473.567366	360090.37837
gqa2	512	legacy_grid_stride	36288.454	385.531	1020.559	773890.84963	974504.797782	773890.84963	370165.875228	761172.900802
gqa2	512	rotate	36288.454	420.382	1021.452	569758.107525	755811.899597	569758.107525	370165.875228	299663.852187
gqa2	512	balanced	36288.454	348.322	1055.132	1396674.32748	2264009.74493	1396674.32748	370165.875228	436718.012015
gqa2	512	band	36288.454	329.186	1050.366	819737.003871	1026528.01103	819737.003871	370165.875228	717993.413251
gqa2	512	wavefront	36288.454	316.468	930.915	569758.107525	755811.899597	569758.107525	370165.875228	557450.415112
mha4	4	legacy_grid_stride	91.604	13.274	39.555	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818
mha4	4	rotate	91.604	10.276	38.71	688229.185904	847111.614075	688229.185904	688229.185904	122076.872536
mha4	4	balanced	91.604	13.696	33.073	1366498.90795	1697006.75023	1366498.90795	688229.185904	612921.626319
mha4	4	band	91.604	9.544	31.035	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818
mha4	4	wavefront	91.604	10.838	34.086	688229.185904	847111.614075	688229.185904	688229.185904	688075.339749
mha4	128	legacy_grid_stride	10910.581	231.375	629.226	1145358.87529	1376596.87347	1145358.87529	700947.134732	1138897.33677
mha4	128	rotate	10910.581	227.196	608.827	737093.39108	939211.077099	737093.39108	700947.134732	161361.295738
mha4	128	balanced	10910.581	232.852	634.659	2248301.63193	3859320.23628	2248301.63193	700947.134732	322065.88119
mha4	128	band	10910.581	203.201	611.233	1148640.9266	1379878.92478	1148640.9266	700947.134732	1135717.84957
mha4	128	wavefront	10910.581	198.157	597.28	737093.39108	939211.077099	737093.39108	700947.134732	730631.852563
mha4	512	legacy_grid_stride	156303.89	897.242	2059.702	1589586.08255	2086248.73532	1589586.08255	740331.750455	1564970.69772
mha4	512	rotate	156303.89	730.363	1761.552	1181320.59834	1648862.93895	1181320.59834	740331.750455	647317.385938
mha4	512	balanced	156303.89	626.51	1598.084	6666403.47098	10078464.5212	6666403.47098	740331.750455	1818741.79726
mha4	512	band	156303.89	646.533	1741.577	1681278.39103	2191530.57361	1681278.39103	740331.750455	1484355.31241
mha4	512	wavefront	156303.89	629.471	1623.208	1181320.59834	1648862.93895	1181320.59834	740331.750455	1156705.21351
real	4	legacy_grid_stride	388.571	38.335	112.494	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625
real	4	rotate	388.571	28.699	98.913	7995594.84006	8154477.26824	7995594.84006	7995594.84006	2589677.25825
real	4	balanced	388.571	32.949	101.512	102295054.394	103686547.267	102295054.394	7995594.84006	17145734.4052
real	4	band	388.571	29.712	93.419	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625
real	4	wavefront	388.571	27.479	97.316	7995594.84006	8154477.26824	7995594.84006	7995594.84006	7995193.82082
real	128	legacy_grid_stride	111278.097	1076.389	2149.348	12272063.6249	12806477.9991	12272063.6249	8028739.74807	12257092.2522
real	128	rotate	111278.097	803.203	1960.737	8600097.0229	9105391.08491	8600097.0229	8028739.74807	3543047.54921
real	128	balanced	111278.097	687.159	1799.986	26106495.7047	29008178.745	26106495.7047	8028739.74807	9430676.31424
real	128	band	111278.097	730.573	1945.856	12400389.6768	12934804.051	12400389.6768	8028739.74807	12135182.5028
real	128	wavefront	111278.097	694.639	1785.948	8600097.0229	9105391.08491	8600097.0229	8028739.74807	8585125.65018
