dump	window	measured_ns	predicted_ns	error_ns	relative_error	evaluate_us
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_balanced	1	648192	630823.866461	-17368.1335386	-0.0267947360328	66.952
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_chain	1	300032	315116.699854	15084.6998542	0.0502769699706	57.028
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_eft	1	299232	318188.699854	18956.6998542	0.0633511785311	53.92
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_legacy_grid_stride	1	453504	457420.633123	3916.6331228	0.00863638054527	55.44
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_rotate	1	291840	320092.259878	28252.2598782	0.0968073597799	54.623
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_wavefront	1	301056	320092.259878	19036.2598782	0.0632316242764	57.252
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_balanced	1	4111264	3863106.70015	-248157.299851	-0.060360341698	7023.816
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_chain	1	1129472	1183193.26966	53721.2696593	0.0475631708084	6789.456
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_eft	1	891904	946692.460556	54788.4605565	0.061428652138	6778.79
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_legacy_grid_stride	1	1276928	1290605.74271	13677.7427137	0.0107114439606	6814.54
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_rotate	1	866304	911969.849086	45665.8490856	0.0527134228696	6771.585
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_wavefront	1	960512	936545.849086	-23966.1509144	-0.0249514331048	6780.111
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_balanced	1	1236992	1217135.64924	-19856.3507635	-0.0160521254491	108.611
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_chain	1	595008	642499.308123	47491.3081231	0.0798162514169	106.599
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_eft	1	595968	637379.308123	41411.3081231	0.0694857913899	104.234
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_legacy_grid_stride	1	900960	926083.17466	25123.1746602	0.0278848946238	106.558
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_rotate	1	580608	647330.428171	66722.428171	0.114918203282	102.188
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_wavefront	1	598144	651426.428171	53282.428171	0.0890795998471	101.047
