cell	runtime_stage	logical_stage	task_kind	combine	tasks	measured_p50_ns	predicted_p50_ns	measured_predicted_p50	measured_total_ns	predicted_total_ns	dump
real_s4	0	0	kRMSNorm	0	4	10240.0	5517.3752858075995	1.8559549549475918	39936	22069.501143230398	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	1	1	kGemm	0	512	18944.0	18910.880827694768	1.001751328909901	10157056	9682370.98377981	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	2	1	kGemm	1	32	8192.0	5273.589351752666	1.5534011948195032	265216	168754.85925608527	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	3	2	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2194432	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	4	2	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	65536	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	5	3	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2219008	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	6	3	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	65536	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	7	4	kRoPE	0	128	1024.0	926.692550170379	1.1050051063988053	130048	118616.6464218087	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	8	5	kRoPE	0	32	1024.0	926.692550170379	1.1050051063988053	32768	29654.16160545215	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	9	6	kKVAppend	0	32	1024.0	909.9834149109737	1.1252952341996045	27648	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	10	7	kKVAppend	0	32	1024.0	909.9834149109737	1.1252952341996045	32768	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	11	8	kAttention	0	128	4096.0	1725.0682556961078	2.3516208335630053	516096	220808.73672910113	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	12	9	kGemm	0	512	20480.0	18910.880827694768	1.0829744096323253	10264576	9682370.98377981	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	13	9	kGemm	1	32	9216.0	5407.262433827909	1.7043744617136716	299008	173032.39788249318	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	14	10	kRMSNorm	0	4	13312.0	5517.3752858075995	2.4127414414318693	52224	22069.501143230398	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	15	11	kGemm	0	1792	17408.0	18910.880827694768	0.9205282481874765	32251904	33888298.44322958	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	16	11	kGemm	1	112	10240.0	5273.589351752666	1.941751493524379	1150976	590642.0073962979	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	17	12	kGemm	0	1792	16384.0	18910.880827694768	0.8663795277058602	29468672	33888298.44322958	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	18	12	kGemm	1	112	9216.0	5273.589351752666	1.7475763441719412	1020928	590642.0073962979	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	19	13	kElementwise	0	4	32768.0	12783.2242358568	2.563359555884667	130048	51132.8969434272	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	20	14	kGemm	0	512	63488.0	54934.47703044934	1.1557040938937049	32714752	28126452.239589825	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	21	14	kGemm	1	32	9216.0	5407.262433827909	1.7043744617136716	302080	173032.39788249318	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	22	15	kRMSNorm	0	4	13312.0	5517.3752858075995	2.4127414414318693	53248	22069.501143230398	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	23	16	kGemm	0	512	19456.0	18910.880827694768	1.028825689150709	10064896	9682370.98377981	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	24	16	kGemm	1	32	8192.0	5273.589351752666	1.5534011948195032	264192	168754.85925608527	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	25	17	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2199552	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	26	17	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	65536	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	27	18	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2270208	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	28	18	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	64512	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	29	19	kRoPE	0	128	1024.0	926.692550170379	1.1050051063988053	130048	118616.6464218087	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	30	20	kRoPE	0	32	2048.0	926.692550170379	2.2100102127976107	61440	29654.16160545215	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	31	21	kKVAppend	0	32	0.0	909.9834149109737	0.0	12288	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	32	22	kKVAppend	0	32	0.0	909.9834149109737	0.0	11264	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	33	23	kAttention	0	128	5120.0	1725.0682556961078	2.9395260419537563	637952	220808.73672910113	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	34	24	kGemm	0	512	19456.0	18910.880827694768	1.028825689150709	9996288	9682370.98377981	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	35	24	kGemm	1	32	9216.0	5407.262433827909	1.7043744617136716	297984	173032.39788249318	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	36	25	kRMSNorm	0	4	12288.0	5517.3752858075995	2.22714594593711	50176	22069.501143230398	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	37	26	kGemm	0	1792	17408.0	18910.880827694768	0.9205282481874765	32026624	33888298.44322958	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	38	26	kGemm	1	112	10240.0	5273.589351752666	1.941751493524379	1197056	590642.0073962979	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	39	27	kGemm	0	1792	16384.0	18910.880827694768	0.8663795277058602	29224960	33888298.44322958	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	40	27	kGemm	1	112	9216.0	5273.589351752666	1.7475763441719412	1016832	590642.0073962979	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	41	28	kElementwise	0	4	32768.0	12783.2242358568	2.563359555884667	130048	51132.8969434272	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	42	29	kGemm	0	512	63488.0	54934.47703044934	1.1557040938937049	32629760	28126452.239589825	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	43	29	kGemm	1	32	9216.0	5407.262433827909	1.7043744617136716	303104	173032.39788249318	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	44	30	kRMSNorm	0	4	13312.0	5517.3752858075995	2.4127414414318693	53248	22069.501143230398	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	45	31	kGemm	0	512	19456.0	18910.880827694768	1.028825689150709	9894912	9682370.98377981	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	46	31	kGemm	1	32	8192.0	5273.589351752666	1.5534011948195032	265216	168754.85925608527	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	47	32	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2195456	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	48	32	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	66560	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	49	33	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2242560	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	50	33	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	65536	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	51	34	kRoPE	0	128	1024.0	926.692550170379	1.1050051063988053	143360	118616.6464218087	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	52	35	kRoPE	0	32	1024.0	926.692550170379	1.1050051063988053	32768	29654.16160545215	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	53	36	kKVAppend	0	32	1024.0	909.9834149109737	1.1252952341996045	28672	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	54	37	kKVAppend	0	32	1024.0	909.9834149109737	1.1252952341996045	32768	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	55	38	kAttention	0	128	5120.0	1725.0682556961078	2.8841891128484236	600064	220808.73672910113	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	56	39	kGemm	0	512	20480.0	18910.880827694768	1.0829744096323253	10146816	9682370.98377981	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	57	39	kGemm	1	32	9216.0	5407.262433827909	1.7043744617136716	295936	173032.39788249318	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	58	40	kRMSNorm	0	4	13312.0	5517.3752858075995	2.4127414414318693	53248	22069.501143230398	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	59	41	kGemm	0	1792	17408.0	18910.880827694768	0.9205282481874765	32117760	33888298.44322958	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	60	41	kGemm	1	112	10240.0	5273.589351752666	1.941751493524379	1209344	590642.0073962979	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	61	42	kGemm	0	1792	16384.0	18910.880827694768	0.8663795277058602	29176832	33888298.44322958	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	62	42	kGemm	1	112	9216.0	5273.589351752666	1.7475763441719412	1021952	590642.0073962979	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	63	43	kElementwise	0	4	33280.0	12783.2242358568	2.6034120489453647	132096	51132.8969434272	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	64	44	kGemm	0	512	63488.0	54934.47703044934	1.1557040938937049	32698368	28126452.239589825	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	65	44	kGemm	1	32	9216.0	5407.262433827909	1.7043744617136716	305152	173032.39788249318	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	66	45	kRMSNorm	0	4	13312.0	5517.3752858075995	2.4127414414318693	53248	22069.501143230398	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	67	46	kGemm	0	512	19456.0	18910.880827694768	1.028825689150709	9989120	9682370.98377981	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	68	46	kGemm	1	32	8192.0	5273.589351752666	1.5534011948195032	266240	168754.85925608527	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	69	47	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2196480	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	70	47	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	67584	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	71	48	kGemm	0	128	17408.0	18910.880827694768	0.9205282481874765	2230272	2420592.7459449237	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	72	48	kGemm	1	8	8192.0	5273.589351752666	1.5534011948195032	64512	42188.71481402132	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	73	49	kRoPE	0	128	1024.0	926.692550170379	1.1050051063988053	144384	118616.6464218087	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	74	50	kRoPE	0	32	1024.0	926.692550170379	1.1050051063988053	37888	29654.16160545215	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	75	51	kKVAppend	0	32	1024.0	909.9834149109737	1.1252952341996045	31744	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	76	52	kKVAppend	0	32	1024.0	909.9834149109737	1.1252952341996045	32768	29119.469277151158	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
real_s4	77	53	kAttention	0	128	5120.0	1725.0682556961078	2.9395260419537563	620544	220808.73672910113	/root/TileMega/docs/experiments/JOINT2/bounded_search/real_s4/trace/top2/dump
