slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794407464022016	1088470298560	1789794407464023040	1088470299913	1789794407464023040	1088470299913	1789794407464024064	1088470302743	1789794407464025088	1088470304569	1789794407464025088	1088470304699	0	0	0	0	89	8
1	0	32	16	64	1	6144	1789794407464027136	1088470309413	1789794407464027136	1088470311569	1789794407464028160	1088470312640	1789794407464031232	1088470322010	1789794407464032256	1088470323197	1789794407464032256	1088470323326	1088470312699	1088470321916	1606	8	0	0
2	2	0	0	0	1	0	1789794407464034304	1088470328565	1789794407464034304	1088470329856	1789794407464034304	1088470329856	1789794407464035328	1088470331400	1789794407464035328	1088470331430	1789794407464035328	1088470331559	0	0	0	0	0	0
3	3	0	0	0	1	0	1789794407464037376	1088470335254	1789794407464037376	1088470336385	1789794407464037376	1088470336385	1789794407464037376	1088470337371	1789794407464037376	1088470337401	1789794407464037376	1088470337531	0	0	0	0	0	0
4	5	0	0	0	1	0	1789794407464040448	1088470342993	1789794407464040448	1088470344679	1789794407464040448	1088470344679	1789794407464043520	1088470352794	1789794407464043520	1088470352824	1789794407464043520	1088470352954	0	0	0	0	52	2
5	0	32	16	64	1	6144	1789794407464045568	1088470358296	1789794407464046592	1088470360480	1789794407464047616	1088470361591	1789794407464050688	1088470370871	1789794407464051712	1088470372732	1789794407464051712	1088470372864	1088470361637	1088470370777	1347	8	0	0
6	1	0	0	0	1	0	1789794407464053760	1088470378005	1789794407464054784	1088470379289	1789794407464054784	1088470379289	1789794407464055808	1088470382230	1789794407464055808	1088470384037	1789794407464056832	1088470384168	0	0	0	0	89	8
7	0	32	16	64	1	6144	1789794407464057856	1088470388844	1789794407464058880	1088470391024	1789794407464059904	1088470392118	1789794407464062976	1088470401997	1789794407464064000	1088470402940	1789794407464064000	1088470403071	1088470392144	1088470401903	2023	8	0	0
8	4	0	0	0	1	0	1789794407464066048	1088470408239	1789794407464066048	1088470409553	1789794407464066048	1088470409553	1789794407464069120	1088470415779	1789794407464069120	1088470415809	1789794407464069120	1088470415938	0	0	0	0	0	0
9	0	32	16	64	1	6144	1789794407464071168	1088470420934	1789794407464072192	1088470423095	1789794407464072192	1088470424122	1789794407464079360	1088470442443	1789794407464080384	1088470444561	1789794407464080384	1088470444691	1088470424241	1088470442349	3095	16	0	0
10	1	0	0	0	1	0	1789794407464082432	1088470450044	1789794407464083456	1088470451344	1789794407464083456	1088470451344	1789794407464084480	1088470454253	1789794407464084480	1088470455966	1789794407464084480	1088470456096	0	0	0	0	89	8
