model	split	fp32_partials	round	pass	mismatch	max_abs	partial_bytes	l05_ms	l1_ms	l2_ms	dtype	execution_index	hash
gqa2	1	0	0	1	0	2.2649765e-06	0	1.228512	1.225728	1.294336	f32	0	4d51e995ce302f00
gqa2	1	1	0	1	0	2.2649765e-06	0	1.223680	1.226752	1.290048	f32	1	4d51e995ce302f00
gqa2	16	0	0	1	0	1.9073486e-06	67108864	0.909312	0.911008	0.947200	f32	2	5b63400d0b5766e4
gqa2	16	1	0	1	0	1.9073486e-06	67108864	0.910112	0.909312	0.944928	f32	3	5b63400d0b5766e4
mha4	1	0	0	1	0	2.3841858e-06	0	2.453440	2.453312	2.641856	f32	4	26bba97f049e1b54
mha4	1	1	0	1	0	2.3841858e-06	0	2.452480	2.450496	2.640128	f32	5	26bba97f049e1b54
mha4	16	0	0	1	0	2.8610229e-06	150994944	1.925088	1.921120	2.020352	f32	6	5661e13d57086f64
mha4	16	1	0	1	0	2.8610229e-06	150994944	1.920000	1.916736	2.016160	f32	7	5661e13d57086f64
gqa2	1	1	1	1	0	2.2649765e-06	0	1.223584	1.224768	1.289248	f32	0	4d51e995ce302f00
gqa2	16	0	1	1	0	1.9073486e-06	67108864	0.908288	0.911264	0.947200	f32	1	5b63400d0b5766e4
gqa2	16	1	1	1	0	1.9073486e-06	67108864	0.909312	0.910080	0.949216	f32	2	5b63400d0b5766e4
mha4	1	0	1	1	0	2.3841858e-06	0	2.453504	2.453568	2.640128	f32	3	26bba97f049e1b54
mha4	1	1	1	1	0	2.3841858e-06	0	2.453504	2.452480	2.637824	f32	4	26bba97f049e1b54
mha4	16	0	1	1	0	2.8610229e-06	150994944	1.920000	1.920960	2.019328	f32	5	5661e13d57086f64
mha4	16	1	1	1	0	2.8610229e-06	150994944	1.932288	1.926208	2.021440	f32	6	5661e13d57086f64
gqa2	1	0	1	1	0	2.2649765e-06	0	1.225728	1.226720	1.291424	f32	7	4d51e995ce302f00
gqa2	16	0	2	1	0	1.9073486e-06	67108864	0.905184	0.905248	0.942080	f32	0	5b63400d0b5766e4
gqa2	16	1	2	1	0	1.9073486e-06	67108864	0.908288	0.909344	0.947200	f32	1	5b63400d0b5766e4
mha4	1	0	2	1	0	2.3841858e-06	0	2.453504	2.452512	2.639872	f32	2	26bba97f049e1b54
mha4	1	1	2	1	0	2.3841858e-06	0	2.453504	2.453216	2.641920	f32	3	26bba97f049e1b54
