model	variant	arm	seq	past	round	pass	l1_ms	l2_ms	l05_ms	reg	ctas_per_sm	grid	block	task_smem	occupancy_smem	static_smem	regs_per_sm	smem_per_sm	threads_per_sm	l1_reg	l05_reg	l1_ctas	l2_ctas	min_blocks	warp_size	l05_spill_stores	l05_spill_loads	l1_spill_stores	l1_spill_loads	l2_spill_stores	l2_spill_loads	f40_ctas	f40_binding	variant_stages	task_refs	waits	max_worker_task_refs	cold	warmup	repeat	execution_index
gqa2	base	full	1	3	0	1	0.342432	0.379136	0.357664	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	0
gqa2	base	nowait	1	3	0	0	0.342240	0.362336	0.358784	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	1
gqa2	base	neither	1	3	0	0	0.342464	0.298656	0.359264	214	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	2
gqa2	base	l1nosync	1	3	0	0	0.312960	0.377088	0.358688	218	2	340	128	24576	24576	0	65536	102400	1536	212	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	3
gqa2	base	nowait	1	3	1	0	0.341984	0.362208	0.357216	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	4
gqa2	base	neither	1	3	1	0	0.341824	0.296736	0.357088	214	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	5
gqa2	base	l1nosync	1	3	1	0	0.311392	0.374624	0.357696	218	2	340	128	24576	24576	0	65536	102400	1536	212	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	6
gqa2	base	full	1	3	1	1	0.341472	0.377920	0.358144	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	7
gqa2	base	neither	1	3	2	0	0.341696	0.299072	0.358432	214	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	8
gqa2	base	l1nosync	1	3	2	0	0.311264	0.374016	0.357056	218	2	340	128	24576	24576	0	65536	102400	1536	212	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	9
gqa2	base	full	1	3	2	1	0.341248	0.380512	0.358944	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	10
gqa2	base	nowait	1	3	2	0	0.341600	0.360736	0.358784	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	11
gqa2	base	l1nosync	1	3	3	0	0.312096	0.374272	0.358656	218	2	340	128	24576	24576	0	65536	102400	1536	212	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	12
gqa2	base	full	1	3	3	1	0.340736	0.377280	0.358432	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	13
gqa2	base	nowait	1	3	3	0	0.342656	0.363040	0.358016	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	14
gqa2	base	neither	1	3	3	0	0.342624	0.296800	0.358336	214	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	15
gqa2	base	full	1	3	4	1	0.341728	0.380864	0.358336	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	16
gqa2	base	nowait	1	3	4	0	0.341600	0.362368	0.358656	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	17
