model	variant	arm	seq	past	round	pass	l1_ms	l2_ms	l05_ms	reg	ctas_per_sm	grid	block	task_smem	occupancy_smem	static_smem	regs_per_sm	smem_per_sm	threads_per_sm	l1_reg	l05_reg	l1_ctas	l2_ctas	min_blocks	warp_size	l05_spill_stores	l05_spill_loads	l1_spill_stores	l1_spill_loads	l2_spill_stores	l2_spill_loads	f40_ctas	f40_binding	variant_stages	task_refs	waits	max_worker_task_refs	cold	warmup	repeat	execution_index
gqa2	base	full	1	3	0	1	0.340672	0.376128	0.358176	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	0
gqa2	base	full	1	3	1	1	0.340928	0.378432	0.356896	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	1
gqa2	base	full	1	3	2	1	0.340960	0.378848	0.357728	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	2
gqa2	base	full	1	3	3	1	0.341344	0.376800	0.358144	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	3
gqa2	base	full	1	3	4	1	0.341600	0.377344	0.357600	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	4
gqa2	base	full	1	3	5	1	0.341216	0.377952	0.358752	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	5
gqa2	base	full	1	3	6	1	0.340544	0.378368	0.358112	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	6
gqa2	base	full	1	3	7	1	0.340864	0.378144	0.357696	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	7
gqa2	base	full	1	3	8	1	0.341216	0.380128	0.356896	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	8
gqa2	base	full	1	3	9	1	0.341920	0.376704	0.357376	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	9
gqa2	base	full	1	3	10	1	0.341184	0.380192	0.357312	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	10
gqa2	base	full	1	3	11	1	0.341568	0.377920	0.356096	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	11
gqa2	base	full	1	3	12	1	0.341760	0.380352	0.357888	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	12
gqa2	base	full	1	3	13	1	0.340480	0.376448	0.357472	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	13
gqa2	base	full	1	3	14	1	0.340960	0.378368	0.357632	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	14
gqa2	base	full	1	3	15	1	0.341696	0.380128	0.356064	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	15
gqa2	base	full	1	3	16	1	0.341664	0.380384	0.356896	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	16
gqa2	base	full	1	3	17	1	0.341312	0.379904	0.357440	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	17
gqa2	base	full	1	3	18	1	0.340896	0.377952	0.356768	218	2	340	128	24576	24576	0	65536	102400	1536	214	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	18
