slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794768480156672	1190529669398	1789794768480156672	1190529670835	1789794768480156672	1190529670835	1789794768480158720	1190529674418	1789794768480159744	1190529676507	1789794768480159744	1190529676624	0	0	0	0	93	8
1	0	32	16	16	1	1536	1789794768480161792	1190529681558	1789794768480161792	1190529683934	1789794768480162816	1190529684567	1789794768480173056	1190529709440	1789794768480174080	1190529711632	1789794768480174080	1190529711917	1190529684600	1190529709322	13195	32	0	0
2	2	0	0	0	1	0	1789794768480176128	1190529718371	1789794768480177152	1190529719609	1789794768480177152	1190529719609	1789794768480177152	1190529720938	1789794768480177152	1190529720969	1789794768480177152	1190529721116	0	0	0	0	0	0
3	2	0	0	0	1	0	1789794768480180224	1190529727153	1789794768480180224	1190529728618	1789794768480180224	1190529728618	1789794768480181248	1190529730246	1789794768480181248	1190529730282	1789794768480181248	1190529730400	0	0	0	0	0	0
4	3	0	0	0	1	0	1789794768480184320	1190529737447	1789794768480184320	1190529739241	1789794768480184320	1190529739241	1789794768480185344	1190529740484	1789794768480185344	1190529740514	1789794768480185344	1190529740631	0	0	0	0	0	0
5	5	0	0	0	1	0	1789794768480190464	1190529752964	1789794768480190464	1190529754891	1789794768480190464	1190529754891	1789794768480217088	1190529821251	1789794768480217088	1190529821308	1789794768480217088	1190529821425	0	0	0	0	75	2
6	0	32	16	16	1	1536	1789794768480221184	1190529831929	1789794768480222208	1190529834649	1789794768480223232	1190529835287	1789794768480232448	1190529860199	1789794768480234496	1190529864270	1789794768480234496	1190529864392	1190529835612	1190529860082	10614	32	0	0
7	1	0	0	0	1	0	1789794768480236544	1190529870786	1789794768480237568	1190529872132	1789794768480237568	1190529872132	1789794768480238592	1190529875471	1789794768480239616	1190529877292	1789794768480239616	1190529877414	0	0	0	0	90	8
8	0	32	16	16	1	1536	1789794768480241664	1190529883219	1789794768480242688	1190529885630	1789794768480242688	1190529886285	1789794768480251904	1190529908578	1789794768480252928	1190529910729	1789794768480252928	1190529911014	1190529886294	1190529908421	12338	32	0	0
9	4	0	0	0	1	0	1789794768480259072	1190529926616	1789794768480260096	1190529927858	1789794768480260096	1190529927858	1789794768480262144	1190529934280	1789794768480262144	1190529934310	1789794768480262144	1190529934432	0	0	0	0	0	0
10	0	32	16	16	1	1536	1789794768480264192	1190529939855	1789794768480265216	1190529942298	1789794768480265216	1190529942972	1789794768480281600	1190529983871	1789794768480283648	1190529988289	1789794768480283648	1190529988408	1190529942981	1190529983742	24489	64	0	0
11	1	0	0	0	1	0	1789794768480285696	1190529994083	1789794768480286720	1190529995517	1789794768480286720	1190529995517	1789794768480287744	1190529998933	1789794768480288768	1190530000699	1789794768480288768	1190530000821	0	0	0	0	92	8
12	0	32	16	16	1	1536	1789794768480290816	1190530005796	1789794768480291840	1190530008162	1789794768480291840	1190530008814	1789794768480300032	1190530028536	1789794768480301056	1190530030826	1789794768480301056	1190530031099	1190530008823	1190530028409	11631	32	0	0
13	2	0	0	0	1	0	1789794768480304128	1190530040520	1789794768480305152	1190530041890	1789794768480305152	1190530041890	1789794768480306176	1190530044521	1789794768480306176	1190530044552	1789794768480306176	1190530044960	0	0	0	0	0	0
14	2	0	0	0	1	0	1789794768480309248	1190530052653	1789794768480310272	1190530054117	1789794768480310272	1190530054117	1789794768480310272	1190530056041	1789794768480310272	1190530056071	1789794768480310272	1190530056189	0	0	0	0	0	0
15	3	0	0	0	1	0	1789794768480313344	1190530062660	1789794768480313344	1190530064293	1789794768480313344	1190530064293	1789794768480314368	1190530065807	1789794768480314368	1190530065837	1789794768480314368	1190530065954	0	0	0	0	0	0
16	5	0	0	0	1	0	1789794768480318464	1190530075358	1789794768480319488	1190530077577	1789794768480319488	1190530077577	1789794768480346112	1190530144152	1789794768480346112	1190530144186	1789794768480346112	1190530144313	0	0	0	0	65	2
17	0	32	16	16	1	1536	1789794768480350208	1190530155230	1789794768480351232	1190530157649	1789794768480351232	1190530158769	1789794768480362496	1190530186270	1789794768480363520	1190530190118	1789794768480363520	1190530190234	1190530158780	1190530186154	17706	32	0	0
18	1	0	0	0	1	0	1789794768480366592	1190530196317	1789794768480366592	1190530197778	1789794768480366592	1190530197778	1789794768480368640	1190530201000	1789794768480368640	1190530202958	1789794768480368640	1190530203083	0	0	0	0	93	8
19	0	32	16	16	1	1536	1789794768480370688	1190530208204	1789794768480371712	1190530211039	1789794768480372736	1190530211687	1789794768480381952	1190530235319	1789794768480382976	1190530237830	1789794768480382976	1190530238101	1190530211767	1190530235190	12498	32	0	0
20	4	0	0	0	1	0	1789794768480388096	1190530249563	1789794768480388096	1190530251269	1789794768480388096	1190530251269	1789794768480391168	1190530258351	1789794768480391168	1190530258390	1789794768480391168	1190530258507	0	0	0	0	0	0
21	0	32	16	16	1	1536	1789794768480393216	1190530263939	1789794768480394240	1190530266463	1789794768480394240	1190530267044	1789794768480411648	1190530310087	1789794768480412672	1190530313605	1789794768480412672	1190530313755	1190530267123	1190530309962	22740	64	0	0
22	1	0	0	0	1	0	1789794768480416768	1190530323287	1789794768480417792	1190530325277	1789794768480417792	1190530325277	1789794768480418816	1190530329120	1789794768480419840	1190530330734	1789794768480419840	1190530330856	0	0	0	0	91	8
23	0	32	16	16	1	1536	1789794768480421888	1190530336434	1789794768480422912	1190530338809	1789794768480422912	1190530339470	1789794768480431104	1190530359655	1789794768480433152	1190530362736	1789794768480433152	1190530362853	1190530339479	1190530359528	12078	32	0	0
24	2	0	0	0	1	0	1789794768480437248	1190530374976	1789794768480438272	1190530376180	1789794768480438272	1190530376180	1789794768480439296	1190530378328	1789794768480439296	1190530378363	1789794768480439296	1190530378480	0	0	0	0	0	0
25	2	0	0	0	1	0	1789794768480442368	1190530386788	1789794768480443392	1190530388304	1789794768480443392	1190530388304	1789794768480443392	1190530390534	1789794768480443392	1190530390564	1789794768480444416	1190530390998	0	0	0	0	0	0
26	3	0	0	0	1	0	1789794768480446464	1190530396589	1789794768480446464	1190530398032	1789794768480446464	1190530398032	1789794768480447488	1190530399451	1789794768480447488	1190530399481	1789794768480447488	1190530399754	0	0	0	0	0	0
27	5	0	0	0	1	0	1789794768480451584	1190530409620	1789794768480452608	1190530411669	1789794768480452608	1190530411669	1789794768480478208	1190530477234	1789794768480478208	1190530477296	1789794768480478208	1190530477416	0	0	0	0	69	2
28	0	32	16	16	1	1536	1789794768480483328	1190530490578	1789794768480484352	1190530492874	1789794768480485376	1190530493861	1789794768480495616	1190530520006	1789794768480496640	1190530522548	1789794768480496640	1190530522809	1190530493871	1190530519918	15258	32	0	0
29	1	0	0	0	1	0	1789794768480498688	1190530528708	1789794768480499712	1190530530205	1789794768480499712	1190530530205	1789794768480500736	1190530533358	1789794768480501760	1190530535164	1789794768480501760	1190530535284	0	0	0	0	93	8
30	0	32	16	16	1	1536	1789794768480503808	1190530541736	1789794768480504832	1190530543374	1789794768480504832	1190530543996	1789794768480514048	1190530566265	1789794768480515072	1190530569412	1789794768480515072	1190530569528	1190530544025	1190530566158	12433	32	0	0
31	4	0	0	0	1	0	1789794768480522240	1190530585929	1789794768480522240	1190530587280	1789794768480522240	1190530587280	1789794768480525312	1190530594365	1789794768480525312	1190530594395	1789794768480525312	1190530594520	0	0	0	0	0	0
32	0	32	16	16	1	1536	1789794768480527360	1190530599692	1789794768480528384	1190530602087	1789794768480528384	1190530602744	1789794768480544768	1190530643950	1789794768480546816	1190530649320	1789794768480546816	1190530649443	1190530602753	1190530643803	24447	64	0	0
33	1	0	0	0	1	0	1789794768480548864	1190530654995	1789794768480549888	1190530656562	1789794768480549888	1190530656562	1789794768480550912	1190530659713	1789794768480551936	1190530661604	1789794768480551936	1190530661727	0	0	0	0	104	8
34	0	32	16	16	1	1536	1789794768480553984	1190530666757	1789794768480555008	1190530669093	1789794768480555008	1190530669766	1789794768480563200	1190530689618	1789794768480564224	1190530692523	1789794768480564224	1190530692794	1190530669775	1190530689496	12410	32	0	0
35	2	0	0	0	1	0	1789794768480566272	1190530698504	1789794768480567296	1190530699843	1789794768480567296	1190530699843	1789794768480568320	1190530702013	1789794768480568320	1190530702043	1789794768480568320	1190530702264	0	0	0	0	0	0
36	2	0	0	0	1	0	1789794768480570368	1190530708815	1789794768480571392	1190530709748	1789794768480571392	1190530709748	1789794768480571392	1190530711594	1789794768480571392	1190530711624	1789794768480571392	1190530711778	0	0	0	0	0	0
37	3	0	0	0	1	0	1789794768480574464	1190530718664	1789794768480575488	1190530719817	1789794768480575488	1190530719817	1789794768480575488	1190530721441	1789794768480575488	1190530721475	1789794768480575488	1190530721594	0	0	0	0	0	0
38	5	0	0	0	1	0	1789794768480583680	1190530740440	1789794768480583680	1190530742516	1789794768480583680	1190530742516	1789794768480610304	1190530807481	1789794768480610304	1190530807520	1789794768480610304	1190530807638	0	0	0	0	66	2
39	0	32	16	16	1	1536	1789794768480615424	1190530820251	1789794768480616448	1190530822749	1789794768480616448	1190530823400	1789794768480629760	1190530856476	1789794768480631808	1190530861317	1789794768480631808	1190530861482	1190530823994	1190530856382	10743	32	0	0
40	1	0	0	0	1	0	1789794768480638976	1190530880582	1789794768480640000	1190530881979	1789794768480640000	1190530881979	1789794768480642048	1190530887539	1789794768480642048	1190530888348	1789794768480642048	1190530888467	0	0	0	0	91	8
