node	op	target	shape
to_8	call_function	aten.to.dtype	('1', 's11', '512')
pow_3	call_function	aten.pow.Tensor_Scalar	('1', 's11', '512')
mean_2	call_function	aten.mean.dim	('1', 's11', '1')
_assert_tensor_metadata_default_9	call_function	aten._assert_tensor_metadata.default	-
to_9	call_function	aten.to.dtype	('1', 's11', '512')
add_9	call_function	aten.add.Tensor	('1', 's11', '1')
rsqrt_2	call_function	aten.rsqrt.default	('1', 's11', '1')
mul_9	call_function	aten.mul.Tensor	('1', 's11', '512')
_assert_tensor_metadata_default_10	call_function	aten._assert_tensor_metadata.default	-
to_10	call_function	aten.to.dtype	('1', 's11', '512')
mul_10	call_function	aten.mul.Tensor	('1', 's11', '512')
linear_7	call_function	aten.linear.default	('1', 's11', '512')
view_4	call_function	aten.view.default	('1', 's11', '4', '128')
transpose_5	call_function	aten.transpose.int	('1', '4', 's11', '128')
linear_8	call_function	aten.linear.default	('1', 's11', '256')
view_5	call_function	aten.view.default	('1', 's11', '2', '128')
transpose_6	call_function	aten.transpose.int	('1', '2', 's11', '128')
linear_9	call_function	aten.linear.default	('1', 's11', '256')
view_6	call_function	aten.view.default	('1', 's11', '2', '128')
transpose_7	call_function	aten.transpose.int	('1', '2', 's11', '128')
arange_3	call_function	aten.arange.start	('s11',)
outer_1	call_function	aten.outer.default	('s11', '64')
cat_5	call_function	aten.cat.default	('s11', '128')
unsqueeze_4	call_function	aten.unsqueeze.default	('1', 's11', '128')
unsqueeze_5	call_function	aten.unsqueeze.default	('1', '1', 's11', '128')
cos_2	call_function	aten.cos.default	('1', '1', 's11', '128')
mul_11	call_function	aten.mul.Tensor	('1', '4', 's11', '128')
chunk_2	call_function	aten.chunk.default	[('1', '4', 's11', '64'), ('1', '4', 's11', '64')]
getitem_4	call_function	<built-in function getitem>	('1', '4', 's11', '64')
getitem_5	call_function	<built-in function getitem>	('1', '4', 's11', '64')
neg_2	call_function	aten.neg.default	('1', '4', 's11', '64')
cat_6	call_function	aten.cat.default	('1', '4', 's11', '128')
sin_2	call_function	aten.sin.default	('1', '1', 's11', '128')
mul_12	call_function	aten.mul.Tensor	('1', '4', 's11', '128')
add_11	call_function	aten.add.Tensor	('1', '4', 's11', '128')
cos_3	call_function	aten.cos.default	('1', '1', 's11', '128')
mul_13	call_function	aten.mul.Tensor	('1', '2', 's11', '128')
chunk_3	call_function	aten.chunk.default	[('1', '2', 's11', '64'), ('1', '2', 's11', '64')]
getitem_6	call_function	<built-in function getitem>	('1', '2', 's11', '64')
getitem_7	call_function	<built-in function getitem>	('1', '2', 's11', '64')
neg_3	call_function	aten.neg.default	('1', '2', 's11', '64')
cat_7	call_function	aten.cat.default	('1', '2', 's11', '128')
sin_3	call_function	aten.sin.default	('1', '1', 's11', '128')
mul_14	call_function	aten.mul.Tensor	('1', '2', 's11', '128')
add_12	call_function	aten.add.Tensor	('1', '2', 's11', '128')
cat_8	call_function	aten.cat.default	('1', '2', 's11 + s14', '128')
cat_9	call_function	aten.cat.default	('1', '2', 's11 + s65', '128')
repeat_interleave_2	call_function	aten.repeat_interleave.self_int	('1', '4', 's11 + s14', '128')
repeat_interleave_3	call_function	aten.repeat_interleave.self_int	('1', '4', 's11 + s65', '128')
transpose_8	call_function	aten.transpose.int	('1', '4', '128', 's11 + s14')
matmul_2	call_function	aten.matmul.default	('1', '4', 's11', 's11 + s14')
div_1	call_function	aten.div.Tensor	('1', '4', 's11', 's11 + s14')
arange_4	call_function	aten.arange.start	('s11',)
unsqueeze_6	call_function	aten.unsqueeze.default	('s11', '1')
arange_5	call_function	aten.arange.default	('s11 + s14',)
unsqueeze_7	call_function	aten.unsqueeze.default	('1', 's11 + s14')
gt_1	call_function	aten.gt.Tensor	('s11', 's11 + s14')
masked_fill_1	call_function	aten.masked_fill.Scalar	('1', '4', 's11', 's11 + s14')
_assert_tensor_metadata_default_11	call_function	aten._assert_tensor_metadata.default	-
to_11	call_function	aten.to.dtype	('1', '4', 's11', 's11 + s14')
softmax_1	call_function	aten.softmax.int	('1', '4', 's11', 's11 + s14')
_assert_tensor_metadata_default_12	call_function	aten._assert_tensor_metadata.default	-
to_12	call_function	aten.to.dtype	('1', '4', 's11', 's11 + s14')
matmul_3	call_function	aten.matmul.default	('1', '4', 's11', '128')
transpose_9	call_function	aten.transpose.int	('1', 's11', '4', '128')
contiguous_1	call_function	aten.contiguous.default	('1', 's11', '4', '128')
view_7	call_function	aten.view.default	('1', 's11', '512')
linear_10	call_function	aten.linear.default	('1', 's11', '512')
add_15	call_function	aten.add.Tensor	('1', 's11', '512')
_assert_tensor_metadata_default_13	call_function	aten._assert_tensor_metadata.default	-
to_13	call_function	aten.to.dtype	('1', 's11', '512')
pow_4	call_function	aten.pow.Tensor_Scalar	('1', 's11', '512')
mean_3	call_function	aten.mean.dim	('1', 's11', '1')
_assert_tensor_metadata_default_14	call_function	aten._assert_tensor_metadata.default	-
to_14	call_function	aten.to.dtype	('1', 's11', '512')
add_16	call_function	aten.add.Tensor	('1', 's11', '1')
rsqrt_3	call_function	aten.rsqrt.default	('1', 's11', '1')
mul_15	call_function	aten.mul.Tensor	('1', 's11', '512')
_assert_tensor_metadata_default_15	call_function	aten._assert_tensor_metadata.default	-
to_15	call_function	aten.to.dtype	('1', 's11', '512')
mul_16	call_function	aten.mul.Tensor	('1', 's11', '512')
linear_11	call_function	aten.linear.default	('1', 's11', '1024')
silu_1	call_function	aten.silu.default	('1', 's11', '1024')
linear_12	call_function	aten.linear.default	('1', 's11', '1024')
mul_17	call_function	aten.mul.Tensor	('1', 's11', '1024')
linear_13	call_function	aten.linear.default	('1', 's11', '512')
add_17	call_function	aten.add.Tensor	('1', 's11', '512')
output	output	output	-
