rank	key	estimated	actual	re_solved	residency	level2_ns	simulated_ns
1	32x16x32s2k4;32x16x32s2k8;32x16x32s2k4;32x16x32s2k16;	6	5	1	4	173228	318078
2	32x16x32s2k4;32x16x32s2k8;32x16x32s2k4;32x16x32s2k8;	6	5	1	4	175659	320508
3	32x16x32s2k4;32x16x32s2k8;32x16x32s2k2;32x16x32s2k16;	6	5	1	4	179525	324373
4	32x16x32s2k4;32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;	6	5	1	4	181751	326597
5	32x16x32s2k4;32x16x32s2k8;32x16x32s2k8;32x16x32s2k16;	6	5	1	4	182251	342043
