solver	model	seq	phase	count	total_ms
skeleton	mha4	4	analysis_cache_hit	274987	0
skeleton	mha4	4	analysis_cache_miss	593	0
skeleton	mha4	4	bridge_and_plan	1	19.2645
skeleton	mha4	4	cache_hit	6125	0
skeleton	mha4	4	cache_miss	89	0
skeleton	mha4	4	derive	31	450.767
skeleton	mha4	4	derive_alignment	4	362.596
skeleton	mha4	4	import	1	4.86834
skeleton	mha4	4	instantiate	31	20.0794
skeleton	mha4	4	level2	181	14118.2
skeleton	mha4	4	megakernel_compile	5	148430
skeleton	mha4	4	oracle	5099787	1415.05
skeleton	mha4	4	oracle_general	421643	133.733
skeleton	mha4	4	oracle_rectangular	0	0
skeleton	mha4	4	oracle_unique	4678144	1281.31
skeleton	mha4	4	resource_probe	31	2578.46
skeleton	mha4	4	search_evaluations	21	0
skeleton	mha4	4	search_rounds	1	0
skeleton	mha4	4	simulate	5	5.27545
skeleton	mha4	4	skeleton	181	57335.1
skeleton	mha4	4	task_pricing	181	1.271e+06
skeleton	mha4	4	total	1	1.50853e+06
