candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
128x128x16s3split4kappa2r1	wavefront	ok	3.75287e+06	1.47122e+06	3.74645e+06	4.65104e+06	128	2
128x128x16s3split4kappa2r1	rotate	ok	3.91954e+06	1.47122e+06	3.65325e+06	4.83895e+06	128	2
128x128x16s3split4kappa2r1	chain	ok	3.96149e+06	1.47122e+06	3.76587e+06	4.87371e+06	128	2
128x128x16s3split4kappa2r1	legacy_grid_stride	ok	4.18066e+06	1.47122e+06	4.17425e+06	5.12496e+06	128	2
128x128x16s3split4kappa2r1	balanced	ok	6.75473e+07	1.47122e+06	1.31767e+07	7.25121e+07	128	2
128x128x16s3split4kappa2r2	eft	ok	2.46413e+06	1.47122e+06	2.46413e+06	3.01497e+06	256	2
128x128x16s3split4kappa2r2	rotate	ok	2.47235e+06	1.47122e+06	2.32578e+06	3.01673e+06	256	2
128x128x16s3split4kappa2r2	wavefront	ok	2.47235e+06	1.47122e+06	2.46486e+06	3.02167e+06	256	2
128x128x16s3split4kappa2r2	chain	ok	2.72434e+06	1.47122e+06	2.33033e+06	3.30178e+06	256	2
128x128x16s3split4kappa2r2	legacy_grid_stride	ok	2.94737e+06	1.47122e+06	2.93989e+06	3.54923e+06	256	2
128x128x16s3split4kappa2r2	balanced	ok	4.03506e+07	1.47122e+06	1.01806e+07	4.39578e+07	256	2
128x128x16s3split4kappa4r1	eft	ok	3.73989e+06	1.47122e+06	3.7393e+06	4.64942e+06	128	4
128x128x16s3split4kappa4r1	wavefront	ok	3.75287e+06	1.47122e+06	3.74645e+06	4.65104e+06	128	4
128x128x16s3split4kappa4r1	rotate	ok	3.91954e+06	1.47122e+06	3.65325e+06	4.83895e+06	128	4
128x128x16s3split4kappa4r1	chain	ok	3.96149e+06	1.47122e+06	3.76587e+06	4.87371e+06	128	4
128x128x16s3split4kappa4r1	legacy_grid_stride	ok	4.18066e+06	1.47122e+06	4.17425e+06	5.12496e+06	128	4
128x128x16s3split4kappa4r1	balanced	ok	6.75473e+07	1.47122e+06	1.31767e+07	7.24369e+07	128	4
128x128x16s3split4kappa4r2	eft	ok	2.46413e+06	1.47122e+06	2.46413e+06	3.01497e+06	256	4
128x128x16s3split4kappa4r2	rotate	ok	2.47235e+06	1.47122e+06	2.32578e+06	3.01673e+06	256	4
128x128x16s3split4kappa4r2	wavefront	ok	2.47235e+06	1.47122e+06	2.46486e+06	3.02167e+06	256	4
128x128x16s3split4kappa4r2	chain	ok	2.72434e+06	1.47122e+06	2.33033e+06	3.30178e+06	256	4
128x128x16s3split4kappa4r2	legacy_grid_stride	ok	2.94737e+06	1.47122e+06	2.93989e+06	3.54923e+06	256	4
128x128x16s3split4kappa4r2	balanced	ok	4.03506e+07	1.47122e+06	1.01806e+07	4.39515e+07	256	4
64x128x16s2split4kappa1r1	eft	ok	4.6742e+06	1.05406e+06	4.67313e+06	5.64304e+06	128	1
64x128x16s2split4kappa1r1	chain	ok	4.6742e+06	1.05406e+06	4.66971e+06	5.64304e+06	128	1
64x128x16s2split4kappa1r1	wavefront	ok	4.68721e+06	1.05406e+06	4.68293e+06	5.21153e+06	128	1
64x128x16s2split4kappa1r1	rotate	ok	4.82664e+06	1.05406e+06	4.65259e+06	5.38232e+06	128	1
64x128x16s2split4kappa1r1	legacy_grid_stride	ok	4.84031e+06	1.05406e+06	4.83389e+06	5.40523e+06	128	1
64x128x16s2split4kappa1r1	balanced	ok	7.44157e+07	1.05406e+06	1.88229e+07	7.87236e+07	128	1
64x128x16s2split4kappa1r2	eft	ok	2.50267e+06	1.07767e+06	2.50257e+06	3.09608e+06	256	1
64x128x16s2split4kappa1r2	wavefront	ok	2.51641e+06	1.07767e+06	2.50999e+06	2.87848e+06	256	1
64x128x16s2split4kappa1r2	rotate	ok	2.61868e+06	1.07767e+06	2.43263e+06	2.99493e+06	256	1
64x128x16s2split4kappa1r2	legacy_grid_stride	ok	2.81541e+06	1.07767e+06	2.80792e+06	3.21654e+06	256	1
64x128x16s2split4kappa1r2	chain	ok	2.84041e+06	1.07767e+06	2.48209e+06	3.44453e+06	256	1
64x128x16s2split4kappa1r2	balanced	ok	6.34119e+07	1.07767e+06	1.62908e+07	6.71695e+07	256	1
64x128x16s2split4kappa1r3	eft	ok	1.8926e+06	1.07767e+06	1.88173e+06	2.34577e+06	384	1
64x128x16s2split4kappa1r3	wavefront	ok	1.95398e+06	1.07767e+06	1.94957e+06	2.30074e+06	384	1
64x128x16s2split4kappa1r3	rotate	ok	2.18854e+06	1.07767e+06	1.81822e+06	2.52183e+06	384	1
64x128x16s2split4kappa1r3	chain	ok	2.30266e+06	1.07767e+06	1.7637e+06	2.78252e+06	384	1
64x128x16s2split4kappa1r3	legacy_grid_stride	ok	2.40238e+06	1.07767e+06	2.39723e+06	2.76485e+06	384	1
64x128x16s2split4kappa1r3	balanced	ok	4.9718e+07	1.07767e+06	1.33313e+07	5.30505e+07	384	1
64x128x16s2split4kappa2r1	eft	ok	4.6742e+06	1.05406e+06	4.67313e+06	5.64985e+06	128	2
64x128x16s2split4kappa2r1	chain	ok	4.6742e+06	1.05406e+06	4.66971e+06	5.64985e+06	128	2
64x128x16s2split4kappa2r1	wavefront	ok	4.68721e+06	1.05406e+06	4.68293e+06	5.65863e+06	128	2
64x128x16s2split4kappa2r1	rotate	ok	4.82664e+06	1.05406e+06	4.65259e+06	5.82942e+06	128	2
64x128x16s2split4kappa2r1	legacy_grid_stride	ok	4.84031e+06	1.05406e+06	4.83389e+06	5.85233e+06	128	2
64x128x16s2split4kappa2r1	balanced	ok	7.44157e+07	1.05406e+06	1.88229e+07	7.93041e+07	128	2
64x128x16s2split4kappa2r2	eft	ok	2.50267e+06	1.07767e+06	2.50257e+06	3.09608e+06	256	2
64x128x16s2split4kappa2r2	wavefront	ok	2.51641e+06	1.07767e+06	2.50999e+06	3.0985e+06	256	2
64x128x16s2split4kappa2r2	rotate	ok	2.61868e+06	1.07767e+06	2.43263e+06	3.21495e+06	256	2
64x128x16s2split4kappa2r2	legacy_grid_stride	ok	2.81541e+06	1.07767e+06	2.80792e+06	3.43657e+06	256	2
64x128x16s2split4kappa2r2	chain	ok	2.84041e+06	1.07767e+06	2.48209e+06	3.44808e+06	256	2
64x128x16s2split4kappa2r2	balanced	ok	6.34119e+07	1.07767e+06	1.62908e+07	6.75248e+07	256	2
64x128x16s2split4kappa2r3	eft	ok	1.8926e+06	1.07767e+06	1.88173e+06	2.34583e+06	384	2
64x128x16s2split4kappa2r3	wavefront	ok	1.95398e+06	1.07767e+06	1.94957e+06	2.41857e+06	384	2
64x128x16s2split4kappa2r3	rotate	ok	2.18854e+06	1.07767e+06	1.81822e+06	2.66237e+06	384	2
64x128x16s2split4kappa2r3	chain	ok	2.30266e+06	1.07767e+06	1.7637e+06	2.78257e+06	384	2
64x128x16s2split4kappa2r3	legacy_grid_stride	ok	2.40238e+06	1.07767e+06	2.39723e+06	2.91675e+06	384	2
64x128x16s2split4kappa2r3	balanced	ok	4.9718e+07	1.07767e+06	1.33313e+07	5.33913e+07	384	2
64x128x16s2split4kappa4r1	eft	ok	4.6742e+06	1.05406e+06	4.67313e+06	5.64985e+06	128	4
