model	phase	batch	status
llama	prefill	1	started_cancelled
llama	prefill	2	unstarted_cancelled
llama	prefill	4	unstarted_cancelled
llama	prefill	8	unstarted_cancelled
llama	prefill	16	unstarted_cancelled
llama	decode	1	started_cancelled
llama	decode	2	unstarted_cancelled
llama	decode	4	unstarted_cancelled
llama	decode	8	unstarted_cancelled
llama	decode	16	unstarted_cancelled
qwen3	prefill	1	started_cancelled
qwen3	prefill	2	unstarted_cancelled
qwen3	prefill	4	unstarted_cancelled
qwen3	prefill	8	unstarted_cancelled
qwen3	prefill	16	unstarted_cancelled
qwen3	decode	1	started_cancelled
qwen3	decode	2	unstarted_cancelled
qwen3	decode	4	unstarted_cancelled
qwen3	decode	8	unstarted_cancelled
qwen3	decode	16	unstarted_cancelled
