slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789817799699445760	6061524186584	1789817799699446784	6061524189767	1789817799699446784	6061524189767	1789817799699447808	6061524192038	1789817799699447808	6061524192770	1789817799699447808	6061524192900	0	0	0	0	1444	1
1	0	32	16	64	1	6144	1789817799699449856	6061524197612	1789817799699450880	6061524200650	1789817799699450880	6061524201701	1789817799699454976	6061524211046	1789817799699454976	6061524211992	1789817799699454976	6061524212125	6061524201786	6061524210955	1608	8	772	0
2	2	0	0	0	1	0	1789817799699457024	6061524217420	1789817799699458048	6061524219541	1789817799699458048	6061524219541	1789817799699458048	6061524221142	1789817799699458048	6061524221172	1789817799699458048	6061524221301	0	0	0	0	512	0
3	3	0	0	0	1	0	1789817799699459072	6061524224246	1789817799699460096	6061524226016	1789817799699460096	6061524226016	1789817799699460096	6061524226979	1789817799699460096	6061524227009	1789817799699460096	6061524227140	0	0	0	0	294	0
4	5	0	0	0	1	0	1789817799699462144	6061524232376	1789817799699463168	6061524234881	1789817799699463168	6061524234881	1789817799699466240	6061524242923	1789817799699466240	6061524242953	1789817799699466240	6061524243084	0	0	0	0	486	0
5	0	32	16	64	1	6144	1789817799699468288	6061524248391	1789817799699469312	6061524251582	1789817799699469312	6061524252587	1789817799699473408	6061524261967	1789817799699473408	6061524263557	1789817799699473408	6061524263687	6061524252717	6061524261876	1561	8	752	0
6	1	0	0	0	1	0	1789817799699475456	6061524268957	1789817799699476480	6061524273037	1789817799699476480	6061524273037	1789817799699477504	6061524275438	1789817799699478528	6061524276170	1789817799699478528	6061524276300	0	0	0	0	2360	1
7	0	32	16	64	1	6144	1789817799699479552	6061524280981	1789817799699480576	6061524284036	1789817799699481600	6061524285125	1789817799699484672	6061524294417	1789817799699484672	6061524295389	1789817799699485696	6061524295672	6061524285150	6061524294326	1602	8	524	0
8	4	0	0	0	1	0	1789817799699487744	6061524302082	1789817799699488768	6061524304264	1789817799699488768	6061524304264	1789817799699490816	6061524310759	1789817799699490816	6061524310789	1789817799699490816	6061524310918	0	0	0	0	514	0
9	0	32	16	64	1	6144	1789817799699492864	6061524315610	1789817799699493888	6061524318650	1789817799699493888	6061524319696	1789817799699500032	6061524337943	1789817799699501056	6061524340086	1789817799699501056	6061524340216	6061524319790	6061524337852	3099	16	523	0
