slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
2375	20	115	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1209	0	1668	211	30	181	3088
2376	19	115	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1214	0	1404	215	30	185	2833
2377	19	371	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1226	0	1626	215	30	185	3067
2378	22	115	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1218	0	1149	217	32	185	2584
2379	21	115	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1125	0	666	223	30	193	2014
2380	23	115	5	0	0	0	0	1	0	1024	0	20480	1024	0	1024	22528	1684	0	56940	1708	369	1339	60332
2381	23	371	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2227	0	47010	217	30	187	49454
2382	25	115	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1193	0	2200	1855	1668	187	5248
2383	28	115	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1201	0	5911	217	30	187	7329
2384	0	116	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1205	0	2085	1869	1681	188	5159
2385	5	116	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1109	0	1695	215	30	185	3019
2386	4	116	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1164	0	1612	220	30	190	2996
2387	4	372	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1174	0	1601	224	31	193	2999
2388	7	116	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1251	0	1063	220	31	189	2534
2389	6	116	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1025	0	837	217	30	187	2079
2390	8	116	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1675	0	56524	261	59	202	58460
2391	8	372	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2510	0	46270	220	35	185	49000
2392	10	116	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1131	0	2169	1863	1675	188	5163
2393	13	116	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1136	0	5690	215	30	185	7041
2394	15	116	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1147	0	2183	1766	1578	188	5096
2395	20	116	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1161	0	1566	229	37	192	2956
2396	19	116	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1158	0	1571	215	30	185	2944
2397	19	372	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1175	0	1574	222	33	189	2971
2398	22	116	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1188	0	903	219	30	189	2310
2399	21	116	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1000	0	679	222	31	191	1901
2400	23	116	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1615	0	58349	1276	132	1144	61240
2401	23	372	5	0	0	0	0	1	0	1024	0	16384	0	0	0	17408	3067	0	46214	217	30	187	49498
2402	25	116	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1151	0	2168	1758	1570	188	5077
2403	28	116	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1159	0	5713	218	30	188	7090
2404	0	117	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1164	0	2018	1870	1683	187	5052
2405	5	117	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1106	0	1596	215	30	185	2917
2406	4	117	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1128	0	1576	215	30	185	2919
2407	4	373	2	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1177	0	1339	215	30	185	2731
2408	7	117	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1192	0	854	215	30	185	2261
2409	6	117	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1019	0	810	218	30	188	2047
2410	8	117	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1596	0	56304	250	31	219	58150
2411	8	373	5	0	0	0	0	1	0	1024	0	16384	0	0	0	17408	2608	0	47170	217	30	187	49995
