seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks
1	0	16	1	88	2540	3701	88
1	3	16	1	88	2540	3701	88
1	512	16	1	88	2540	3701	88
4	0	16	1	88	2816	7208	88
4	3	16	1	88	2816	7208	88
4	512	16	1	88	2816	7208	88
128	0	16	1	88	14224	149384	108
128	3	16	1	88	14224	149384	108
128	512	16	1	88	14224	149384	108
512	0	16	1	88	56896	583460	248
512	3	16	1	88	56896	583460	248
512	512	16	1	88	56896	583460	248
2048	0	16	1	88	227584	2315408	908
2048	3	16	1	88	227584	2315408	908
2048	512	16	1	88	227584	2315408	908
