tile_m	tile_n	tile_k	stages	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
128	128	16	3	1.101024	1.077440	1.101024	25/25	5245714bc5d3ab4d	49536	1	128
16	64	32	3	0.417664	0.420576	0.438272	25/25	5245714bc5d3ab4d	31488	2	256
16	64	32	5	0.422912	0.421888	0.441344	25/25	5245714bc5d3ab4d	52480	1	128
32	32	32	2	0.362496	0.343040	0.365408	25/25	5245714bc5d3ab4d	16896	2	256
32	32	32	3	0.358400	0.340992	0.364320	25/25	5245714bc5d3ab4d	25344	2	256
32	32	32	4	0.355360	0.341216	0.367616	25/25	5245714bc5d3ab4d	33792	2	256
32	32	32	5	0.357376	0.340992	0.369664	25/25	5245714bc5d3ab4d	42240	2	256
64	16	32	3	0.404480	0.404480	0.419840	25/25	5245714bc5d3ab4d	31488	2	256
64	16	32	4	0.406368	0.404480	0.422912	25/25	5245714bc5d3ab4d	41984	2	256
