tile_m	tile_n	tile_k	stages	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
16	32	16	2	0.523264	0.507872	0.516096	PASS	5245714bc5d3ab4d	6400	3	384
16	32	16	3	0.507904	0.500736	0.506880	PASS	5245714bc5d3ab4d	9600	3	384
16	32	16	4	0.503808	0.500736	0.507904	PASS	5245714bc5d3ab4d	12800	3	384
16	32	16	5	0.510976	0.502784	0.509856	PASS	5245714bc5d3ab4d	16000	3	384
16	32	32	2	0.492544	0.488224	0.497664	PASS	5245714bc5d3ab4d	12800	3	384
16	32	32	3	0.494784	0.485376	0.495616	PASS	5245714bc5d3ab4d	19200	3	384
16	32	32	4	0.451584	0.440224	0.457728	PASS	5245714bc5d3ab4d	25600	3	384
16	32	32	5	0.452608	0.439296	0.460800	PASS	5245714bc5d3ab4d	32000	3	384
16	64	16	2	0.759808	0.750592	0.752640	PASS	5245714bc5d3ab4d	10496	3	384
16	64	16	3	0.435200	0.413696	0.439296	PASS	5245714bc5d3ab4d	15744	2	256
16	64	16	4	0.438272	0.419840	0.437248	PASS	5245714bc5d3ab4d	20992	2	256
16	64	16	5	0.442240	0.422912	0.441344	PASS	5245714bc5d3ab4d	26240	2	256
16	64	32	2	0.427008	0.417792	0.447488	PASS	5245714bc5d3ab4d	20992	2	256
16	64	32	3	0.394048	0.389120	0.401408	PASS	5245714bc5d3ab4d	31488	2	256
16	64	32	4	0.395232	0.390304	0.402432	PASS	5245714bc5d3ab4d	41984	2	256
16	64	32	5	0.394240	0.390144	0.403456	PASS	5245714bc5d3ab4d	52480	1	128
16	128	16	2	0.694272	0.669984	0.692160	PASS	5245714bc5d3ab4d	18688	2	256
16	128	16	3	0.679936	0.659456	0.682144	PASS	5245714bc5d3ab4d	28032	2	256
16	128	16	4	0.681984	0.659456	0.685056	PASS	5245714bc5d3ab4d	37376	2	256
16	128	16	5	0.681728	0.656384	0.683008	PASS	5245714bc5d3ab4d	46720	2	256
16	128	32	2	0.674656	0.661504	0.686080	PASS	5245714bc5d3ab4d	37376	2	256
16	128	32	3	0.667648	0.656544	0.683968	PASS	5245714bc5d3ab4d	56064	1	128
16	128	32	4	0.673792	0.661504	0.691200	PASS	5245714bc5d3ab4d	74752	1	128
16	128	32	5	0.681984	0.669888	0.697344	PASS	5245714bc5d3ab4d	93440	1	128
16	256	16	2	1.180672	1.136640	1.162240	PASS	5245714bc5d3ab4d	35072	2	256
16	256	16	3	1.150976	1.132544	1.164288	PASS	5245714bc5d3ab4d	52608	1	128
16	256	16	4	1.155072	1.134592	1.161216	PASS	5245714bc5d3ab4d	70144	1	128
16	256	16	5	1.162240	1.135776	1.164288	PASS	5245714bc5d3ab4d	87680	1	128
16	256	32	2	1.183744	1.202176	1.207296	PASS	5245714bc5d3ab4d	70144	1	128
32	16	16	2	0.509952	0.515072	0.515072	PASS	5245714bc5d3ab4d	6400	3	384
32	16	16	3	0.498688	0.500736	0.507008	PASS	5245714bc5d3ab4d	9600	3	384
32	16	16	4	0.496640	0.500736	0.507904	PASS	5245714bc5d3ab4d	12800	3	384
32	16	16	5	0.499712	0.501760	0.509952	PASS	5245714bc5d3ab4d	16000	3	384
32	16	32	2	0.482048	0.487232	0.494592	PASS	5245714bc5d3ab4d	12800	3	384
32	16	32	3	0.483296	0.485376	0.495616	PASS	5245714bc5d3ab4d	19200	3	384
32	16	32	4	0.483328	0.484352	0.494592	PASS	5245714bc5d3ab4d	25600	3	384
32	16	32	5	0.488448	0.485376	0.495680	PASS	5245714bc5d3ab4d	32000	3	384
32	32	8	2	0.677888	0.678912	0.685024	PASS	5245714bc5d3ab4d	4224	3	384
32	32	8	3	0.661504	0.654336	0.662528	PASS	5245714bc5d3ab4d	6336	3	384
32	32	8	4	0.660480	0.651168	0.660480	PASS	5245714bc5d3ab4d	8448	3	384
32	32	8	5	0.659456	0.662528	0.661568	PASS	5245714bc5d3ab4d	10560	3	384
32	32	16	2	0.629760	0.622592	0.628736	PASS	5245714bc5d3ab4d	8448	3	384
32	32	16	3	0.622560	0.616448	0.621568	PASS	5245714bc5d3ab4d	12672	3	384
32	32	16	4	0.622592	0.616448	0.624640	PASS	5245714bc5d3ab4d	16896	3	384
32	32	16	5	0.625728	0.616224	0.626688	PASS	5245714bc5d3ab4d	21120	3	384
32	32	32	2	0.361472	0.344224	0.364544	PASS	5245714bc5d3ab4d	16896	2	256
32	32	32	3	0.363360	0.343040	0.363520	PASS	5245714bc5d3ab4d	25344	2	256
32	32	32	4	0.360448	0.344320	0.367616	PASS	5245714bc5d3ab4d	33792	2	256
32	32	32	5	0.364544	0.344064	0.371776	PASS	5245714bc5d3ab4d	42240	2	256
32	64	8	2	0.930624	0.927744	0.923648	PASS	5245714bc5d3ab4d	6272	3	384
32	64	8	3	0.923648	0.914432	0.916704	PASS	5245714bc5d3ab4d	9408	3	384
32	64	8	4	0.923648	0.913408	0.920576	PASS	5245714bc5d3ab4d	12544	3	384
32	64	8	5	0.932864	0.912384	0.922624	PASS	5245714bc5d3ab4d	15680	3	384
32	64	16	2	0.869376	0.879616	0.869600	PASS	5245714bc5d3ab4d	12544	3	384
32	64	16	3	0.860160	0.851968	0.865248	PASS	5245714bc5d3ab4d	18816	3	384
32	64	16	4	0.871360	0.860160	0.867264	PASS	5245714bc5d3ab4d	25088	3	384
32	64	16	5	0.876160	0.860160	0.871424	PASS	5245714bc5d3ab4d	31360	3	384
32	64	32	2	0.492544	0.490496	0.500736	PASS	5245714bc5d3ab4d	25088	2	256
32	64	32	3	0.482304	0.488640	0.490496	PASS	5245714bc5d3ab4d	37632	2	256
32	64	32	4	0.485376	0.492544	0.492704	PASS	5245714bc5d3ab4d	50176	2	256
32	64	32	5	0.485376	0.489472	0.496640	PASS	5245714bc5d3ab4d	62720	1	128
32	128	8	2	0.798496	0.788480	0.798720	PASS	5245714bc5d3ab4d	10368	2	256
32	128	8	3	0.779264	0.771968	0.787680	PASS	5245714bc5d3ab4d	15552	2	256
32	128	8	4	0.785408	0.773120	0.795456	PASS	5245714bc5d3ab4d	20736	2	256
32	128	8	5	0.797696	0.772352	0.787456	PASS	5245714bc5d3ab4d	25920	2	256
32	128	16	2	0.741376	0.723968	0.747520	PASS	5245714bc5d3ab4d	20736	2	256
32	128	16	3	0.741376	0.713856	0.739328	PASS	5245714bc5d3ab4d	31104	2	256
32	128	16	4	0.749408	0.722144	0.740352	PASS	5245714bc5d3ab4d	41472	2	256
32	128	16	5	0.740352	0.722048	0.743424	PASS	5245714bc5d3ab4d	51840	1	128
32	128	32	2	0.729088	0.738496	0.757760	PASS	5245714bc5d3ab4d	41472	1	128
32	128	32	3	0.730112	0.737280	0.761856	PASS	5245714bc5d3ab4d	62208	1	128
32	128	32	4	0.744448	0.739328	0.764928	PASS	5245714bc5d3ab4d	82944	1	128
32	256	8	2	1.326080	1.284672	1.296384	PASS	5245714bc5d3ab4d	18560	2	256
32	256	8	3	1.298432	1.252352	1.274880	PASS	5245714bc5d3ab4d	27840	2	256
32	256	8	4	1.323008	1.270784	1.291424	PASS	5245714bc5d3ab4d	37120	2	256
32	256	8	5	1.317664	1.269024	1.290240	PASS	5245714bc5d3ab4d	46400	2	256
