tile_m	tile_n	tile_k	stages	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
16	32	16	2	0.918528	0.905216	0.931840	PASS	fd15fa2e89cdb915	6400	3	384
16	32	16	3	0.901024	0.906080	0.922624	PASS	fd15fa2e89cdb915	9600	3	384
16	32	16	4	0.983040	0.993280	1.006592	PASS	fd15fa2e89cdb915	12800	3	384
16	32	16	5	0.998400	0.994272	1.011712	PASS	fd15fa2e89cdb915	16000	3	384
16	32	32	2	0.959488	0.966656	0.990208	PASS	fd15fa2e89cdb915	12800	3	384
16	32	32	3	0.961536	0.959488	0.978944	PASS	fd15fa2e89cdb915	19200	3	384
16	32	32	4	0.870368	0.870400	0.911136	PASS	fd15fa2e89cdb915	25600	3	384
16	32	32	5	0.878592	0.873472	0.912384	PASS	fd15fa2e89cdb915	32000	3	384
16	64	16	2	1.477632	1.489920	1.494016	PASS	fd15fa2e89cdb915	10496	3	384
16	64	16	3	0.840448	0.817152	0.865280	PASS	fd15fa2e89cdb915	15744	2	256
16	64	16	4	0.846848	0.830176	0.866304	PASS	fd15fa2e89cdb915	20992	2	256
16	64	16	5	0.849920	0.836608	0.869376	PASS	fd15fa2e89cdb915	26240	2	256
16	64	32	2	0.825344	0.829344	0.885760	PASS	fd15fa2e89cdb915	20992	2	256
16	64	32	3	0.823424	0.837632	0.865280	PASS	fd15fa2e89cdb915	31488	2	256
16	64	32	4	0.832512	0.836576	0.871424	PASS	fd15fa2e89cdb915	41984	2	256
16	64	32	5	0.825344	0.835712	0.869376	PASS	fd15fa2e89cdb915	52480	1	128
16	128	16	2	1.362688	1.327360	1.375232	PASS	fd15fa2e89cdb915	18688	2	256
16	128	16	3	1.323808	1.306624	1.354752	PASS	fd15fa2e89cdb915	28032	2	256
16	128	16	4	1.327104	1.307648	1.358848	PASS	fd15fa2e89cdb915	37376	2	256
16	128	16	5	1.328960	1.302336	1.360896	PASS	fd15fa2e89cdb915	46720	2	256
16	128	32	2	1.309696	1.315008	1.361920	PASS	fd15fa2e89cdb915	37376	2	256
16	128	32	3	1.201152	1.207328	1.245184	PASS	fd15fa2e89cdb915	56064	1	128
16	128	32	4	1.208224	1.206272	1.253376	PASS	fd15fa2e89cdb915	74752	1	128
16	128	32	5	1.332224	1.330304	1.384256	PASS	fd15fa2e89cdb915	93440	1	128
16	256	16	2	2.331584	2.267136	2.320384	PASS	fd15fa2e89cdb915	35072	2	256
16	256	16	3	2.275328	2.261920	2.320384	PASS	fd15fa2e89cdb915	52608	1	128
16	256	16	4	2.286592	2.270208	2.315232	PASS	fd15fa2e89cdb915	70144	1	128
16	256	16	5	2.299904	2.262016	2.319360	PASS	fd15fa2e89cdb915	87680	1	128
16	256	32	2	2.336768	2.408448	2.402304	PASS	fd15fa2e89cdb915	70144	1	128
32	16	16	2	0.987040	1.022080	1.022976	PASS	fd15fa2e89cdb915	6400	3	384
32	16	16	3	0.961632	0.992256	1.004544	PASS	fd15fa2e89cdb915	9600	3	384
32	16	16	4	0.965632	0.992256	1.007616	PASS	fd15fa2e89cdb915	12800	3	384
32	16	16	5	0.972800	0.993280	1.013760	PASS	fd15fa2e89cdb915	16000	3	384
32	16	32	2	0.933952	0.959488	0.982016	PASS	fd15fa2e89cdb915	12800	3	384
32	16	32	3	0.934912	0.959488	0.980992	PASS	fd15fa2e89cdb915	19200	3	384
32	16	32	4	0.936960	0.960512	0.977920	PASS	fd15fa2e89cdb915	25600	3	384
32	16	32	5	0.942080	0.959488	0.983040	PASS	fd15fa2e89cdb915	32000	3	384
32	32	8	2	1.335296	1.350656	1.361696	PASS	fd15fa2e89cdb915	4224	3	384
32	32	8	3	1.292064	1.296384	1.316896	PASS	fd15fa2e89cdb915	6336	3	384
32	32	8	4	1.291136	1.295360	1.316864	PASS	fd15fa2e89cdb915	8448	3	384
32	32	8	5	1.292192	1.314816	1.316960	PASS	fd15fa2e89cdb915	10560	3	384
32	32	16	2	1.225728	1.229824	1.251328	PASS	fd15fa2e89cdb915	8448	3	384
32	32	16	3	1.211392	1.221632	1.237152	PASS	fd15fa2e89cdb915	12672	3	384
32	32	16	4	1.217536	1.222464	1.238016	PASS	fd15fa2e89cdb915	16896	3	384
32	32	16	5	1.224704	1.221632	1.248256	PASS	fd15fa2e89cdb915	21120	3	384
32	32	32	2	0.699392	0.677888	0.719872	PASS	fd15fa2e89cdb915	16896	2	256
32	32	32	3	0.693248	0.672768	0.717824	PASS	fd15fa2e89cdb915	25344	2	256
32	32	32	4	0.702464	0.676864	0.729088	PASS	fd15fa2e89cdb915	33792	2	256
32	32	32	5	0.699392	0.678144	0.732160	PASS	fd15fa2e89cdb915	42240	2	256
32	64	8	2	1.831904	1.845248	1.844224	PASS	fd15fa2e89cdb915	6272	3	384
32	64	8	3	1.815488	1.818624	1.822624	PASS	fd15fa2e89cdb915	9408	3	384
32	64	8	4	1.814528	1.816576	1.835008	PASS	fd15fa2e89cdb915	12544	3	384
32	64	8	5	1.837760	1.821696	1.838080	PASS	fd15fa2e89cdb915	15680	3	384
32	64	16	2	1.712064	1.746944	1.728224	PASS	fd15fa2e89cdb915	12544	3	384
32	64	16	3	1.692672	1.701888	1.719296	PASS	fd15fa2e89cdb915	18816	3	384
32	64	16	4	1.719296	1.710432	1.720320	PASS	fd15fa2e89cdb915	25088	3	384
32	64	16	5	1.715168	1.712128	1.728512	PASS	fd15fa2e89cdb915	31360	3	384
32	64	32	2	0.955392	0.968704	0.993280	PASS	fd15fa2e89cdb915	25088	2	256
32	64	32	3	0.936960	0.966656	0.968704	PASS	fd15fa2e89cdb915	37632	2	256
32	64	32	4	0.936864	0.969728	0.977792	PASS	fd15fa2e89cdb915	50176	2	256
32	64	32	5	0.942080	0.966400	0.979968	PASS	fd15fa2e89cdb915	62720	1	128
32	128	8	2	1.569888	1.563648	1.586144	PASS	fd15fa2e89cdb915	10368	2	256
32	128	8	3	1.541120	1.531904	1.564672	PASS	fd15fa2e89cdb915	15552	2	256
32	128	8	4	1.539264	1.532832	1.581280	PASS	fd15fa2e89cdb915	20736	2	256
32	128	8	5	1.548288	1.532928	1.569760	PASS	fd15fa2e89cdb915	25920	2	256
32	128	16	2	1.454080	1.433600	1.485824	PASS	fd15fa2e89cdb915	20736	2	256
32	128	16	3	1.326080	1.301504	1.343488	PASS	fd15fa2e89cdb915	31104	2	256
32	128	16	4	1.334176	1.431520	1.468416	PASS	fd15fa2e89cdb915	41472	2	256
32	128	16	5	1.452032	1.433600	1.473696	PASS	fd15fa2e89cdb915	51840	1	128
32	128	32	2	1.432512	1.468384	1.505280	PASS	fd15fa2e89cdb915	41472	1	128
32	128	32	3	1.424384	1.462272	1.510400	PASS	fd15fa2e89cdb915	62208	1	128
32	128	32	4	1.446912	1.469600	1.515520	PASS	fd15fa2e89cdb915	82944	1	128
32	256	8	2	2.618368	2.556160	2.576288	PASS	fd15fa2e89cdb915	18560	2	256
32	256	8	3	2.560000	2.498784	2.538496	PASS	fd15fa2e89cdb915	27840	2	256
32	256	8	4	2.595840	2.534400	2.572288	PASS	fd15fa2e89cdb915	37120	2	256
32	256	8	5	2.576384	2.527040	2.569216	PASS	fd15fa2e89cdb915	46400	2	256
32	256	16	2	2.428960	2.424032	2.456576	PASS	fd15fa2e89cdb915	37120	2	256
32	256	16	3	2.392064	2.392064	2.433920	PASS	fd15fa2e89cdb915	55680	1	128
32	256	16	4	2.404352	2.420864	2.451456	PASS	fd15fa2e89cdb915	74240	1	128
32	256	16	5	2.422784	2.410624	2.444192	PASS	fd15fa2e89cdb915	92800	1	128
32	256	32	2	2.494464	2.458784	2.548704	PASS	fd15fa2e89cdb915	74240	1	128
64	16	16	2	0.765696	0.763072	0.786432	PASS	fd15fa2e89cdb915	10496	2	256
64	16	16	3	0.748544	0.737280	0.768000	PASS	fd15fa2e89cdb915	15744	2	256
64	16	16	4	0.818176	0.806720	0.841728	PASS	fd15fa2e89cdb915	20992	2	256
64	16	16	5	0.820224	0.805888	0.834720	PASS	fd15fa2e89cdb915	26240	2	256
64	16	32	2	0.801792	0.806912	0.842752	PASS	fd15fa2e89cdb915	20992	2	256
64	16	32	3	0.797536	0.803840	0.833536	PASS	fd15fa2e89cdb915	31488	2	256
64	16	32	4	0.800896	0.804864	0.840704	PASS	fd15fa2e89cdb915	41984	2	256
64	16	32	5	0.799744	0.803008	0.837664	PASS	fd15fa2e89cdb915	52480	1	128
64	32	8	2	1.786880	1.804288	1.804288	PASS	fd15fa2e89cdb915	6272	3	384
64	32	8	3	1.760128	1.755136	1.780736	PASS	fd15fa2e89cdb915	9408	3	384
64	32	8	4	1.764352	1.775616	1.784832	PASS	fd15fa2e89cdb915	12544	3	384
64	32	8	5	1.773568	1.774592	1.781760	PASS	fd15fa2e89cdb915	15680	3	384
64	32	16	2	1.679360	1.687552	1.700704	PASS	fd15fa2e89cdb915	12544	3	384
64	32	16	3	1.663072	1.680384	1.694688	PASS	fd15fa2e89cdb915	18816	3	384
64	32	16	4	1.671136	1.675264	1.698816	PASS	fd15fa2e89cdb915	25088	3	384
64	32	16	5	1.672192	1.680160	1.706816	PASS	fd15fa2e89cdb915	31360	3	384
