tile_m	tile_n	tile_k	stages	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
128	128	16	3	2.182144	2.149376	2.194432	25/25	fd15fa2e89cdb915	49536	1	128
32	32	32	2	0.691264	0.674048	0.717824	25/25	fd15fa2e89cdb915	16896	2	256
32	32	32	3	0.688544	0.672512	0.716800	25/25	fd15fa2e89cdb915	25344	2	256
32	32	32	4	0.688224	0.674848	0.727872	25/25	fd15fa2e89cdb915	33792	2	256
32	32	32	5	0.690176	0.674016	0.730112	25/25	fd15fa2e89cdb915	42240	2	256
64	16	16	2	0.822272	0.807936	0.854016	25/25	fd15fa2e89cdb915	10496	2	256
64	16	16	3	0.808960	0.802752	0.839648	25/25	fd15fa2e89cdb915	15744	2	256
64	16	32	3	0.785408	0.801760	0.831488	25/25	fd15fa2e89cdb915	31488	2	256
64	16	32	5	0.793600	0.801440	0.833536	25/25	fd15fa2e89cdb915	52480	1	128
