placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	kappa	grouping_model	status
wavefront	1	274032.829503	193422.4	149208	193422.4	5376	256	1	projected_events_and_sigma_lifting	ok
rotate	1	274834.429503	149208	149208	132388.8	5376	256	1	projected_events_and_sigma_lifting	ok
chain	1	317477.440974	156540.4	149208	156540.4	5376	256	1	projected_events_and_sigma_lifting	ok
eft	0	194224	194224	149208	194224	5376	256	1	projected_events_and_sigma_lifting	ok
legacy_grid_stride	0	236283.2	236283.2	149208	236283.2	5376	256	1	projected_events_and_sigma_lifting	ok
balanced	0	321097.6	321097.6	149208	321097.6	5376	256	1	projected_events_and_sigma_lifting	ok
