cell	recorded_head	second_head	exit_code	files	differing	differing_names
gqa2_s4	7d69529f94d98b43ece28c2c11c2804173de9787	49098a425653d27d9691883a01417a787b4adaa9	0	12	0	-
real_s4	7d69529f94d98b43ece28c2c11c2804173de9787	49098a425653d27d9691883a01417a787b4adaa9	0	12	0	-
