cell	config	residency	page	smem	regs	driver_ctas	f40_ctas	f40_reserved_ctas	reg_lim	smem_lim	smem_lim_reserved
gqa2_s4	32x16x64s2k1_k1_r1	1	0	16384	94	5	5	5	5	6	5
gqa2_s4	32x16x64s2k1_k1_r1	1	1024	17408	94	5	5	5	5	5	5
gqa2_s4	32x16x64s2k1_k1_r1	1	2048	18432	94	5	5	5	5	5	5
gqa2_s4	32x16x64s2k1_k1_r1	1	3072	19456	94	5	5	5	5	5	5
gqa2_s4	32x16x64s2k1_k1_r1	1	4096	20480	94	4	5	4	5	5	4
gqa2_s4	32x16x64s2k1_k1_r1	1	6144	22528	94	4	4	4	5	4	4
gqa2_s4	32x16x64s2k1_k1_r1	1	8192	24576	94	4	4	4	5	4	4
gqa2_s4	32x16x64s2k1_k1_r1	1	12288	28672	94	3	3	3	5	3	3
gqa2_s4	32x16x64s2k1_k1_r1	1	16384	32768	94	3	3	3	5	3	3
gqa2_s4	32x16x64s2k1_k1_r1	1	24576	40960	94	2	2	2	5	2	2
gqa2_s4	32x16x64s2k1_k1_r1	1	32768	49152	94	2	2	2	5	2	2
gqa2_s4	32x16x64s2k1_k1_r1	1	49152	65536	94	1	1	1	5	1	1
gqa2_s4	32x16x64s2k1_k1_r1	1	65536	81920	94	1	1	1	5	1	1
gqa2_s4	32x16x64s2k1_k1_r1	1	84992	101376	94	1	1	1	5	1	1
gqa2_s128	32x16x32s2k1_k1_r5	5	0	16384	86	5	5	5	5	6	5
gqa2_s128	32x16x32s2k1_k1_r5	5	1024	17408	86	5	5	5	5	5	5
gqa2_s128	32x16x32s2k1_k1_r5	5	2048	18432	86	5	5	5	5	5	5
gqa2_s128	32x16x32s2k1_k1_r5	5	3072	19456	86	5	5	5	5	5	5
gqa2_s128	32x16x32s2k1_k1_r5	5	4096	20480	86	4	5	4	5	5	4
gqa2_s128	32x16x32s2k1_k1_r5	5	6144	22528	86	4	4	4	5	4	4
gqa2_s128	32x16x32s2k1_k1_r5	5	8192	24576	86	4	4	4	5	4	4
gqa2_s128	32x16x32s2k1_k1_r5	5	12288	28672	86	3	3	3	5	3	3
gqa2_s128	32x16x32s2k1_k1_r5	5	16384	32768	86	3	3	3	5	3	3
gqa2_s128	32x16x32s2k1_k1_r5	5	24576	40960	86	2	2	2	5	2	2
gqa2_s128	32x16x32s2k1_k1_r5	5	32768	49152	86	2	2	2	5	2	2
gqa2_s128	32x16x32s2k1_k1_r5	5	49152	65536	86	1	1	1	5	1	1
gqa2_s128	32x16x32s2k1_k1_r5	5	65536	81920	86	1	1	1	5	1	1
gqa2_s128	32x16x32s2k1_k1_r5	5	84992	101376	86	1	1	1	5	1	1
mha4_s4	32x16x64s2k1_k1_r1	1	0	16384	94	5	5	5	5	6	5
mha4_s4	32x16x64s2k1_k1_r1	1	1024	17408	94	5	5	5	5	5	5
mha4_s4	32x16x64s2k1_k1_r1	1	2048	18432	94	5	5	5	5	5	5
mha4_s4	32x16x64s2k1_k1_r1	1	3072	19456	94	5	5	5	5	5	5
mha4_s4	32x16x64s2k1_k1_r1	1	4096	20480	94	4	5	4	5	5	4
mha4_s4	32x16x64s2k1_k1_r1	1	6144	22528	94	4	4	4	5	4	4
mha4_s4	32x16x64s2k1_k1_r1	1	8192	24576	94	4	4	4	5	4	4
mha4_s4	32x16x64s2k1_k1_r1	1	12288	28672	94	3	3	3	5	3	3
mha4_s4	32x16x64s2k1_k1_r1	1	16384	32768	94	3	3	3	5	3	3
mha4_s4	32x16x64s2k1_k1_r1	1	24576	40960	94	2	2	2	5	2	2
mha4_s4	32x16x64s2k1_k1_r1	1	32768	49152	94	2	2	2	5	2	2
mha4_s4	32x16x64s2k1_k1_r1	1	49152	65536	94	1	1	1	5	1	1
mha4_s4	32x16x64s2k1_k1_r1	1	65536	81920	94	1	1	1	5	1	1
mha4_s4	32x16x64s2k1_k1_r1	1	84992	101376	94	1	1	1	5	1	1
mha4_s128	32x16x16s2k1_k2_r5	5	0	16384	85	5	5	5	5	6	5
mha4_s128	32x16x16s2k1_k2_r5	5	1024	17408	85	5	5	5	5	5	5
mha4_s128	32x16x16s2k1_k2_r5	5	2048	18432	85	5	5	5	5	5	5
mha4_s128	32x16x16s2k1_k2_r5	5	3072	19456	85	5	5	5	5	5	5
mha4_s128	32x16x16s2k1_k2_r5	5	4096	20480	85	4	5	4	5	5	4
mha4_s128	32x16x16s2k1_k2_r5	5	6144	22528	85	4	4	4	5	4	4
mha4_s128	32x16x16s2k1_k2_r5	5	8192	24576	85	4	4	4	5	4	4
mha4_s128	32x16x16s2k1_k2_r5	5	12288	28672	85	3	3	3	5	3	3
mha4_s128	32x16x16s2k1_k2_r5	5	16384	32768	85	3	3	3	5	3	3
mha4_s128	32x16x16s2k1_k2_r5	5	24576	40960	85	2	2	2	5	2	2
mha4_s128	32x16x16s2k1_k2_r5	5	32768	49152	85	2	2	2	5	2	2
mha4_s128	32x16x16s2k1_k2_r5	5	49152	65536	85	1	1	1	5	1	1
mha4_s128	32x16x16s2k1_k2_r5	5	65536	81920	85	1	1	1	5	1	1
mha4_s128	32x16x16s2k1_k2_r5	5	84992	101376	85	1	1	1	5	1	1
