cell	arm	macro_page	smem_bytes	appended	regs	driver_ctas	f40_reserved_ctas	reg_lim	smem_lim_reserved	residency	keeps_residency
gqa2_s4	control	0	16384	0	94	5	5	5	5	1	1
gqa2_s4	prefetch	1024	18432	2048	96	5	5	5	5	1	1
gqa2_s4	inline	1024	18432	2048	96	5	5	5	5	1	1
gqa2_s128	control	0	16384	0	86	5	5	5	5	5	1
gqa2_s128	prefetch	1024	18432	2048	96	5	5	5	5	5	1
gqa2_s128	inline	1024	18432	2048	96	5	5	5	5	5	1
mha4_s4	control	0	16384	0	94	5	5	5	5	1	1
mha4_s4	prefetch	1024	18432	2048	96	5	5	5	5	1	1
mha4_s4	inline	1024	18432	2048	96	5	5	5	5	1	1
mha4_s128	control	0	16384	0	85	5	5	5	5	5	1
mha4_s128	prefetch	1024	18432	2048	88	5	5	5	5	5	1
mha4_s128	inline	1024	18432	2048	88	5	5	5	5	5	1
real_s4	control	0	16384	0	85	5	5	5	5	2	1
real_s4	prefetch	8192	32768	16384	88	3	3	5	3	2	1
real_s4	inline	8192	32768	16384	88	3	3	5	3	2	1
real_s128	control	0	16384	0	144	3	3	3	5	2	1
real_s128	prefetch	8192	32768	16384	146	3	3	3	3	2	1
real_s128	inline	8192	32768	16384	146	3	3	3	3	2	1
