cell	arm	base	rounds	base_median_ms	arm_median_ms	ratio	ci_lo	ci_hi	p_wilcoxon	slots	declared	issued
gqa2_s4	prefetch	control	50	0.116736	0.123904	1.0614	1.0604	1.0619	7.740e-10	648	16	16
gqa2_s4	inline	control	50	0.116736	0.121856	1.0442	1.0435	1.0463	7.696e-10	648	16	16
gqa2_s4	prefetch	inline	50	0.121856	0.123904	1.0154	1.0106	1.0168	1.672e-09	648	16	16
gqa2_s128	prefetch	control	50	0.244736	0.251792	1.0293	1.0291	1.0295	7.539e-10	6400	512	512
gqa2_s128	inline	control	50	0.244736	0.25184	1.0286	1.0264	1.0291	7.679e-10	6400	512	512
gqa2_s128	prefetch	inline	50	0.25184	0.251792	1.0004	1.0	1.0027	1.486e-02	6400	512	512
mha4_s4	prefetch	control	50	0.228336	0.243584	1.0673	1.064	1.0678	7.743e-10	1520	32	32
mha4_s4	inline	control	50	0.228336	0.239616	1.0497	1.0493	1.0516	7.665e-10	1520	32	32
mha4_s4	prefetch	inline	50	0.239616	0.243584	1.0142	1.0129	1.0169	7.592e-10	1520	32	32
mha4_s128	prefetch	control	50	0.502864	0.519168	1.0326	1.031	1.0334	7.745e-10	16384	1024	1024
mha4_s128	inline	control	50	0.502864	0.51712	1.0284	1.0268	1.0285	7.722e-10	16384	1024	1024
mha4_s128	prefetch	inline	50	0.51712	0.519168	1.004	1.0039	1.005	1.340e-08	16384	1024	1024
real_s4	prefetch	control	50	3.87992	3.849088	0.9918	0.9913	0.9923	1.458e-08	12208	32	32
real_s4	inline	control	50	3.87992	3.857088	0.9934	0.9928	0.9941	8.749e-09	12208	32	32
real_s4	prefetch	inline	50	3.857088	3.849088	0.9981	0.9976	0.9989	6.676e-03	12208	32	32
real_s128	prefetch	control	50	6.524448	6.663072	1.0225	1.0215	1.0239	1.378e-08	49280	1024	1024
real_s128	inline	control	50	6.524448	6.660944	1.0211	1.0206	1.0234	1.378e-08	49280	1024	1024
real_s128	prefetch	inline	50	6.660944	6.663072	1.0009	1.0	1.0013	1.803e-02	49280	1024	1024
