solver	model	seq	phase	count	total_ms
skeleton	bridge	1	cache_hit	14550	0
skeleton	bridge	1	cache_miss	657	0
skeleton	bridge	1	derive	5	654.183
skeleton	bridge	1	flow	48	45.7745
skeleton	bridge	1	incremental_prepare	72	0.166694
skeleton	bridge	1	incremental_space_hit	888	0
skeleton	bridge	1	instantiate	5	3.5725
skeleton	bridge	1	instantiate_and_derive	67	1665.25
skeleton	bridge	1	piece_pricing_and_release	72	16295.8
skeleton	bridge	1	prepare_derive	0	300.192
skeleton	bridge	1	prepare_edges	0	380.623
skeleton	bridge	1	prepare_graph	0	5.01603
skeleton	bridge	1	prepare_piece_map	0	12.7205
skeleton	bridge	1	prepare_price	0	621.499
skeleton	bridge	1	prepare_relations	5	16814.7
skeleton	bridge	1	prepare_spaces	0	947.938
skeleton	bridge	1	price_cache_hit	0	0
skeleton	bridge	1	price_cache_miss	75	0
skeleton	bridge	1	release_cache_hit	1170	0
skeleton	bridge	1	resource_probe	96	207.849
skeleton	bridge	1	search_evaluations	24	0
skeleton	bridge	1	search_rounds	1	0
skeleton	bridge	1	space_cache_hit	369	0
skeleton	bridge	1	space_cache_miss	75	0
