solver	model	seq	phase	count	total_ms
skeleton	bridge	64	cache_hit	4689	0
skeleton	bridge	64	cache_miss	536	0
skeleton	bridge	64	derive	5	566.022
skeleton	bridge	64	flow	23	36.7629
skeleton	bridge	64	incremental_prepare	23	0.048526
skeleton	bridge	64	incremental_space_hit	132	0
skeleton	bridge	64	instantiate	5	3.05465
skeleton	bridge	64	instantiate_and_derive	18	862.07
skeleton	bridge	64	piece_pricing_and_release	23	8096.34
skeleton	bridge	64	prepare_derive	0	206.288
skeleton	bridge	64	prepare_edges	0	305.619
skeleton	bridge	64	prepare_graph	0	0.981788
skeleton	bridge	64	prepare_piece_map	0	43.723
skeleton	bridge	64	prepare_price	0	413.864
skeleton	bridge	64	prepare_relations	5	12687.1
skeleton	bridge	64	prepare_spaces	0	668.296
skeleton	bridge	64	price_cache_hit	0	0
skeleton	bridge	64	price_cache_miss	28	0
skeleton	bridge	64	release_cache_hit	230	0
skeleton	bridge	64	resource_probe	47	218.311
skeleton	bridge	64	search_evaluations	23	0
skeleton	bridge	64	search_rounds	1	0
skeleton	bridge	64	space_cache_hit	104	0
skeleton	bridge	64	space_cache_miss	28	0
