argmax_reduce	6	0.051962	0.061965	0.161749
attention_merge	4	0.019712	0.020231	0.036826
embedding	4	0.066313	0.065324	0.112827
fused_attention_decode_d128	3	0.007979	0.008266	0.012110
fused_attention_decode_d64	3	0.006411	0.006688	0.009803
fused_attention_prefill_d128	3	0.042293	0.037685	0.053762
fused_attention_prefill_d64	3	0.004425	0.003930	0.005792
gemm_argmax_partial	9	0.083034	0.095353	0.215084
gemm_residual	9	0.086234	0.112194	0.278978
gemm_store	9	0.125702	0.130682	0.299431
gemm_swiglu	9	0.097617	0.110052	0.270611
rmsnorm	4	0.073695	0.072975	0.128462
