kind	bytes	flops	body_ns
embedding	2048	0	648.016
rmsnorm	3072	2560	1352.38
embedding	4096	0	657.143
rmsnorm	6144	5120	1369.44
embedding	8192	0	946.429
rmsnorm	12288	10240	2094.05
embedding	16384	0	1557.94
rmsnorm	24576	20480	3580.56
argmax_reduce	256	64	623.413
argmax_reduce	512	128	646.032
argmax_reduce	1024	256	637.698
argmax_reduce	2048	512	918.254
argmax_reduce	4096	1024	678.571
argmax_reduce	8192	2048	1031.75
attention_merge	2048	2048	2228.97
attention_merge	4096	4096	1896.03
attention_merge	8192	8192	2640.08
attention_merge	16384	16384	4110.71
gemm_store	151552	2.09715e+06	5975.4
gemm_store	299008	4.1943e+06	10819.4
gemm_store	593920	8.38861e+06	20613.5
gemm_store	50176	524288	3729.37
gemm_store	99328	1.04858e+06	6809.52
gemm_store	197632	2.09715e+06	12648.8
gemm_store	172032	4.1943e+06	7297.62
gemm_store	335872	8.38861e+06	13163.9
gemm_store	663552	1.67772e+07	24804
gemm_residual	151552	2.09715e+06	6313.1
gemm_residual	299008	4.1943e+06	11146.8
gemm_residual	593920	8.38861e+06	20949.2
gemm_residual	50176	524288	3923.81
gemm_residual	99328	1.04858e+06	7039.29
gemm_residual	197632	2.09715e+06	12683.7
gemm_residual	172032	4.1943e+06	7905.16
gemm_residual	335872	8.38861e+06	13846.4
gemm_residual	663552	1.67772e+07	25504.8
gemm_swiglu	151552	2.09715e+06	7380.16
gemm_swiglu	299008	4.1943e+06	12241.3
gemm_swiglu	593920	8.38861e+06	21970.6
gemm_swiglu	50176	524288	5177.38
gemm_swiglu	99328	1.04858e+06	8234.92
gemm_swiglu	197632	2.09715e+06	14055.2
gemm_swiglu	172032	4.1943e+06	9880.56
gemm_swiglu	335872	8.38861e+06	15834.9
gemm_swiglu	663552	1.67772e+07	27388.5
gemm_argmax_partial	151552	2.09715e+06	11075.8
gemm_argmax_partial	299008	4.1943e+06	15922.2
gemm_argmax_partial	593920	8.38861e+06	25697.2
gemm_argmax_partial	50176	524288	8896.83
gemm_argmax_partial	99328	1.04858e+06	11976.2
gemm_argmax_partial	197632	2.09715e+06	17700
gemm_argmax_partial	172032	4.1943e+06	17453.6
gemm_argmax_partial	335872	8.38861e+06	23285.3
gemm_argmax_partial	663552	1.67772e+07	34964.3
fused_attention_decode_d64	1024	2048	8269.05
fused_attention_prefill_d64	49408	4.25984e+06	30529.8
fused_attention_decode_d128	1536	2048	13996
fused_attention_prefill_d128	66048	4.25984e+06	68827.8
fused_attention_decode_d64	17152	66560	15151.6
fused_attention_prefill_d64	65536	8.38861e+06	32249.6
fused_attention_decode_d128	33792	66560	27194
fused_attention_prefill_d128	98304	8.38861e+06	69458.3
fused_attention_decode_d64	33536	132096	22392.1
fused_attention_prefill_d64	81920	1.25829e+07	39885.7
fused_attention_decode_d128	66560	132096	40101.2
fused_attention_prefill_d128	131072	1.25829e+07	82046.4
