family	seq	grid	nodes	different_entries	template_file	selected_file
legacy_grid_stride	4	256	24304	23548	legacy_grid_stride.tsv	selected.tsv
rotate	4	256	24304	24300	rotate.tsv	selected.tsv
band	4	256	24304	24075	band.tsv	selected.tsv
wavefront	4	256	24304	0	wavefront.tsv	selected.tsv
