stages 60
levels 40
widest_level 3
barriers_saved 20

position	stage	level
0	0	0
1	2	1
2	1	1
3	3	1
4	5	2
5	4	2
6	7	2
7	6	3
8	8	4
9	9	5
10	10	6
11	11	7
12	12	7
13	13	8
14	14	9
15	15	10
16	17	11
17	16	11
18	18	11
19	20	12
20	19	12
21	22	12
22	21	13
23	23	14
24	24	15
25	25	16
26	26	17
27	27	17
28	28	18
29	29	19
30	30	20
31	32	21
32	31	21
33	33	21
34	35	22
35	34	22
36	37	22
37	36	23
38	38	24
39	39	25
40	40	26
41	41	27
42	42	27
43	43	28
44	44	29
45	45	30
46	47	31
47	46	31
48	48	31
49	50	32
50	49	32
51	52	32
52	51	33
53	53	34
54	54	35
55	55	36
56	56	37
57	57	37
58	58	38
59	59	39
