stage	logical	worker	start_ns	end_ns	block_ns	stretch
0	0	0	0	1584.633492	0	1
0	1	1	0	1584.633492	0	1
0	2	2	0	1584.633492	0	1
0	3	3	0	1584.633492	0	1
1	0	2	2818.920369	21122.69004	1234.286877	1
1	1	3	2818.920369	21122.69004	1234.286877	1
1	2	2	21122.69004	39426.45971	0	1
1	3	3	21122.69004	39426.45971	0	1
2	0	0	2818.920369	21122.69004	1234.286877	1
2	1	1	2818.920369	21122.69004	1234.286877	1
3	0	0	21122.69004	39426.45971	0	1
3	1	1	21122.69004	39426.45971	0	1
4	0	2	40658.2689	40895.41769	1231.809185	1
4	1	3	40656.88506	40894.03385	1230.425345	1
4	2	2	40895.41769	41132.56649	0	1
4	3	3	40894.03385	41131.18265	0	1
4	4	2	41132.56649	41369.71528	0	1
4	5	3	41131.18265	41368.33144	0	1
4	6	2	41369.71528	41606.86408	0	1
4	7	3	41368.33144	41605.48024	0	1
4	8	2	41606.86408	41844.01287	0	1
4	9	3	41605.48024	41842.62903	0	1
4	10	2	41844.01287	42081.16166	0	1
4	11	3	41842.62903	42079.77782	0	1
4	12	2	42081.16166	42318.31046	0	1
4	13	3	42079.77782	42316.92662	0	1
4	14	2	42318.31046	42555.45925	0	1
4	15	3	42316.92662	42554.07541	0	1
5	0	0	39426.45971	39663.60851	0	1
5	1	1	39426.45971	39663.60851	0	1
5	2	0	39663.60851	39900.7573	0	1
5	3	1	39663.60851	39900.7573	0	1
5	4	0	39900.7573	40137.9061	0	1
5	5	1	39900.7573	40137.9061	0	1
5	6	0	40137.9061	40375.05489	0	1
5	7	1	40137.9061	40375.05489	0	1
6	0	0	41596.71577	41830.65943	0	1
6	1	1	41596.71577	41830.65943	0	1
6	2	0	41830.65943	42064.6031	0	1
6	3	1	41830.65943	42064.6031	0	1
6	4	0	42064.6031	42298.54677	0	1
6	5	1	42064.6031	42298.54677	0	1
6	6	0	42298.54677	42532.49043	0	1
6	7	1	42298.54677	42532.49043	0	1
7	0	0	40660.9411	40894.88477	285.886212	1
7	1	1	40660.9411	40894.88477	285.886212	1
7	2	0	40894.88477	41128.82843	0	1
7	3	1	40894.88477	41128.82843	0	1
7	4	0	41128.82843	41362.7721	0	1
7	5	1	41128.82843	41362.7721	0	1
7	6	0	41362.7721	41596.71577	0	1
7	7	1	41362.7721	41596.71577	0	1
8	0	0	43762.91578	44464.72873	1230.425345	1
8	1	1	43764.29962	44466.11257	1231.809185	1
8	2	0	44464.72873	45166.54167	0	1
8	3	1	44466.11257	45167.92551	0	1
8	4	0	45166.54167	45868.35462	0	1
8	5	1	45167.92551	45869.73846	0	1
8	6	0	45868.35462	46570.16757	0	1
8	7	1	45869.73846	46571.55141	0	1
8	8	0	46570.16757	47271.98051	0	1
8	9	1	46571.55141	47273.36435	0	1
8	10	0	47271.98051	47973.79346	0	1
8	11	1	47273.36435	47975.1773	0	1
8	12	0	47973.79346	48675.60641	0	1
8	13	1	47975.1773	48676.99025	0	1
8	14	0	48675.60641	49377.41935	0	1
8	15	1	48676.99025	49378.80319	0	1
9	0	0	50613.57989	68917.34956	1236.160537	1
9	1	1	50612.19605	68915.96572	1233.392857	1
9	2	0	68917.34956	87221.11923	0	1
9	3	1	68915.96572	87219.73539	0	1
10	0	0	88454.34578	90038.97927	1233.226549	1
10	1	1	88455.72962	90040.36311	1235.994229	1
10	2	0	90038.97927	91623.61277	0	1
10	3	1	90040.36311	91624.99661	0	1
11	0	0	92858.88278	111162.6524	1235.270011	1
11	1	1	92857.49894	111161.2686	1232.502331	1
11	2	0	111162.6524	129466.4221	0	1
11	3	1	111161.2686	129465.0383	0	1
11	4	0	129466.4221	147770.1918	0	1
11	5	1	129465.0383	147768.808	0	1
11	6	6	92858.88278	111162.6524	92858.88278	1
11	7	7	92858.88278	111162.6524	92858.88278	1
12	0	4	92858.88278	111162.6524	92858.88278	1
12	1	5	92858.88278	111162.6524	92858.88278	1
12	2	8	92858.88278	111162.6524	92858.88278	1
12	3	9	92858.88278	111162.6524	92858.88278	1
12	4	10	92858.88278	111162.6524	92858.88278	1
12	5	11	92858.88278	111162.6524	92858.88278	1
12	6	12	92858.88278	111162.6524	92858.88278	1
12	7	13	92858.88278	111162.6524	92858.88278	1
13	0	4	149004.6732	149424.5143	37842.02073	1
13	1	5	149004.6732	149424.5143	37842.02073	1
13	2	6	149004.6732	149424.5143	37842.02073	1
13	3	7	149004.6732	149424.5143	37842.02073	1
14	0	4	150659.1247	180894.228	1234.610389	1
14	1	5	150659.1247	180894.228	1234.610389	1
14	2	6	150659.1247	180894.228	1234.610389	1
14	3	7	150659.1247	180894.228	1234.610389	1
15	0	4	182128.8384	183713.4719	1234.610389	1
15	1	5	182128.8384	183713.4719	1234.610389	1
