model	seq	stage	kind	op	count	solo_ns	source
gqa2	4	0	1	l0.s00.norm	4	1584.633492	instance
gqa2	4	1	0	l0.s01.proj	4	18303.76967	instance
gqa2	4	2	0	l0.s02.proj	2	18303.76967	instance
gqa2	4	3	0	l0.s03.proj	2	18303.76967	instance
gqa2	4	4	2	l0.s04.rope	16	237.1487946	instance
gqa2	4	5	2	l0.s05.rope	8	237.1487946	instance
gqa2	4	6	3	l0.s06.append	8	233.9436664	instance
gqa2	4	7	3	l0.s07.append	8	233.9436664	instance
gqa2	4	8	5	l0.s08.attn	16	701.8129468	instance
gqa2	4	9	0	l0.s09.proj	4	18303.76967	instance
gqa2	4	10	1	l0.s10.norm	4	1584.633492	instance
gqa2	4	11	0	l0.s11.proj	8	18303.76967	instance
gqa2	4	12	0	l0.s12.proj	8	18303.76967	instance
gqa2	4	13	4	l0.s13.act	4	419.8411039	instance
gqa2	4	14	0	l0.s14.proj	4	30235.10336	instance
gqa2	4	15	1	l1.s15.norm	4	1584.633492	instance
gqa2	4	16	0	l1.s16.proj	4	18303.76967	instance
gqa2	4	17	0	l1.s17.proj	2	18303.76967	instance
gqa2	4	18	0	l1.s18.proj	2	18303.76967	instance
gqa2	4	19	2	l1.s19.rope	16	237.1487946	instance
gqa2	4	20	2	l1.s20.rope	8	237.1487946	instance
gqa2	4	21	3	l1.s21.append	8	233.9436664	instance
gqa2	4	22	3	l1.s22.append	8	233.9436664	instance
gqa2	4	23	5	l1.s23.attn	16	701.8129468	instance
gqa2	4	24	0	l1.s24.proj	4	18303.76967	instance
gqa2	4	25	1	l1.s25.norm	4	1584.633492	instance
gqa2	4	26	0	l1.s26.proj	8	18303.76967	instance
gqa2	4	27	0	l1.s27.proj	8	18303.76967	instance
gqa2	4	28	4	l1.s28.act	4	419.8411039	instance
gqa2	4	29	0	l1.s29.proj	4	30235.10336	instance
gqa2	128	0	1	l0.s00.norm	128	1584.633492	instance
gqa2	128	1	0	l0.s01.proj	4	18303.76967	instance
gqa2	128	2	0	l0.s02.proj	2	18303.76967	instance
gqa2	128	3	0	l0.s03.proj	2	18303.76967	instance
gqa2	128	4	2	l0.s04.rope	512	237.1487946	instance
gqa2	128	5	2	l0.s05.rope	256	237.1487946	instance
gqa2	128	6	3	l0.s06.append	256	233.9436664	instance
gqa2	128	7	3	l0.s07.append	256	233.9436664	instance
gqa2	128	8	5	l0.s08.attn	512	1496.684749	instance
gqa2	128	9	0	l0.s09.proj	4	18303.76967	instance
gqa2	128	10	1	l0.s10.norm	128	1584.633492	instance
gqa2	128	11	0	l0.s11.proj	8	18303.76967	instance
gqa2	128	12	0	l0.s12.proj	8	18303.76967	instance
gqa2	128	13	4	l0.s13.act	128	419.8411039	instance
gqa2	128	14	0	l0.s14.proj	4	30235.10336	instance
gqa2	128	15	1	l1.s15.norm	128	1584.633492	instance
gqa2	128	16	0	l1.s16.proj	4	18303.76967	instance
gqa2	128	17	0	l1.s17.proj	2	18303.76967	instance
gqa2	128	18	0	l1.s18.proj	2	18303.76967	instance
gqa2	128	19	2	l1.s19.rope	512	237.1487946	instance
gqa2	128	20	2	l1.s20.rope	256	237.1487946	instance
gqa2	128	21	3	l1.s21.append	256	233.9436664	instance
gqa2	128	22	3	l1.s22.append	256	233.9436664	instance
gqa2	128	23	5	l1.s23.attn	512	1496.684749	instance
gqa2	128	24	0	l1.s24.proj	4	18303.76967	instance
gqa2	128	25	1	l1.s25.norm	128	1584.633492	instance
gqa2	128	26	0	l1.s26.proj	8	18303.76967	instance
gqa2	128	27	0	l1.s27.proj	8	18303.76967	instance
gqa2	128	28	4	l1.s28.act	128	419.8411039	instance
gqa2	128	29	0	l1.s29.proj	4	30235.10336	instance
gqa2	512	0	1	l0.s00.norm	512	1584.633492	instance
gqa2	512	1	0	l0.s01.proj	16	18303.76967	instance
gqa2	512	2	0	l0.s02.proj	8	18303.76967	instance
gqa2	512	3	0	l0.s03.proj	8	18303.76967	instance
gqa2	512	4	2	l0.s04.rope	2048	237.1487946	instance
gqa2	512	5	2	l0.s05.rope	1024	237.1487946	instance
gqa2	512	6	3	l0.s06.append	1024	233.9436664	instance
gqa2	512	7	3	l0.s07.append	1024	233.9436664	instance
gqa2	512	8	5	l0.s08.attn	2048	3958.223231	instance
gqa2	512	9	0	l0.s09.proj	16	18303.76967	instance
gqa2	512	10	1	l0.s10.norm	512	1584.633492	instance
gqa2	512	11	0	l0.s11.proj	32	18303.76967	instance
gqa2	512	12	0	l0.s12.proj	32	18303.76967	instance
gqa2	512	13	4	l0.s13.act	512	419.8411039	instance
gqa2	512	14	0	l0.s14.proj	16	30235.10336	instance
gqa2	512	15	1	l1.s15.norm	512	1584.633492	instance
gqa2	512	16	0	l1.s16.proj	16	18303.76967	instance
gqa2	512	17	0	l1.s17.proj	8	18303.76967	instance
gqa2	512	18	0	l1.s18.proj	8	18303.76967	instance
gqa2	512	19	2	l1.s19.rope	2048	237.1487946	instance
gqa2	512	20	2	l1.s20.rope	1024	237.1487946	instance
gqa2	512	21	3	l1.s21.append	1024	233.9436664	instance
gqa2	512	22	3	l1.s22.append	1024	233.9436664	instance
gqa2	512	23	5	l1.s23.attn	2048	3958.223231	instance
