stage	logical	worker	start_ns	end_ns	block_ns	stretch
0	0	0	0	3291.274528	0	1
0	1	1	0	3291.274528	0	1
0	2	2	0	3291.274528	0	1
0	3	3	0	3291.274528	0	1
1	0	0	291031.934	434285.6016	0	1
1	1	1	291031.934	434285.6016	0	1
1	2	2	291031.934	434285.6016	0	1
1	3	3	291031.934	434285.6016	0	1
1	4	0	434285.6016	577539.2692	0	1
1	5	1	434285.6016	577539.2692	0	1
1	6	2	434285.6016	577539.2692	0	1
1	7	3	434285.6016	577539.2692	0	1
1	8	0	577539.2692	720792.9368	0	1
1	9	1	577539.2692	720792.9368	0	1
1	10	2	577539.2692	720792.9368	0	1
1	11	3	577539.2692	720792.9368	0	1
1	12	0	720792.9368	864046.6044	0	1
1	13	1	720792.9368	864046.6044	0	1
1	14	2	720792.9368	864046.6044	0	1
1	15	3	720792.9368	864046.6044	0	1
1	16	0	864046.6044	1007300.272	0	1
1	17	1	864046.6044	1007300.272	0	1
1	18	2	864046.6044	1007300.272	0	1
1	19	3	864046.6044	1007300.272	0	1
1	20	0	1007300.272	1150553.94	0	1
1	21	1	1007300.272	1150553.94	0	1
1	22	2	1007300.272	1150553.94	0	1
1	23	3	1007300.272	1150553.94	0	1
1	24	0	1150553.94	1293807.607	0	1
1	25	1	1150553.94	1293807.607	0	1
1	26	2	1150553.94	1293807.607	0	1
1	27	3	1150553.94	1293807.607	0	1
1	28	0	1293807.607	1437061.275	0	1
1	29	1	1293807.607	1437061.275	0	1
1	30	2	1293807.607	1437061.275	0	1
1	31	3	1293807.607	1437061.275	0	1
2	0	0	4524.59887	147778.2665	1233.324342	1
2	1	1	4524.59887	147778.2665	1233.324342	1
2	2	2	4524.59887	147778.2665	1233.324342	1
2	3	3	4524.59887	147778.2665	1233.324342	1
2	4	0	147778.2665	291031.934	0	1
2	5	1	147778.2665	291031.934	0	1
2	6	2	147778.2665	291031.934	0	1
2	7	3	147778.2665	291031.934	0	1
3	0	0	1437061.275	1580314.942	0	1
3	1	1	1437061.275	1580314.942	0	1
3	2	2	1437061.275	1580314.942	0	1
3	3	3	1437061.275	1580314.942	0	1
3	4	0	1580314.942	1723568.61	0	1
3	5	1	1580314.942	1723568.61	0	1
3	6	2	1580314.942	1723568.61	0	1
3	7	3	1580314.942	1723568.61	0	1
4	0	0	1725671.778	1725934.674	0	1
4	1	1	1725671.778	1725934.674	0	1
4	2	2	1725671.778	1725934.674	0	1
4	3	3	1725671.778	1725934.674	0	1
4	4	0	1725934.674	1726197.57	0	1
4	5	1	1725934.674	1726197.57	0	1
4	6	2	1725934.674	1726197.57	0	1
4	7	3	1725934.674	1726197.57	0	1
4	8	0	1726197.57	1726460.466	0	1
4	9	1	1726197.57	1726460.466	0	1
4	10	2	1726197.57	1726460.466	0	1
4	11	3	1726197.57	1726460.466	0	1
4	12	0	1726460.466	1726723.362	0	1
4	13	1	1726460.466	1726723.362	0	1
4	14	2	1726460.466	1726723.362	0	1
4	15	3	1726460.466	1726723.362	0	1
4	16	0	1726723.362	1726986.258	0	1
4	17	1	1726723.362	1726986.258	0	1
4	18	2	1726723.362	1726986.258	0	1
4	19	3	1726723.362	1726986.258	0	1
4	20	0	1726986.258	1727249.154	0	1
4	21	1	1726986.258	1727249.154	0	1
4	22	2	1726986.258	1727249.154	0	1
4	23	3	1726986.258	1727249.154	0	1
4	24	0	1727249.154	1727512.05	0	1
4	25	1	1727249.154	1727512.05	0	1
4	26	2	1727249.154	1727512.05	0	1
4	27	3	1727249.154	1727512.05	0	1
4	28	0	1727512.05	1727774.946	0	1
4	29	1	1727512.05	1727774.946	0	1
4	30	2	1727512.05	1727774.946	0	1
4	31	3	1727512.05	1727774.946	0	1
4	32	0	1727774.946	1728037.842	0	1
4	33	1	1727774.946	1728037.842	0	1
4	34	2	1727774.946	1728037.842	0	1
4	35	3	1727774.946	1728037.842	0	1
4	36	0	1728037.842	1728300.738	0	1
4	37	1	1728037.842	1728300.738	0	1
4	38	2	1728037.842	1728300.738	0	1
4	39	3	1728037.842	1728300.738	0	1
4	40	0	1728300.738	1728563.634	0	1
4	41	1	1728300.738	1728563.634	0	1
4	42	2	1728300.738	1728563.634	0	1
4	43	3	1728300.738	1728563.634	0	1
4	44	0	1728563.634	1728826.53	0	1
4	45	1	1728563.634	1728826.53	0	1
4	46	2	1728563.634	1728826.53	0	1
4	47	3	1728563.634	1728826.53	0	1
4	48	0	1728826.53	1729089.426	0	1
4	49	1	1728826.53	1729089.426	0	1
4	50	2	1728826.53	1729089.426	0	1
4	51	3	1728826.53	1729089.426	0	1
4	52	0	1729089.426	1729352.322	0	1
4	53	1	1729089.426	1729352.322	0	1
4	54	2	1729089.426	1729352.322	0	1
4	55	3	1729089.426	1729352.322	0	1
4	56	0	1729352.322	1729615.218	0	1
4	57	1	1729352.322	1729615.218	0	1
4	58	2	1729352.322	1729615.218	0	1
4	59	3	1729352.322	1729615.218	0	1
4	60	0	1729615.218	1729878.114	0	1
4	61	1	1729615.218	1729878.114	0	1
4	62	2	1729615.218	1729878.114	0	1
4	63	3	1729615.218	1729878.114	0	1
4	64	0	1729878.114	1730141.01	0	1
4	65	1	1729878.114	1730141.01	0	1
4	66	2	1729878.114	1730141.01	0	1
4	67	3	1729878.114	1730141.01	0	1
4	68	0	1730141.01	1730403.906	0	1
4	69	1	1730141.01	1730403.906	0	1
4	70	2	1730141.01	1730403.906	0	1
4	71	3	1730141.01	1730403.906	0	1
4	72	0	1730403.906	1730666.802	0	1
4	73	1	1730403.906	1730666.802	0	1
4	74	2	1730403.906	1730666.802	0	1
4	75	3	1730403.906	1730666.802	0	1
4	76	0	1730666.802	1730929.698	0	1
4	77	1	1730666.802	1730929.698	0	1
4	78	2	1730666.802	1730929.698	0	1
4	79	3	1730666.802	1730929.698	0	1
4	80	0	1730929.698	1731192.594	0	1
4	81	1	1730929.698	1731192.594	0	1
4	82	2	1730929.698	1731192.594	0	1
4	83	3	1730929.698	1731192.594	0	1
4	84	0	1731192.594	1731455.49	0	1
4	85	1	1731192.594	1731455.49	0	1
